time,Utah,pts.away,score,pts.home,Denver
0:24.0,Offensive rebound by D. Favors,,65-80,,
0:14.0,G. Hill makes 2-pt shot from 14 ft,2,67-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Shooting foul by W. Barton (drawn by G. Hayward),,67-80,,
11:42.0,G. Hayward makes free throw 1 of 2,1,68-80,,
11:42.0,G. Hayward makes free throw 2 of 2,1,69-80,,
11:26.0,,,69-80,,Turnover by W. Chandler (traveling)
11:07.0,B. Diaw makes 2-pt shot from 2 ft (assist by D. Favors),2,71-80,,
10:56.0,,,71-80,,J. Murray misses 3-pt shot from 27 ft
10:55.0,Defensive rebound by G. Hayward,,71-80,,
10:49.0,G. Hayward misses 3-pt shot from 26 ft,,71-80,,
10:47.0,,,71-80,,Defensive rebound by W. Chandler
10:40.0,,,71-83,3,W. Chandler makes 3-pt shot from 26 ft
10:23.0,J. Johnson misses 3-pt shot from 24 ft,,71-83,,
10:23.0,Offensive rebound by D. Favors,,71-83,,
10:14.0,Shooting foul by J. Murray (drawn by G. Hill),,71-83,,
10:14.0,G. Hill makes free throw 1 of 2,1,72-83,,
10:14.0,G. Hill makes free throw 2 of 2,1,73-83,,
9:59.0,,,73-83,,Shooting foul by J. Johnson (drawn by J. Murray)
9:59.0,,,73-83,,J. Murray misses free throw 1 of 2
9:59.0,,,73-83,,Offensive rebound by Team
9:59.0,,,73-84,1,J. Murray makes free throw 2 of 2
9:37.0,G. Hill misses 2-pt shot from 12 ft,,73-84,,
9:36.0,Offensive rebound by Team,,73-84,,
9:36.0,Turnover by Team (shot clock),,73-84,,
9:21.0,,,73-86,2,J. Murray makes 2-pt shot from 2 ft (assist by D. Arthur)
8:57.0,B. Diaw misses 3-pt shot from 25 ft,,73-86,,
8:56.0,,,73-86,,Defensive rebound by D. Arthur
8:42.0,,,73-88,2,D. Arthur makes 2-pt shot from 18 ft (assist by J. Murray)
8:34.0,Utah full timeout,,73-88,,
8:34.0,A. Burks enters the game for D. Favors,,73-88,,
8:34.0,R. Gobert enters the game for J. Johnson,,73-88,,
8:18.0,B. Diaw makes 2-pt shot at rim,2,75-88,,
7:58.0,,,75-88,,Turnover by J. Murray (traveling)
7:44.0,G. Hill misses 3-pt shot from 26 ft,,75-88,,
7:43.0,,,75-88,,Defensive rebound by W. Barton
7:34.0,,,75-88,,W. Barton misses 2-pt shot from 15 ft
7:33.0,Defensive rebound by R. Gobert,,75-88,,
7:20.0,R. Gobert misses 2-pt shot from 5 ft,,75-88,,
7:20.0,,,75-88,,Defensive rebound by K. Faried
6:58.0,,,75-88,,K. Faried misses 2-pt shot from 1 ft
6:58.0,Defensive rebound by R. Gobert,,75-88,,
6:55.0,Shooting foul by D. Arthur (drawn by R. Gobert),,75-88,,
6:55.0,R. Gobert misses free throw 1 of 2,,75-88,,
6:55.0,Offensive rebound by Team,,75-88,,
6:55.0,R. Gobert makes free throw 2 of 2,1,76-88,,
6:55.0,,,75-88,,N. Jokic enters the game for D. Arthur
6:39.0,,,76-88,,Offensive charge foul by J. Murray
6:39.0,,,76-88,,Turnover by J. Murray (offensive foul)
6:39.0,,,76-88,,D. Gallinari enters the game for J. Murray
6:39.0,,,76-88,,J. Nelson enters the game for W. Chandler
6:21.0,B. Diaw makes 3-pt shot from 24 ft (assist by G. Hayward),3,79-88,,
6:05.0,,,79-88,,K. Faried misses 2-pt shot from 12 ft
6:04.0,,,79-88,,Offensive rebound by Team
6:04.0,Loose ball foul by G. Hayward (drawn by N. Jokic),,79-88,,
6:04.0,,,79-88,,G. Harris enters the game for W. Barton
5:56.0,,,79-90,2,K. Faried makes 2-pt shot from 2 ft (assist by J. Nelson)
5:35.0,G. Hill misses 2-pt shot from 15 ft,,79-90,,
5:34.0,Offensive rebound by R. Gobert,,79-90,,
5:34.0,R. Gobert makes 2-pt shot from 1 ft,2,81-90,,
5:34.0,Shooting foul by N. Jokic (drawn by R. Gobert),,81-90,,
5:34.0,Official timeout,,81-90,,
5:34.0,R. Gobert makes free throw 1 of 1,1,82-90,,
5:34.0,,,81-90,,D. Arthur enters the game for K. Faried
5:19.0,,,82-90,,Turnover by G. Harris (bad pass)
5:08.0,G. Hayward misses 2-pt shot from 7 ft,,82-90,,
5:07.0,,,82-90,,Defensive rebound by Team
