time,Portland,pts.away,score,pts.home,Detroit
9:20.0,Shooting foul by R. Jackson (drawn by J. Nurkic),,57-52,,
9:20.0,J. Nurkic makes free throw 1 of 1,1,58-52,,
9:00.0,,,58-54,2,M. Morris makes 2-pt shot from 13 ft
8:48.0,D. Lillard makes 3-pt shot from 28 ft (assist by J. Nurkic),3,61-54,,
8:36.0,Personal foul by C. McCollum (drawn by M. Morris),,61-54,,
8:28.0,,,61-54,,R. Jackson misses 2-pt shot from 8 ft
8:26.0,,,61-54,,Offensive rebound by R. Jackson
8:24.0,,,61-56,2,R. Jackson makes 2-pt shot at rim
8:09.0,Turnover by D. Lillard (bad pass),,61-56,,
8:09.0,Technical foul by C. McCollum,,61-56,,
8:09.0,,,61-57,1,K. Caldwell-Pope makes technical free throw
7:48.0,,,61-57,,J. Leuer misses 2-pt shot from 19 ft
7:47.0,Defensive rebound by D. Lillard,,61-57,,
7:39.0,D. Lillard misses 3-pt shot from 26 ft,,61-57,,
7:39.0,Offensive rebound by M. Harkless,,61-57,,
7:36.0,M. Harkless makes 2-pt shot at rim,2,63-57,,
7:24.0,,,63-57,,K. Caldwell-Pope misses 3-pt shot from 24 ft
7:20.0,,,63-57,,Offensive rebound by A. Drummond
7:17.0,Jump ball: A. Drummond vs. J. Nurkic (M. Morris gains possession),,,,Jump ball: A. Drummond vs. J. Nurkic (M. Morris gains possession)
7:09.0,,,63-57,,M. Morris misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by M. Harkless,,63-57,,
7:01.0,C. McCollum makes 3-pt shot from 26 ft (assist by M. Harkless),3,66-57,,
6:54.0,,,66-57,,Detroit full timeout
6:43.0,,,66-60,3,M. Morris makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
6:23.0,C. McCollum makes 3-pt shot from 26 ft (assist by J. Nurkic),3,69-60,,
6:01.0,,,69-60,,Shooting foul by M. Harkless (drawn by M. Morris)
6:01.0,,,69-61,1,M. Morris makes free throw 1 of 2
