time,Miami,pts.away,score,pts.home,Brooklyn
4:59.0,,,60-67,,I. Whitehead misses 2-pt shot from 16 ft
4:58.0,Defensive rebound by G. Dragic,,60-67,,
4:52.0,J. Johnson makes 2-pt shot from 2 ft (assist by T. Johnson),2,62-67,,
4:52.0,Shooting foul by J. Harris (drawn by J. Johnson),,62-67,,
4:52.0,J. Johnson makes free throw 1 of 1,1,63-67,,
4:44.0,,,63-67,,Brooklyn full timeout
4:31.0,Violation by O. White (kicked ball),,63-67,,
4:26.0,,,63-67,,I. Whitehead misses 2-pt shot from 3 ft (block by J. Johnson)
4:25.0,,,63-67,,Offensive rebound by I. Whitehead
4:24.0,,,63-69,2,I. Whitehead makes 2-pt shot from 2 ft
4:22.0,,,63-69,,Technical foul by Team
4:22.0,T. Johnson makes technical free throw,1,64-69,,
4:22.0,,,64-69,,J. Hamilton enters the game for B. Lopez
4:10.0,T. Johnson misses 2-pt shot from 3 ft (block by J. Hamilton),,64-69,,
4:09.0,Offensive rebound by O. White,,64-69,,
4:03.0,T. Johnson misses 3-pt shot from 23 ft,,64-69,,
4:00.0,Offensive rebound by T. Johnson,,64-69,,
3:55.0,J. Johnson misses 3-pt shot from 25 ft,,64-69,,
3:53.0,,,64-69,,Defensive rebound by S. Kilpatrick
3:27.0,,,64-69,,I. Whitehead misses 3-pt shot from 24 ft
3:25.0,,,64-69,,Offensive rebound by S. Kilpatrick
3:13.0,,,64-71,2,T. Booker makes 2-pt shot from 3 ft (assist by S. Kilpatrick)
2:52.0,J. Johnson makes 2-pt shot from 2 ft,2,66-71,,
2:42.0,,,66-71,,I. Whitehead misses 3-pt shot from 27 ft
2:41.0,,,66-71,,Offensive rebound by Team
2:41.0,Loose ball foul by R. McGruder (drawn by T. Booker),,66-71,,
2:41.0,W. Ellington enters the game for G. Dragic,,66-71,,
2:36.0,,,66-71,,T. Booker misses 2-pt shot from 3 ft
2:35.0,Defensive rebound by J. Johnson,,66-71,,
2:25.0,J. Johnson makes 2-pt shot from 6 ft (assist by R. McGruder),2,68-71,,
2:14.0,,,68-71,,Turnover by I. Whitehead (lost ball; steal by R. McGruder)
2:09.0,R. McGruder makes 2-pt shot at rim,2,70-71,,
1:51.0,,,70-71,,T. Booker misses 2-pt shot from 17 ft
1:50.0,,,70-71,,Offensive rebound by J. Harris
1:49.0,,,70-71,,Shooting foul by T. Johnson (drawn by J. Harris)
1:49.0,,,70-72,1,J. Harris makes free throw 1 of 2
1:49.0,,,70-72,,J. Harris misses free throw 2 of 2
1:48.0,Defensive rebound by R. McGruder,,70-72,,
1:27.0,Turnover by O. White (lost ball),,70-72,,
1:27.0,H. Whiteside enters the game for R. McGruder,,70-72,,
1:27.0,,,70-72,,C. LeVert enters the game for I. Whitehead
1:15.0,,,70-72,,S. Kilpatrick misses 2-pt shot from 19 ft
1:14.0,Defensive rebound by T. Johnson,,70-72,,
1:08.0,W. Ellington misses 3-pt shot from 25 ft,,70-72,,
1:06.0,Offensive rebound by H. Whiteside,,70-72,,
1:03.0,H. Whiteside misses 2-pt shot from 5 ft,,70-72,,
1:03.0,Offensive rebound by T. Johnson,,70-72,,
1:01.0,T. Johnson makes 2-pt shot from 2 ft,2,72-72,,
0:41.0,,,72-72,,S. Kilpatrick misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by Team,,72-72,,
0:23.0,Shooting foul by C. LeVert (drawn by T. Johnson),,72-72,,
0:23.0,T. Johnson makes free throw 1 of 2,1,73-72,,
0:23.0,T. Johnson makes free throw 2 of 2,1,74-72,,
0:06.0,,,74-72,,C. LeVert misses 2-pt shot from 3 ft (block by H. Whiteside)
0:04.0,,,74-72,,Offensive rebound by C. LeVert
0:04.0,,,74-72,,C. LeVert misses 2-pt shot from 2 ft
0:02.0,Defensive rebound by T. Johnson,,74-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,74-72,,C. LeVert misses 2-pt shot from 3 ft
11:43.0,Defensive rebound by O. White,,74-72,,
11:27.0,W. Ellington misses 3-pt shot from 25 ft,,74-72,,
11:26.0,,,74-72,,Defensive rebound by T. Booker
11:15.0,,,74-72,,Shooting foul by T. Johnson (drawn by R. Foye)
11:15.0,,,74-73,1,R. Foye makes free throw 1 of 2
11:15.0,,,74-74,1,R. Foye makes free throw 2 of 2
11:03.0,J. Johnson misses 2-pt shot from 2 ft (block by J. Hamilton),,74-74,,
11:02.0,Offensive rebound by Team,,74-74,,
10:50.0,H. Whiteside makes 2-pt shot from 2 ft (assist by O. White),2,76-74,,
10:38.0,,,76-74,,Offensive foul by C. LeVert
10:38.0,,,76-74,,Turnover by C. LeVert (offensive foul)
10:18.0,J. Johnson makes 2-pt shot from 17 ft,2,78-74,,
10:05.0,,,78-76,2,T. Booker makes 2-pt shot at rim (assist by R. Foye)
9:52.0,T. Johnson makes 2-pt shot from 19 ft,2,80-76,,
9:40.0,,,80-76,,R. Foye misses 3-pt shot from 24 ft
9:39.0,,,80-76,,Offensive rebound by T. Booker
9:30.0,,,80-76,,J. Hamilton misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by H. Whiteside,,80-76,,
9:21.0,Shooting foul by J. Harris (drawn by O. White),,80-76,,
9:21.0,O. White misses free throw 1 of 2,,80-76,,
9:21.0,Offensive rebound by Team,,80-76,,
9:21.0,O. White makes free throw 2 of 2,1,81-76,,
9:21.0,,,80-76,,B. Lopez enters the game for J. Hamilton
9:09.0,,,81-79,3,C. LeVert makes 3-pt shot from 24 ft (assist by J. Harris)
8:56.0,J. Johnson makes 2-pt shot from 5 ft,2,83-79,,
8:43.0,,,83-81,2,B. Lopez makes 2-pt shot from 21 ft
8:26.0,H. Whiteside misses 2-pt shot from 3 ft,,83-81,,
8:25.0,,,83-81,,Defensive rebound by C. LeVert
8:20.0,,,83-81,,Offensive charge foul by T. Booker
8:20.0,,,83-81,,Turnover by T. Booker (offensive foul)
8:20.0,Official timeout,,83-81,,
