time,Boston,pts.away,score,pts.home,Indiana
1:31.0,I. Thomas makes 3-pt shot from 25 ft,3,72-71,,
1:16.0,,,72-73,2,A. Jefferson makes 2-pt shot from 8 ft (assist by A. Brooks)
1:10.0,,,72-73,,Personal foul by M. Ellis (drawn by I. Thomas)
1:10.0,I. Thomas makes free throw 1 of 2,1,73-73,,
1:10.0,I. Thomas makes free throw 2 of 2,1,74-73,,
1:10.0,M. Smart enters the game for A. Bradley,,73-73,,
1:10.0,A. Johnson enters the game for J. Jerebko,,73-73,,
1:10.0,,,73-73,,J. Young enters the game for M. Ellis
0:58.0,,,74-73,,A. Brooks misses 3-pt shot from 24 ft
0:57.0,Defensive rebound by J. Young,,74-73,,
0:47.0,I. Thomas misses 2-pt shot from 13 ft,,74-73,,
0:46.0,,,74-73,,Defensive rebound by A. Brooks
0:40.0,Shooting block foul by M. Smart (drawn by A. Brooks),,74-73,,
0:40.0,,,74-73,,A. Brooks misses free throw 1 of 2
0:40.0,,,74-73,,Offensive rebound by Team
0:40.0,,,74-74,1,A. Brooks makes free throw 2 of 2
0:40.0,,,74-73,,T. Young enters the game for A. Jefferson
0:31.0,J. Young makes 2-pt shot from 3 ft (assist by I. Thomas),2,76-74,,
0:17.0,,,76-76,2,A. Brooks makes 2-pt shot from 2 ft
0:02.0,J. Young makes 3-pt shot from 23 ft (assist by I. Thomas),3,79-76,,
0:00.0,,,79-76,,J. Young misses 3-pt shot from 49 ft
0:00.0,,,79-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Shooting foul by M. Ellis (drawn by M. Smart),,79-76,,
11:46.0,M. Smart makes free throw 1 of 2,1,80-76,,
11:46.0,M. Smart misses free throw 2 of 2,,80-76,,
11:46.0,,,80-76,,Defensive rebound by A. Jefferson
11:46.0,,,80-76,,J. Teague enters the game for M. Ellis
11:21.0,,,80-76,,J. Teague misses 3-pt shot from 24 ft
11:21.0,,,80-76,,Offensive rebound by Team
11:21.0,,,80-76,,Turnover by Team (shot clock)
11:07.0,T. Zeller misses 2-pt shot from 21 ft,,80-76,,
11:05.0,Offensive rebound by T. Zeller,,80-76,,
10:56.0,M. Smart makes 2-pt shot from 13 ft,2,82-76,,
10:35.0,,,82-76,,J. Teague misses 2-pt shot from 10 ft
10:34.0,,,82-76,,Offensive rebound by J. Teague
10:33.0,,,82-76,,Turnover by J. Teague (bad pass; steal by M. Smart)
10:21.0,,,82-76,,Personal foul by A. Brooks (drawn by M. Smart)
10:13.0,M. Smart makes 2-pt shot from 15 ft (assist by T. Rozier),2,84-76,,
9:52.0,,,84-78,2,G. Robinson makes 2-pt shot from 7 ft
9:36.0,A. Johnson misses 2-pt shot from 9 ft,,84-78,,
9:36.0,,,84-78,,Defensive rebound by L. Allen
9:24.0,,,84-78,,Turnover by A. Jefferson (bad pass; steal by T. Rozier)
9:21.0,Shooting foul by A. Brooks (drawn by T. Rozier),,84-78,,
9:21.0,T. Rozier misses free throw 1 of 2,,84-78,,
9:21.0,Offensive rebound by Team,,84-78,,
9:21.0,T. Rozier makes free throw 2 of 2,1,85-78,,
9:21.0,,,84-78,,C. Miles enters the game for A. Brooks
9:07.0,,,85-78,,G. Robinson misses 2-pt shot from 16 ft
9:06.0,Defensive rebound by T. Rozier,,85-78,,
8:59.0,M. Smart misses 2-pt shot from 20 ft,,85-78,,
8:58.0,,,85-78,,Defensive rebound by A. Jefferson
8:47.0,,,85-80,2,G. Robinson makes 2-pt shot from 21 ft (assist by J. Teague)
8:47.0,Boston full timeout,,85-80,,
8:47.0,A. Bradley enters the game for T. Zeller,,85-80,,
8:47.0,K. Olynyk enters the game for J. Young,,85-80,,
8:29.0,Turnover by A. Bradley (bad pass; steal by L. Allen),,85-80,,
8:06.0,Shooting block foul by K. Olynyk (drawn by J. Teague),,85-80,,
8:06.0,,,85-81,1,J. Teague makes free throw 1 of 2
8:06.0,,,85-81,,J. Teague misses free throw 2 of 2
8:06.0,Defensive rebound by K. Olynyk,,85-81,,
7:45.0,M. Smart misses 2-pt shot from 2 ft (block by G. Robinson),,85-81,,
7:44.0,Offensive rebound by A. Johnson,,85-81,,
7:43.0,A. Johnson makes 2-pt shot from 2 ft,2,87-81,,
7:17.0,,,87-81,,J. Teague misses 2-pt shot from 6 ft
7:16.0,Defensive rebound by T. Rozier,,87-81,,
7:05.0,Turnover by A. Bradley (bad pass),,87-81,,
6:42.0,,,87-81,,J. Teague misses 3-pt shot from 27 ft
6:42.0,Defensive rebound by T. Rozier,,87-81,,
6:18.0,Turnover by Team (shot clock),,87-81,,
6:18.0,,,87-81,,M. Turner enters the game for A. Jefferson
6:05.0,,,87-81,,C. Miles misses 2-pt shot from 5 ft
6:05.0,,,87-81,,Offensive rebound by M. Turner
6:05.0,,,87-83,2,M. Turner makes 2-pt shot from 2 ft
6:05.0,,,87-83,,Shooting foul by K. Olynyk (drawn by M. Turner)
6:05.0,,,87-84,1,M. Turner makes free throw 1 of 1
6:05.0,J. Jerebko enters the game for K. Olynyk,,87-83,,
6:05.0,I. Thomas enters the game for M. Smart,,87-83,,
5:48.0,I. Thomas misses 2-pt shot from 7 ft (block by M. Turner),,87-84,,
5:47.0,,,87-84,,Defensive rebound by G. Robinson
5:44.0,,,87-84,,J. Teague misses 2-pt shot from 6 ft (block by J. Jerebko)
