time,Boston,pts.away,score,pts.home,New York
1:36.0,,,84-67,,Shooting foul by M. Smart (drawn by K. O'Quinn)
1:36.0,,,84-68,1,K. O'Quinn makes free throw 1 of 2
1:36.0,,,84-69,1,K. O'Quinn makes free throw 2 of 2
1:36.0,J. Brown enters the game for J. Crowder,,84-68,,
1:23.0,J. Brown makes 2-pt shot at rim (assist by M. Smart),2,86-69,,
1:12.0,,,86-69,,R. Baker misses 2-pt shot from 3 ft
1:11.0,Defensive rebound by J. Jerebko,,86-69,,
0:56.0,T. Rozier misses 3-pt shot from 25 ft,,86-69,,
0:55.0,,,86-69,,Defensive rebound by Team
0:55.0,Loose ball foul by J. Jerebko (drawn by K. O'Quinn),,86-69,,
0:55.0,,,86-70,1,K. O'Quinn makes free throw 1 of 2
0:55.0,,,86-71,1,K. O'Quinn makes free throw 2 of 2
0:55.0,,,86-70,,C. Randle enters the game for C. Lee
0:40.0,Turnover by M. Smart (traveling),,86-71,,
0:29.0,,,86-71,,R. Baker misses 2-pt shot from 1 ft
0:27.0,Defensive rebound by J. Jerebko,,86-71,,
0:22.0,M. Smart misses 3-pt shot from 25 ft,,86-71,,
0:21.0,Offensive rebound by J. Brown,,86-71,,
0:21.0,Shooting foul by R. Baker (drawn by J. Brown),,86-71,,
0:21.0,J. Brown makes free throw 1 of 2,1,87-71,,
0:21.0,J. Brown makes free throw 2 of 2,1,88-71,,
0:02.0,,,88-71,,J. Holiday misses 2-pt shot from 21 ft
0:01.0,Defensive rebound by J. Jerebko,,88-71,,
0:00.0,J. Jerebko misses 3-pt shot from 47 ft,,88-71,,
0:00.0,Offensive rebound by Team,,88-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,J. Jerebko misses 2-pt shot from 2 ft (block by K. O'Quinn),,88-71,,
11:42.0,Offensive rebound by Team,,88-71,,
11:37.0,J. Jerebko misses 2-pt shot from 1 ft (block by K. O'Quinn),,88-71,,
11:35.0,,,88-71,,Defensive rebound by K. O'Quinn
11:19.0,,,88-71,,Turnover by C. Randle (bad pass; steal by T. Rozier)
11:03.0,M. Smart makes 3-pt shot from 25 ft (assist by T. Rozier),3,91-71,,
10:44.0,,,91-71,,C. Randle misses 3-pt shot from 26 ft
10:43.0,Defensive rebound by K. Olynyk,,91-71,,
10:31.0,K. Olynyk misses 2-pt shot from 14 ft,,91-71,,
10:29.0,,,91-71,,Defensive rebound by C. Randle
10:29.0,Personal foul by J. Jerebko (drawn by C. Randle),,91-71,,
10:17.0,,,91-71,,S. Vujacic misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by K. Olynyk,,91-71,,
10:09.0,T. Rozier makes 2-pt shot from 3 ft,2,93-71,,
10:09.0,Shooting foul by K. O'Quinn (drawn by T. Rozier),,93-71,,
10:09.0,T. Rozier misses free throw 1 of 1,,93-71,,
10:07.0,,,93-71,,Defensive rebound by K. O'Quinn
9:54.0,,,93-71,,K. O'Quinn misses 2-pt shot from 19 ft
9:53.0,,,93-71,,Offensive rebound by Team
9:53.0,,,93-71,,New York full timeout
9:53.0,,,93-71,,M. Kuzminskas enters the game for S. Vujacic
9:48.0,,,93-71,,Turnover by C. Randle (bad pass; steal by T. Rozier)
9:45.0,,,93-71,,Personal foul by J. Holiday (drawn by T. Rozier)
9:29.0,Turnover by M. Smart (bad pass; steal by M. Ndour),,93-71,,
9:21.0,,,93-71,,J. Holiday misses 2-pt shot from 11 ft
9:20.0,Defensive rebound by J. Jerebko,,93-71,,
9:12.0,Shooting foul by M. Ndour (drawn by J. Jerebko),,93-71,,
9:12.0,J. Jerebko makes free throw 1 of 2,1,94-71,,
9:12.0,J. Jerebko misses free throw 2 of 2,,94-71,,
9:11.0,,,94-71,,Defensive rebound by C. Randle
8:56.0,,,94-71,,K. O'Quinn misses 2-pt shot from 12 ft (block by K. Olynyk)
8:54.0,,,94-71,,Offensive rebound by K. O'Quinn
8:51.0,,,94-71,,C. Randle misses 3-pt shot from 24 ft
8:50.0,,,94-71,,Offensive rebound by Team
8:50.0,Loose ball foul by J. Jerebko (drawn by M. Ndour),,94-71,,
