time,Detroit,pts.away,score,pts.home,Miami
1:21.0,,,54-64,2,J. Richardson makes 2-pt shot from 2 ft
1:10.0,A. Drummond makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,56-64,,
1:10.0,Shooting foul by J. Johnson (drawn by A. Drummond),,56-64,,
1:10.0,A. Drummond misses free throw 1 of 1,,56-64,,
1:10.0,,,56-64,,R. McGruder enters the game for T. Johnson
1:09.0,,,56-64,,Defensive rebound by D. Williams
1:00.0,Personal block foul by A. Drummond (drawn by J. Johnson),,56-64,,
1:00.0,,,56-65,1,J. Johnson makes free throw 1 of 2
1:00.0,,,56-66,1,J. Johnson makes free throw 2 of 2
1:00.0,,,56-65,,U. Haslem enters the game for D. Williams
1:00.0,T. Harris enters the game for S. Johnson,,56-65,,
0:47.0,Shooting foul by U. Haslem (drawn by A. Drummond),,56-66,,
0:47.0,A. Drummond misses free throw 1 of 2,,56-66,,
0:47.0,Offensive rebound by Team,,56-66,,
0:47.0,A. Drummond misses free throw 2 of 2,,56-66,,
0:46.0,,,56-66,,Defensive rebound by J. Johnson
0:29.0,,,56-66,,Turnover by J. Richardson (bad pass; steal by R. Jackson)
0:25.0,A. Drummond misses 2-pt shot from 3 ft,,56-66,,
0:24.0,Offensive rebound by T. Harris,,56-66,,
0:02.0,R. Jackson makes 2-pt shot from 5 ft,2,58-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,58-66,,Turnover by Team (shot clock)
11:14.0,R. Jackson makes 2-pt shot from 1 ft,2,60-66,,
10:49.0,,,60-66,,R. McGruder misses 2-pt shot from 12 ft
10:48.0,Defensive rebound by A. Drummond,,60-66,,
10:44.0,,,60-66,,Personal foul by J. Richardson (drawn by J. Leuer)
10:33.0,R. Jackson makes 2-pt shot from 12 ft,2,62-66,,
10:07.0,,,62-68,2,L. Babbitt makes 2-pt shot from 18 ft
9:53.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,62-68,,
9:52.0,,,62-68,,Defensive rebound by L. Babbitt
9:40.0,,,62-68,,W. Ellington misses 3-pt shot from 23 ft
9:39.0,Defensive rebound by A. Drummond,,62-68,,
9:34.0,,,62-68,,Personal foul by R. McGruder (drawn by M. Morris)
9:34.0,Turnover by K. Caldwell-Pope (inbound),,62-68,,
9:14.0,,,62-68,,L. Babbitt misses 2-pt shot from 14 ft
9:13.0,Defensive rebound by K. Caldwell-Pope,,62-68,,
9:04.0,,,62-68,,Personal foul by L. Babbitt (drawn by J. Leuer)
9:04.0,,,62-68,,J. Johnson enters the game for L. Babbitt
8:51.0,Turnover by A. Drummond (lost ball; steal by J. Richardson),,62-68,,
8:48.0,Shooting block foul by R. Jackson (drawn by J. Richardson),,62-68,,
8:48.0,,,62-69,1,J. Richardson makes free throw 1 of 2
8:48.0,,,62-69,,J. Richardson misses free throw 2 of 2
8:47.0,,,62-69,,Offensive rebound by R. McGruder
8:34.0,,,62-69,,W. Ellington misses 2-pt shot from 20 ft
8:33.0,Defensive rebound by J. Leuer,,62-69,,
8:19.0,Turnover by K. Caldwell-Pope (lost ball; steal by J. Richardson),,62-69,,
8:13.0,,,62-69,,Turnover by R. McGruder (bad pass; steal by K. Caldwell-Pope)
8:07.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,62-69,,
8:06.0,Offensive rebound by A. Drummond,,62-69,,
8:04.0,A. Drummond makes 2-pt shot at rim,2,64-69,,
7:52.0,,,64-69,,Shooting foul by J. Leuer (drawn by J. Johnson)
7:52.0,,,64-70,1,J. Johnson makes free throw 1 of 2
7:52.0,,,64-71,1,J. Johnson makes free throw 2 of 2
7:52.0,,,64-70,,T. Johnson enters the game for J. Richardson
7:30.0,R. Jackson misses 3-pt shot from 28 ft,,64-71,,
7:29.0,Offensive rebound by Team,,64-71,,
7:28.0,Turnover by Team (shot clock),,64-71,,
7:19.0,,,64-71,,Turnover by J. Johnson (bad pass; steal by K. Caldwell-Pope)
7:14.0,J. Leuer misses 2-pt shot from 2 ft (block by J. Johnson),,64-71,,
7:13.0,,,64-71,,Defensive rebound by R. McGruder
7:05.0,,,64-71,,W. Ellington misses 2-pt shot from 2 ft
7:04.0,,,64-71,,Offensive rebound by Team
6:56.0,,,64-71,,J. Johnson misses 2-pt shot from 16 ft
6:55.0,Defensive rebound by A. Drummond,,64-71,,
6:36.0,M. Morris misses 2-pt shot from 2 ft,,64-71,,
6:35.0,,,64-71,,Defensive rebound by Team
6:35.0,Loose ball foul by A. Drummond (drawn by W. Reed),,64-71,,
6:23.0,,,64-73,2,W. Ellington makes 2-pt shot from 8 ft
6:23.0,Detroit full timeout,,64-73,,
6:23.0,T. Harris enters the game for M. Morris,,64-73,,
6:05.0,A. Drummond makes 2-pt shot from 9 ft,2,66-73,,
5:39.0,,,66-73,,W. Reed misses 2-pt shot from 16 ft
5:38.0,Defensive rebound by R. Jackson,,66-73,,
