time,Cleveland,pts.away,score,pts.home,Charlotte
3:24.0,,,114-104,,Technical foul by K. Walker
3:24.0,L. James misses technical free throw,,114-104,,
3:24.0,Offensive rebound by Team,,114-104,,
3:12.0,L. James makes 2-pt shot from 22 ft,2,116-104,,
2:56.0,,,116-104,,Turnover by K. Walker (lost ball)
2:56.0,,,116-104,,Technical foul by Team
2:56.0,,,116-104,,Charlotte full timeout
2:56.0,K. Love makes technical free throw,1,117-104,,
2:33.0,L. James makes 2-pt shot from 2 ft,2,119-104,,
2:21.0,,,119-104,,Turnover by K. Walker (bad pass; steal by I. Shumpert)
2:01.0,L. James misses 2-pt shot from 17 ft,,119-104,,
2:00.0,,,119-104,,Defensive rebound by N. Batum
1:59.0,,,119-104,,Charlotte full timeout
1:59.0,,,119-104,,B. Roberts enters the game for M. Kidd-Gilchrist
1:59.0,,,119-104,,T. Graham enters the game for M. Williams
1:59.0,,,119-104,,F. Kaminsky enters the game for C. Zeller
1:59.0,,,119-104,,A. Harrison enters the game for N. Batum
1:59.0,,,119-104,,J. Lamb enters the game for K. Walker
1:59.0,J. Jones enters the game for L. James,,119-104,,
1:59.0,R. Jefferson enters the game for K. Love,,119-104,,
1:59.0,D. Liggins enters the game for T. Thompson,,119-104,,
1:43.0,,,119-104,,Shooting foul by I. Shumpert (drawn by T. Graham)
1:43.0,,,119-104,,T. Graham misses free throw 1 of 2
1:43.0,,,119-104,,Offensive rebound by Team
1:43.0,,,119-104,,T. Graham misses free throw 2 of 2
1:43.0,K. Felder enters the game for D. Liggins,,119-104,,
1:42.0,Defensive rebound by J. McRae,,119-104,,
1:21.0,R. Jefferson misses 3-pt shot from 25 ft,,119-104,,
1:20.0,,,119-104,,Defensive rebound by F. Kaminsky
1:04.0,,,119-106,2,F. Kaminsky makes 2-pt shot from 14 ft (assist by T. Graham)
0:43.0,K. Felder misses 2-pt shot from 11 ft,,119-106,,
