time,Charlotte,pts.away,score,pts.home,Utah
3:47.0,,,68-67,,Defensive rebound by D. Favors
3:38.0,,,68-67,,D. Favors misses 2-pt shot from 9 ft
3:37.0,Defensive rebound by M. Williams,,68-67,,
3:17.0,F. Kaminsky misses 3-pt shot from 25 ft,,68-67,,
3:17.0,,,68-67,,Defensive rebound by T. Lyles
3:04.0,Personal foul by M. Kidd-Gilchrist (drawn by A. Burks),,68-67,,
3:04.0,J. Lamb enters the game for M. Williams,,68-67,,
3:04.0,M. Plumlee enters the game for N. Batum,,68-67,,
3:04.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,68-67,,
2:57.0,,,68-67,,A. Burks misses 2-pt shot from 2 ft (block by M. Plumlee)
2:57.0,Defensive rebound by J. Lamb,,68-67,,
2:51.0,Shooting foul by A. Burks (drawn by J. Lamb),,68-67,,
2:51.0,Charlotte full timeout,,68-67,,
2:51.0,J. Lamb makes free throw 1 of 2,1,69-67,,
2:51.0,J. Lamb makes free throw 2 of 2,1,70-67,,
2:51.0,,,68-67,,R. Gobert enters the game for D. Favors
2:51.0,,,68-67,,J. Ingles enters the game for T. Lyles
2:37.0,,,70-67,,Offensive charge foul by R. Gobert
2:37.0,,,70-67,,Turnover by R. Gobert (offensive foul)
2:23.0,Shooting foul by D. Exum (drawn by K. Walker),,70-67,,
2:23.0,K. Walker makes free throw 1 of 3,1,71-67,,
2:23.0,K. Walker makes free throw 2 of 3,1,72-67,,
2:23.0,K. Walker makes free throw 3 of 3,1,73-67,,
2:13.0,,,73-69,2,A. Burks makes 2-pt shot from 2 ft
1:51.0,F. Kaminsky misses 2-pt shot from 2 ft,,73-69,,
1:50.0,Offensive rebound by M. Plumlee,,73-69,,
1:50.0,M. Plumlee misses 2-pt shot from 2 ft,,73-69,,
1:49.0,Offensive rebound by K. Walker,,73-69,,
1:38.0,M. Belinelli makes 3-pt shot from 26 ft,3,76-69,,
1:20.0,,,76-69,,D. Exum misses 2-pt shot from 2 ft (block by M. Plumlee)
1:19.0,Defensive rebound by M. Plumlee,,76-69,,
1:09.0,F. Kaminsky misses 2-pt shot from 2 ft,,76-69,,
1:09.0,,,76-69,,Defensive rebound by J. Ingles
1:03.0,,,76-69,,Offensive charge foul by A. Burks
1:03.0,,,76-69,,Turnover by A. Burks (offensive foul)
1:03.0,M. Williams enters the game for F. Kaminsky,,76-69,,
0:42.0,K. Walker misses 3-pt shot from 27 ft,,76-69,,
0:42.0,,,76-69,,Defensive rebound by D. Exum
0:35.0,,,76-71,2,D. Exum makes 2-pt shot from 3 ft
0:16.0,K. Walker makes 3-pt shot from 25 ft,3,79-71,,
0:04.0,,,79-71,,D. Exum misses 2-pt shot from 2 ft
0:04.0,,,79-71,,Offensive rebound by R. Gobert
