time,Cleveland,pts.away,score,pts.home,Chicago
11:40.0,Defensive rebound by L. James,,71-78,,
11:32.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,74-78,,
11:14.0,Personal foul by I. Shumpert (drawn by B. Portis),,74-78,,
11:00.0,,,74-78,,M. Carter-Williams misses 2-pt shot from 5 ft
10:59.0,Defensive rebound by L. James,,74-78,,
10:40.0,C. Frye makes 2-pt shot from 22 ft (assist by L. James),2,76-78,,
10:18.0,,,76-78,,J. Lauvergne misses 3-pt shot from 25 ft
10:15.0,,,76-78,,Offensive rebound by B. Portis
10:15.0,,,76-80,2,B. Portis makes 2-pt shot from 1 ft
9:54.0,I. Shumpert misses 2-pt shot from 22 ft,,76-80,,
9:53.0,,,76-80,,Defensive rebound by J. Butler
9:31.0,,,76-80,,Shooting foul by C. Frye (drawn by D. Valentine)
9:31.0,,,76-80,,D. Valentine misses free throw 1 of 2
9:31.0,,,76-80,,Offensive rebound by Team
9:31.0,,,76-81,1,D. Valentine makes free throw 2 of 2
9:11.0,C. Frye misses 3-pt shot from 24 ft,,76-81,,
9:11.0,,,76-81,,Defensive rebound by Team
9:11.0,Personal foul by I. Shumpert (drawn by B. Portis),,76-81,,
8:53.0,,,76-81,,M. Carter-Williams misses 2-pt shot from 8 ft
8:52.0,Defensive rebound by L. James,,76-81,,
8:42.0,I. Shumpert misses 3-pt shot from 24 ft,,76-81,,
8:41.0,Offensive rebound by I. Shumpert,,76-81,,
8:37.0,D. Williams misses 3-pt shot from 24 ft,,76-81,,
8:36.0,,,76-81,,Defensive rebound by J. Lauvergne
8:16.0,,,76-81,,J. Butler misses 2-pt shot from 20 ft
8:16.0,Defensive rebound by C. Frye,,76-81,,
8:07.0,Turnover by J. Smith (lost ball; steal by M. Carter-Williams),,76-81,,
7:55.0,,,76-81,,J. Lauvergne misses 2-pt shot from 4 ft
7:54.0,,,76-81,,Offensive rebound by B. Portis
7:54.0,,,76-83,2,B. Portis makes 2-pt shot from 1 ft
7:48.0,Cleveland full timeout,,76-83,,
7:48.0,K. Irving enters the game for D. Williams,,76-83,,
7:48.0,,,76-83,,N. Mirotic enters the game for J. Lauvergne
7:29.0,L. James makes 2-pt shot from 1 ft,2,78-83,,
7:13.0,,,78-86,3,J. Butler makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
