time,Denver,pts.away,score,pts.home,Sacramento
3:57.0,,,96-84,,Turnover by A. Tolliver (lost ball; steal by M. Plumlee)
3:43.0,J. Nelson misses 2-pt shot from 22 ft,,96-84,,
3:42.0,,,96-84,,Defensive rebound by B. Hield
3:29.0,,,96-84,,Turnover by B. Hield (bad pass; steal by N. Jokic)
3:22.0,,,96-84,,Personal foul by T. Lawson (drawn by N. Jokic)
3:22.0,N. Jokic makes free throw 1 of 2,1,97-84,,
3:22.0,N. Jokic makes free throw 2 of 2,1,98-84,,
3:10.0,,,98-86,2,B. Hield makes 2-pt shot from 2 ft
2:55.0,Shooting foul by A. Afflalo (drawn by D. Gallinari),,98-86,,
2:55.0,D. Gallinari misses free throw 1 of 3,,98-86,,
2:55.0,Offensive rebound by Team,,98-86,,
2:55.0,D. Gallinari makes free throw 2 of 3,1,99-86,,
2:55.0,D. Gallinari makes free throw 3 of 3,1,100-86,,
2:55.0,J. Murray enters the game for M. Plumlee,,99-86,,
2:38.0,,,100-88,2,T. Lawson makes 2-pt shot from 3 ft
2:21.0,D. Gallinari misses 3-pt shot from 24 ft,,100-88,,
2:21.0,,,100-88,,Defensive rebound by W. Cauley-Stein
2:11.0,,,100-88,,B. Hield misses 3-pt shot from 25 ft
2:11.0,Defensive rebound by Team,,100-88,,
2:11.0,,,100-88,,Loose ball foul by T. Lawson (drawn by J. Nelson)
2:11.0,J. Nelson makes free throw 1 of 2,1,101-88,,
2:11.0,J. Nelson misses free throw 2 of 2,,101-88,,
2:11.0,,,100-88,,D. Collison enters the game for T. Lawson
2:10.0,,,101-88,,Defensive rebound by W. Cauley-Stein
2:03.0,,,101-88,,A. Afflalo misses 2-pt shot from 7 ft
2:01.0,,,101-88,,Offensive rebound by B. Hield
1:55.0,,,101-88,,Turnover by B. Hield (lost ball; steal by J. Murray)
1:51.0,D. Gallinari makes 2-pt shot at rim,2,103-88,,
