time,Miami,pts.away,score,pts.home,Philadelphia
0:51.0,,,74-76,,G. Henderson enters the game for J. Bayless
0:49.0,,,74-76,,Defensive rebound by G. Henderson
0:38.0,,,74-78,2,J. Embiid makes 2-pt shot from 4 ft (assist by T. McConnell)
0:18.0,J. Johnson makes 2-pt shot from 1 ft,2,76-78,,
0:00.0,,,76-78,,J. Embiid misses 2-pt shot from 18 ft
0:00.0,,,76-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,J. Johnson misses 2-pt shot from 8 ft,,76-78,,
11:37.0,Offensive rebound by J. Johnson,,76-78,,
11:28.0,J. Richardson misses 2-pt shot from 16 ft,,76-78,,
11:26.0,Offensive rebound by J. McRoberts,,76-78,,
11:22.0,J. Richardson misses 3-pt shot from 28 ft,,76-78,,
11:20.0,Offensive rebound by J. McRoberts,,76-78,,
11:07.0,T. Johnson misses 2-pt shot from 3 ft,,76-78,,
11:05.0,Offensive rebound by R. McGruder,,76-78,,
11:05.0,R. McGruder makes 2-pt shot from 2 ft,2,78-78,,
10:54.0,Personal foul by J. Johnson (drawn by N. Stauskas),,78-78,,
10:38.0,,,78-78,,Turnover by Team (shot clock)
10:38.0,,,78-78,,E. Ilyasova enters the game for D. Saric
10:22.0,Offensive charge foul by R. McGruder,,78-78,,
10:22.0,Turnover by R. McGruder (offensive foul),,78-78,,
10:22.0,,,78-78,,R. Covington enters the game for N. Stauskas
10:03.0,,,78-78,,J. Embiid misses 2-pt shot from 5 ft (block by J. McRoberts)
10:01.0,Defensive rebound by R. McGruder,,78-78,,
9:55.0,J. McRoberts misses 3-pt shot from 25 ft,,78-78,,
9:53.0,,,78-78,,Defensive rebound by E. Ilyasova
9:39.0,,,78-78,,G. Henderson misses 2-pt shot from 14 ft (block by J. Richardson)
9:37.0,,,78-78,,Offensive rebound by Team
9:37.0,Loose ball foul by T. Johnson (drawn by E. Ilyasova),,78-78,,
9:37.0,,,78-78,,J. Okafor enters the game for J. Embiid
9:28.0,,,78-80,2,T. McConnell makes 2-pt shot from 1 ft
9:08.0,J. Richardson misses 3-pt shot from 27 ft,,78-80,,
9:06.0,Offensive rebound by R. McGruder,,78-80,,
9:00.0,J. McRoberts makes 2-pt shot from 2 ft (assist by T. Johnson),2,80-80,,
8:42.0,,,80-82,2,G. Henderson makes 2-pt shot from 3 ft (assist by E. Ilyasova)
8:24.0,J. McRoberts misses 2-pt shot from 12 ft (block by J. Okafor),,80-82,,
8:22.0,,,80-82,,Defensive rebound by R. Covington
8:16.0,,,80-85,3,G. Henderson makes 3-pt shot from 25 ft (assist by E. Ilyasova)
8:15.0,Miami full timeout,,80-85,,
8:15.0,H. Whiteside enters the game for J. McRoberts,,80-85,,
7:54.0,J. Johnson misses 3-pt shot from 26 ft,,80-85,,
7:52.0,Offensive rebound by R. McGruder,,80-85,,
7:43.0,H. Whiteside makes 2-pt shot from 2 ft (assist by J. Richardson),2,82-85,,
7:15.0,,,82-87,2,J. Okafor makes 2-pt shot from 13 ft
7:00.0,Turnover by J. Johnson (traveling),,82-87,,
7:00.0,,,82-87,,J. Bayless enters the game for T. McConnell
7:00.0,G. Dragic enters the game for R. McGruder,,82-87,,
7:00.0,D. Waiters enters the game for J. Richardson,,82-87,,
6:35.0,,,82-87,,J. Bayless misses 3-pt shot from 25 ft (block by G. Dragic)
6:33.0,Defensive rebound by T. Johnson,,82-87,,
6:28.0,T. Johnson makes 3-pt shot from 24 ft (assist by J. Johnson),3,85-87,,
6:09.0,,,85-87,,J. Bayless misses 2-pt shot from 19 ft
6:08.0,,,85-87,,Offensive rebound by R. Covington
