time,Brooklyn,pts.away,score,pts.home,Orlando
1:04.0,Defensive rebound by B. Lopez,,50-50,,
0:52.0,B. Lopez makes 2-pt shot from 1 ft,2,52-50,,
0:32.0,,,52-50,,Shooting foul by B. Bogdanovic (drawn by N. Vucevic)
0:32.0,,,52-51,1,N. Vucevic makes free throw 1 of 2
0:32.0,,,52-51,,N. Vucevic misses free throw 2 of 2
0:32.0,,,52-51,,E. Payton enters the game for D. Augustin
0:31.0,,,52-51,,Offensive rebound by E. Payton
0:18.0,,,52-53,2,E. Fournier makes 2-pt shot from 2 ft
0:04.0,,,52-53,,Personal take foul by E. Payton (drawn by J. Lin)
0:00.0,T. Booker misses 3-pt shot from 26 ft,,52-53,,
0:00.0,Offensive rebound by Team,,52-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,,,52-53,,S. Ibaka misses 2-pt shot from 1 ft
11:33.0,Defensive rebound by T. Booker,,52-53,,
11:29.0,S. Kilpatrick makes 2-pt shot from 1 ft (assist by T. Booker),2,54-53,,
11:29.0,,,54-53,,Technical foul by Team
11:29.0,B. Bogdanovic makes technical free throw,1,55-53,,
11:18.0,,,55-53,,E. Fournier misses 2-pt shot from 22 ft
11:17.0,Defensive rebound by I. Whitehead,,55-53,,
11:10.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by I. Whitehead),3,58-53,,
10:51.0,,,58-53,,S. Ibaka misses 2-pt shot from 19 ft
10:51.0,Defensive rebound by T. Booker,,58-53,,
10:42.0,T. Booker misses 2-pt shot from 3 ft (block by S. Ibaka),,58-53,,
10:41.0,,,58-53,,Defensive rebound by S. Ibaka
10:34.0,,,58-53,,A. Gordon misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by B. Lopez,,58-53,,
10:22.0,B. Bogdanovic misses 2-pt shot at rim,,58-53,,
10:21.0,,,58-53,,Defensive rebound by D. Augustin
10:14.0,,,58-53,,A. Gordon misses 3-pt shot from 25 ft
10:10.0,Defensive rebound by I. Whitehead,,58-53,,
10:06.0,,,58-53,,Personal foul by B. Biyombo (drawn by B. Lopez)
9:58.0,S. Kilpatrick misses 2-pt shot from 8 ft,,58-53,,
9:58.0,,,58-53,,Defensive rebound by B. Biyombo
9:42.0,,,58-55,2,S. Ibaka makes 2-pt shot from 9 ft
9:31.0,Shooting foul by B. Biyombo (drawn by B. Lopez),,58-55,,
9:31.0,B. Lopez misses free throw 1 of 2,,58-55,,
9:31.0,Offensive rebound by Team,,58-55,,
9:31.0,B. Lopez makes free throw 2 of 2,1,59-55,,
9:31.0,,,58-55,,N. Vucevic enters the game for B. Biyombo
9:14.0,,,59-55,,E. Fournier misses 2-pt shot from 7 ft (block by B. Lopez)
9:13.0,Defensive rebound by B. Bogdanovic,,59-55,,
9:12.0,Shooting foul by A. Gordon (drawn by S. Kilpatrick),,59-55,,
9:12.0,S. Kilpatrick makes free throw 1 of 2,1,60-55,,
9:12.0,S. Kilpatrick makes free throw 2 of 2,1,61-55,,
8:58.0,,,61-55,,N. Vucevic misses 2-pt shot from 3 ft
8:57.0,,,61-55,,Offensive rebound by S. Ibaka
8:57.0,,,61-57,2,S. Ibaka makes 2-pt shot from 2 ft
8:45.0,B. Lopez misses 2-pt shot from 5 ft,,61-57,,
8:45.0,,,61-57,,Defensive rebound by S. Ibaka
8:45.0,Technical foul by Team,,61-57,,
8:45.0,,,61-57,,E. Fournier misses technical free throw
8:45.0,,,61-57,,Offensive rebound by Team
8:23.0,,,61-57,,A. Gordon misses 2-pt shot from 9 ft
8:22.0,Defensive rebound by B. Lopez,,61-57,,
8:16.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by S. Kilpatrick),3,64-57,,
8:16.0,,,64-57,,Orlando full timeout
8:16.0,,,64-57,,J. Green enters the game for A. Gordon
7:52.0,,,64-57,,J. Green misses 3-pt shot from 26 ft
7:51.0,,,64-57,,Offensive rebound by Team
