time,Houston,pts.away,score,pts.home,New Orleans
9:10.0,,,72-50,,Defensive rebound by D. Cousins
9:03.0,Personal foul by P. Beverley (drawn by A. Davis),,72-50,,
8:48.0,,,72-52,2,A. Davis makes 2-pt shot from 3 ft (assist by S. Hill)
8:48.0,,,72-52,,Personal foul by D. Cousins (drawn by N. Hilario)
8:48.0,Personal foul by N. Hilario,,72-52,,
8:48.0,,,72-52,,D. Cunningham enters the game for E. Moore
8:36.0,N. Hilario makes 2-pt shot at rim (assist by J. Harden),2,74-52,,
8:21.0,,,74-54,2,J. Holiday makes 2-pt shot from 2 ft
8:05.0,N. Hilario makes 2-pt shot from 2 ft (assist by T. Ariza),2,76-54,,
7:49.0,Personal foul by N. Hilario (drawn by D. Cousins),,76-54,,
7:42.0,,,76-54,,J. Holiday misses 3-pt shot from 26 ft
7:41.0,,,76-54,,Offensive rebound by A. Davis
7:38.0,,,76-54,,A. Davis misses 2-pt shot from 2 ft (block by T. Ariza)
7:37.0,Defensive rebound by T. Ariza,,76-54,,
7:23.0,R. Anderson misses 3-pt shot from 23 ft (block by J. Holiday),,76-54,,
7:21.0,,,76-54,,Defensive rebound by D. Cousins
7:14.0,,,76-54,,A. Davis misses 3-pt shot from 25 ft
7:12.0,Defensive rebound by P. Beverley,,76-54,,
7:12.0,,,76-54,,Loose ball foul by D. Cunningham (drawn by P. Beverley)
6:58.0,J. Harden makes 3-pt shot from 27 ft,3,79-54,,
6:44.0,,,79-54,,Turnover by J. Holiday (bad pass; steal by P. Beverley)
6:39.0,,,79-54,,New Orleans full timeout
6:39.0,E. Gordon enters the game for P. Beverley,,79-54,,
6:36.0,R. Anderson makes 3-pt shot from 23 ft (assist by T. Ariza),3,82-54,,
6:22.0,,,82-54,,Turnover by S. Hill (bad pass; steal by N. Hilario)
6:17.0,N. Hilario misses 2-pt shot from 1 ft,,82-54,,
6:15.0,,,82-54,,Defensive rebound by S. Hill
6:08.0,,,82-56,2,A. Davis makes 2-pt shot at rim (assist by S. Hill)
5:46.0,J. Harden misses 3-pt shot from 27 ft,,82-56,,
5:46.0,,,82-56,,Defensive rebound by D. Cousins
5:37.0,,,82-56,,Turnover by J. Holiday (bad pass)
5:37.0,C. Capela enters the game for N. Hilario,,82-56,,
5:12.0,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden),3,85-56,,
4:56.0,,,85-58,2,D. Cousins makes 2-pt shot from 2 ft
4:44.0,R. Anderson makes 2-pt shot from 18 ft,2,87-58,,
4:28.0,,,87-58,,A. Davis misses 2-pt shot from 2 ft
4:27.0,Defensive rebound by R. Anderson,,87-58,,
4:23.0,Shooting foul by D. Cunningham (drawn by C. Capela),,87-58,,
4:23.0,C. Capela makes free throw 1 of 2,1,88-58,,
4:23.0,C. Capela misses free throw 2 of 2,,88-58,,
4:23.0,,,88-58,,O. Casspi enters the game for D. Cousins
4:21.0,,,88-58,,Defensive rebound by A. Davis
3:59.0,,,88-58,,Turnover by A. Davis (bad pass)
3:42.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,90-58,,
3:34.0,Personal foul by E. Gordon (drawn by A. Davis),,90-58,,
3:34.0,L. Williams enters the game for R. Anderson,,90-58,,
3:20.0,,,90-58,,O. Casspi misses 3-pt shot from 25 ft
3:20.0,Defensive rebound by C. Capela,,90-58,,
3:04.0,Turnover by C. Capela (lost ball),,90-58,,
3:04.0,,,90-58,,T. Frazier enters the game for S. Hill
2:56.0,,,90-60,2,J. Holiday makes 2-pt shot from 2 ft
2:43.0,L. Williams misses 3-pt shot from 27 ft,,90-60,,
2:42.0,Offensive rebound by T. Ariza,,90-60,,
2:39.0,T. Ariza misses 2-pt shot from 1 ft,,90-60,,
2:36.0,,,90-60,,Defensive rebound by A. Davis
2:30.0,,,90-60,,O. Casspi misses 2-pt shot from 3 ft (block by C. Capela)
2:29.0,,,90-60,,Offensive rebound by T. Frazier
2:28.0,,,90-62,2,A. Davis makes 2-pt shot from 2 ft (assist by T. Frazier)
2:28.0,,,90-62,,Shooting foul by C. Capela (drawn by A. Davis)
2:28.0,Houston full timeout,,90-62,,
2:28.0,,,90-63,1,A. Davis makes free throw 1 of 1
2:14.0,E. Gordon misses 3-pt shot from 28 ft,,90-63,,
2:14.0,,,90-63,,Defensive rebound by A. Davis
2:00.0,,,90-65,2,O. Casspi makes 2-pt shot from 2 ft
1:48.0,L. Williams makes 3-pt shot from 23 ft (assist by J. Harden),3,93-65,,
1:36.0,,,93-65,,A. Davis misses 2-pt shot from 18 ft
1:35.0,Defensive rebound by T. Ariza,,93-65,,
1:28.0,C. Capela makes 2-pt shot at rim (assist by L. Williams),2,95-65,,
1:12.0,,,95-65,,O. Casspi misses 3-pt shot from 24 ft
1:12.0,Defensive rebound by C. Capela,,95-65,,
1:04.0,T. Ariza makes 3-pt shot from 27 ft (assist by J. Harden),3,98-65,,
0:52.0,,,98-65,,D. Cunningham misses 3-pt shot from 24 ft
0:52.0,,,98-65,,Offensive rebound by O. Casspi
0:47.0,,,98-65,,Turnover by O. Casspi (lost ball; steal by J. Harden)
0:41.0,T. Ariza misses 3-pt shot from 26 ft,,98-65,,
0:38.0,,,98-65,,Defensive rebound by J. Holiday
0:33.0,,,98-65,,J. Holiday misses 2-pt shot from 12 ft
0:30.0,Defensive rebound by E. Gordon,,98-65,,
0:27.0,Shooting foul by D. Cunningham (drawn by E. Gordon),,98-65,,
0:27.0,E. Gordon makes free throw 1 of 2,1,99-65,,
0:27.0,E. Gordon makes free throw 2 of 2,1,100-65,,
0:27.0,S. Dekker enters the game for T. Ariza,,99-65,,
0:09.0,,,100-65,,Shooting foul by C. Capela (drawn by A. Davis)
0:09.0,,,100-66,1,A. Davis makes free throw 1 of 2
0:09.0,,,100-67,1,A. Davis makes free throw 2 of 2
0:09.0,,,100-66,,E. Moore enters the game for J. Holiday
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Personal foul by M. Harrell (drawn by D. Cousins),,100-67,,
11:40.0,,,100-67,,T. Frazier misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by P. Beverley,,100-67,,
11:22.0,S. Dekker misses 3-pt shot from 26 ft,,100-67,,
11:21.0,,,100-67,,Defensive rebound by D. Cousins
11:10.0,,,100-67,,D. Cousins misses 2-pt shot from 5 ft
11:09.0,,,100-67,,Offensive rebound by D. Cousins
11:09.0,,,100-69,2,D. Cousins makes 2-pt shot from 2 ft
10:55.0,E. Gordon misses 3-pt shot from 26 ft,,100-69,,
10:55.0,,,100-69,,Defensive rebound by Team
10:43.0,,,100-69,,E. Moore misses 2-pt shot from 16 ft
10:42.0,Defensive rebound by L. Williams,,100-69,,
10:35.0,L. Williams misses 2-pt shot from 2 ft,,100-69,,
10:33.0,,,100-69,,Defensive rebound by D. Cousins
10:20.0,,,100-71,2,O. Casspi makes 2-pt shot from 4 ft (assist by D. Cousins)
10:01.0,P. Beverley misses 3-pt shot from 26 ft,,100-71,,
10:01.0,Offensive rebound by S. Dekker,,100-71,,
9:57.0,E. Gordon misses 3-pt shot from 26 ft,,100-71,,
9:56.0,,,100-71,,Defensive rebound by D. Cunningham
9:48.0,,,100-73,2,E. Moore makes 2-pt shot from 5 ft
9:41.0,,,100-73,,Personal foul by O. Casspi (drawn by P. Beverley)
9:34.0,L. Williams misses 3-pt shot from 26 ft,,100-73,,
9:34.0,,,100-73,,Defensive rebound by D. Cunningham
9:24.0,,,100-73,,D. Cousins misses 3-pt shot from 25 ft
9:23.0,,,100-73,,Offensive rebound by T. Frazier
9:21.0,,,100-73,,Turnover by T. Frazier (lost ball)
9:16.0,Offensive charge foul by P. Beverley,,100-73,,
9:16.0,Turnover by P. Beverley (offensive foul),,100-73,,
9:04.0,,,100-73,,T. Frazier misses 3-pt shot from 26 ft
9:03.0,Defensive rebound by M. Harrell,,100-73,,
8:47.0,Turnover by E. Gordon (bad pass; steal by D. Cunningham),,100-73,,
8:40.0,,,100-75,2,E. Moore makes 2-pt shot from 1 ft (assist by T. Frazier)
8:30.0,L. Williams makes 2-pt shot from 2 ft,2,102-75,,
8:15.0,,,102-78,3,O. Casspi makes 3-pt shot from 26 ft (assist by T. Frazier)
7:59.0,M. Harrell makes 2-pt shot from 3 ft (assist by P. Beverley),2,104-78,,
7:59.0,Shooting foul by E. Moore (drawn by M. Harrell),,104-78,,
7:59.0,Official timeout,,104-78,,
7:59.0,M. Harrell misses free throw 1 of 1,,104-78,,
7:59.0,,,104-78,,J. Holiday enters the game for E. Moore
