time,Dallas,pts.away,score,pts.home,Minnesota
9:12.0,Jump ball: G. Dieng vs. D. Finney-Smith (N. Bjelica gains possession),,,,Jump ball: G. Dieng vs. D. Finney-Smith (N. Bjelica gains possession)
9:00.0,,,75-79,,Turnover by S. Muhammad (lost ball; steal by D. Finney-Smith)
8:47.0,J. Barea misses 2-pt shot from 10 ft,,75-79,,
8:46.0,,,75-79,,Defensive rebound by G. Dieng
8:42.0,,,75-81,2,S. Muhammad makes 2-pt shot at rim (assist by R. Rubio)
8:41.0,Dallas full timeout,,75-81,,
8:41.0,H. Barnes enters the game for S. Mejri,,75-81,,
8:27.0,Turnover by H. Barnes (bad pass; steal by R. Rubio),,75-81,,
8:25.0,Personal foul by J. Barea,,75-81,,
8:25.0,W. Matthews enters the game for D. Finney-Smith,,75-81,,
8:25.0,S. Curry enters the game for D. Harris,,75-81,,
8:25.0,D. Williams enters the game for J. Barea,,75-81,,
8:25.0,A. Bogut enters the game for D. Nowitzki,,75-81,,
8:16.0,,,75-81,,S. Muhammad misses 2-pt shot from 11 ft
8:15.0,Defensive rebound by W. Matthews,,75-81,,
7:53.0,H. Barnes makes 2-pt shot from 12 ft,2,77-81,,
7:37.0,,,77-83,2,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio)
7:20.0,H. Barnes misses 2-pt shot from 18 ft,,77-83,,
7:19.0,,,77-83,,Defensive rebound by G. Dieng
7:04.0,,,77-85,2,R. Rubio makes 2-pt shot from 1 ft
6:40.0,H. Barnes misses 2-pt shot from 15 ft,,77-85,,
6:39.0,,,77-85,,Defensive rebound by S. Muhammad
6:20.0,,,77-87,2,R. Rubio makes 2-pt shot from 14 ft
6:20.0,Dallas full timeout,,77-87,,
6:20.0,D. Nowitzki enters the game for A. Bogut,,77-87,,
6:20.0,,,77-87,,K. Towns enters the game for G. Dieng
6:20.0,,,77-87,,A. Wiggins enters the game for S. Muhammad
6:07.0,H. Barnes misses 2-pt shot from 3 ft,,77-87,,
6:06.0,,,77-87,,Defensive rebound by Team
5:57.0,,,77-87,,Turnover by R. Rubio (discontinued dribble)
5:47.0,H. Barnes misses 2-pt shot from 15 ft,,77-87,,
5:46.0,,,77-87,,Defensive rebound by R. Rubio
5:28.0,,,77-87,,Turnover by A. Wiggins (lost ball; steal by S. Curry)
5:14.0,Turnover by D. Williams (lost ball; steal by R. Rubio),,77-87,,
5:09.0,,,77-89,2,T. Jones makes 2-pt shot from 1 ft (assist by R. Rubio)
4:54.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams),3,80-89,,
4:36.0,,,80-89,,Turnover by R. Rubio (step out of bounds)
4:19.0,D. Nowitzki misses 3-pt shot from 24 ft,,80-89,,
4:17.0,,,80-89,,Defensive rebound by R. Rubio
4:02.0,Personal foul by D. Nowitzki (drawn by K. Towns),,80-89,,
3:50.0,,,80-89,,Minnesota full timeout
3:49.0,,,80-89,,K. Towns misses 2-pt shot from 15 ft
3:48.0,,,80-89,,Offensive rebound by Team
3:48.0,,,80-89,,Turnover by Team (shot clock)
3:40.0,Turnover by S. Curry (lost ball),,80-89,,
3:24.0,,,80-91,2,K. Towns makes 2-pt shot from 6 ft (assist by R. Rubio)
3:03.0,,,80-91,,Personal foul by R. Rubio (drawn by D. Nowitzki)
3:03.0,D. Nowitzki misses free throw 1 of 2,,80-91,,
3:03.0,Offensive rebound by Team,,80-91,,
3:03.0,D. Nowitzki makes free throw 2 of 2,1,81-91,,
2:45.0,,,81-94,3,T. Jones makes 3-pt shot from 24 ft (assist by K. Towns)
2:43.0,Dallas full timeout,,81-94,,
2:32.0,,,81-94,,Personal foul by K. Towns (drawn by D. Nowitzki)
2:32.0,D. Nowitzki makes free throw 1 of 2,1,82-94,,
2:32.0,D. Nowitzki makes free throw 2 of 2,1,83-94,,
2:18.0,Personal foul by H. Barnes (drawn by K. Towns),,83-94,,
2:08.0,Shooting block foul by D. Williams (drawn by R. Rubio),,83-94,,
2:08.0,,,83-95,1,R. Rubio makes free throw 1 of 3
2:08.0,,,83-96,1,R. Rubio makes free throw 2 of 3
2:08.0,,,83-97,1,R. Rubio makes free throw 3 of 3
1:57.0,H. Barnes makes 2-pt shot from 3 ft,2,85-97,,
1:42.0,,,85-97,,R. Rubio misses 2-pt shot from 18 ft
1:41.0,,,85-97,,Offensive rebound by T. Jones
1:35.0,,,85-97,,Shooting foul by D. Nowitzki (drawn by A. Wiggins)
1:35.0,,,85-97,,A. Wiggins misses free throw 1 of 2
1:35.0,,,85-97,,Offensive rebound by Team
1:35.0,,,85-97,,A. Wiggins misses free throw 2 of 2
1:33.0,Defensive rebound by D. Nowitzki,,85-97,,
1:25.0,D. Williams misses 3-pt shot from 24 ft,,85-97,,
1:24.0,,,85-97,,Defensive rebound by K. Towns
1:10.0,,,85-97,,R. Rubio misses 2-pt shot from 1 ft
1:09.0,Defensive rebound by Team,,85-97,,
1:09.0,,,85-97,,Loose ball foul by N. Bjelica (drawn by D. Nowitzki)
1:09.0,D. Nowitzki makes free throw 1 of 2,1,86-97,,
1:09.0,D. Nowitzki makes free throw 2 of 2,1,87-97,,
0:48.0,,,87-99,2,T. Jones makes 2-pt shot from 10 ft
0:48.0,Dallas full timeout,,87-99,,
0:48.0,J. Anderson enters the game for D. Nowitzki,,87-99,,
0:39.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Williams),3,90-99,,
0:33.0,Personal foul by W. Matthews (drawn by R. Rubio),,90-99,,
0:33.0,,,90-100,1,R. Rubio makes free throw 1 of 2
0:33.0,,,90-101,1,R. Rubio makes free throw 2 of 2
0:33.0,D. Finney-Smith enters the game for D. Williams,,90-100,,
