time,New York,pts.away,score,pts.home,Denver
9:19.0,Defensive rebound by K. Porzingis,,84-98,,
9:02.0,K. Porzingis misses 3-pt shot from 24 ft,,84-98,,
9:01.0,,,84-98,,Defensive rebound by Team
8:46.0,Personal foul by J. Holiday (drawn by W. Barton),,84-98,,
8:46.0,Official timeout,,84-98,,
8:46.0,,,84-98,,G. Harris enters the game for D. Arthur
8:37.0,,,84-98,,W. Chandler misses 3-pt shot from 24 ft
8:36.0,Defensive rebound by R. Baker,,84-98,,
8:19.0,C. Lee makes 2-pt shot from 1 ft,2,86-98,,
8:06.0,,,86-100,2,W. Barton makes 2-pt shot from 2 ft
7:54.0,J. Holiday misses 3-pt shot from 26 ft,,86-100,,
7:53.0,,,86-100,,Defensive rebound by E. Mudiay
7:34.0,,,86-102,2,W. Chandler makes 2-pt shot from 6 ft
7:22.0,Shooting foul by N. Jokic (drawn by K. Porzingis),,86-102,,
7:22.0,K. Porzingis makes free throw 1 of 2,1,87-102,,
7:22.0,K. Porzingis makes free throw 2 of 2,1,88-102,,
7:22.0,B. Jennings enters the game for R. Baker,,87-102,,
7:22.0,,,87-102,,K. Faried enters the game for N. Jokic
7:07.0,,,88-102,,Shooting foul by K. Porzingis (drawn by G. Harris)
7:07.0,,,88-103,1,G. Harris makes free throw 1 of 2
7:07.0,,,88-104,1,G. Harris makes free throw 2 of 2
7:07.0,W. Hernangomez enters the game for K. Porzingis,,88-103,,
6:52.0,Shooting foul by W. Chandler (drawn by C. Anthony),,88-104,,
6:52.0,C. Anthony makes free throw 1 of 2,1,89-104,,
6:52.0,C. Anthony makes free throw 2 of 2,1,90-104,,
6:52.0,,,89-104,,D. Gallinari enters the game for W. Chandler
6:33.0,,,90-106,2,E. Mudiay makes 2-pt shot from 17 ft
6:13.0,J. Holiday misses 2-pt shot from 4 ft (block by W. Barton),,90-106,,
6:12.0,,,90-106,,Defensive rebound by E. Mudiay
