time,LA Clippers,pts.away,score,pts.home,Sacramento
3:51.0,,,69-66,,Defensive rebound by M. Barnes
3:36.0,,,69-66,,D. Cousins misses 3-pt shot from 25 ft
3:35.0,Defensive rebound by A. Rivers,,69-66,,
3:15.0,R. Felton misses 2-pt shot from 20 ft,,69-66,,
3:15.0,,,69-66,,Defensive rebound by D. Cousins
2:56.0,,,69-68,2,A. Afflalo makes 2-pt shot from 8 ft (assist by D. Cousins)
2:39.0,Shooting foul by D. Cousins (drawn by J. Redick),,69-68,,
2:39.0,,,69-68,,Technical foul by D. Cousins (drawn by J. Redick)
2:39.0,,,69-68,,Sacramento full timeout
2:39.0,J. Crawford misses technical free throw,,69-68,,
2:39.0,Offensive rebound by Team,,69-68,,
2:39.0,J. Redick misses free throw 1 of 3,,69-68,,
2:39.0,Offensive rebound by Team,,69-68,,
2:39.0,J. Redick makes free throw 2 of 3,1,70-68,,
2:39.0,J. Redick makes free throw 3 of 3,1,71-68,,
2:39.0,W. Johnson enters the game for A. Rivers,,69-68,,
2:39.0,,,69-68,,T. Lawson enters the game for M. Barnes
2:17.0,,,71-68,,G. Temple misses 2-pt shot from 11 ft
2:15.0,,,71-68,,Offensive rebound by D. Cousins
2:14.0,,,71-70,2,D. Cousins makes 2-pt shot from 2 ft
1:50.0,R. Felton makes 2-pt shot from 16 ft,2,73-70,,
1:34.0,,,73-73,3,D. Cousins makes 3-pt shot from 24 ft (assist by D. Collison)
1:19.0,J. Crawford makes 2-pt shot from 19 ft,2,75-73,,
0:59.0,,,75-73,,D. Cousins misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by W. Johnson,,75-73,,
0:49.0,J. Crawford misses 2-pt shot from 10 ft,,75-73,,
0:48.0,,,75-73,,Defensive rebound by D. Cousins
0:36.0,,,75-73,,G. Temple misses 2-pt shot from 18 ft
0:36.0,Defensive rebound by J. Redick,,75-73,,
0:22.0,J. Redick misses 3-pt shot from 26 ft,,75-73,,
0:22.0,,,75-73,,Defensive rebound by D. Cousins
0:03.0,Personal foul by J. Crawford (drawn by D. Cousins),,75-73,,
0:03.0,L. Mbah a Moute enters the game for J. Crawford,,75-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,75-73,,A. Afflalo misses 2-pt shot from 12 ft (block by W. Johnson)
11:40.0,,,75-73,,Offensive rebound by A. Afflalo
11:37.0,,,75-73,,A. Afflalo misses 2-pt shot from 18 ft
11:36.0,Defensive rebound by M. Speights,,75-73,,
11:29.0,J. Crawford makes 2-pt shot from 10 ft (assist by C. Paul),2,77-73,,
11:06.0,,,77-76,3,G. Temple makes 3-pt shot from 23 ft (assist by T. Lawson)
10:45.0,R. Felton makes 3-pt shot from 23 ft (assist by M. Speights),3,80-76,,
10:33.0,,,80-76,,Shooting foul by C. Paul (drawn by T. Lawson)
10:33.0,,,80-77,1,T. Lawson makes free throw 1 of 2
10:33.0,,,80-77,,T. Lawson misses free throw 2 of 2
10:32.0,Defensive rebound by M. Speights,,80-77,,
10:17.0,M. Speights makes 2-pt shot from 5 ft (assist by C. Paul),2,82-77,,
10:01.0,,,82-79,2,K. Koufos makes 2-pt shot from 8 ft (assist by T. Lawson)
9:45.0,C. Paul misses 3-pt shot from 25 ft,,82-79,,
9:44.0,,,82-79,,Defensive rebound by A. Afflalo
9:36.0,,,82-79,,T. Lawson misses 2-pt shot from 3 ft
9:36.0,Defensive rebound by Team,,82-79,,
9:36.0,,,82-79,,Loose ball foul by T. Lawson (drawn by M. Speights)
9:36.0,,,82-79,,R. Gay enters the game for A. Tolliver
9:16.0,W. Johnson misses 3-pt shot from 24 ft,,82-79,,
9:16.0,,,82-79,,Defensive rebound by K. Koufos
9:05.0,,,82-79,,R. Gay misses 2-pt shot from 17 ft (block by W. Johnson)
9:04.0,,,82-79,,Offensive rebound by G. Temple
8:52.0,,,82-79,,R. Gay misses 2-pt shot from 14 ft
8:52.0,Defensive rebound by M. Speights,,82-79,,
8:42.0,J. Crawford misses 2-pt shot from 19 ft,,82-79,,
8:41.0,,,82-79,,Defensive rebound by R. Gay
8:27.0,,,82-81,2,T. Lawson makes 2-pt shot from 3 ft
8:13.0,R. Felton misses 2-pt shot from 19 ft,,82-81,,
