time,Indiana,pts.away,score,pts.home,Dallas
3:22.0,,,68-79,3,D. Finney-Smith makes 3-pt shot from 24 ft (assist by S. Curry)
3:06.0,C. Miles misses 3-pt shot from 25 ft,,68-79,,
3:05.0,Offensive rebound by A. Brooks,,68-79,,
2:56.0,G. Robinson makes 3-pt shot from 23 ft (assist by R. Stuckey),3,71-79,,
2:55.0,,,71-79,,Dallas full timeout
2:55.0,,,71-79,,N. Brussino enters the game for D. Finney-Smith
2:55.0,,,71-79,,H. Barnes enters the game for W. Matthews
2:40.0,,,71-82,3,H. Barnes makes 3-pt shot from 25 ft (assist by D. Harris)
2:23.0,A. Jefferson makes 2-pt shot from 10 ft (assist by R. Stuckey),2,73-82,,
2:02.0,,,73-82,,N. Brussino misses 3-pt shot from 26 ft
2:02.0,Defensive rebound by Team,,73-82,,
1:44.0,C. Miles misses 3-pt shot from 25 ft,,73-82,,
1:43.0,,,73-82,,Defensive rebound by D. Powell
1:30.0,,,73-82,,S. Curry misses 3-pt shot from 23 ft
1:29.0,Defensive rebound by G. Robinson,,73-82,,
1:27.0,Technical foul by A. Brooks,,73-82,,
1:27.0,,,73-82,,H. Barnes misses technical free throw
1:27.0,Offensive rebound by Team,,73-82,,
1:15.0,Shooting foul by N. Brussino (drawn by R. Stuckey),,73-82,,
1:15.0,R. Stuckey makes free throw 1 of 2,1,74-82,,
1:15.0,R. Stuckey makes free throw 2 of 2,1,75-82,,
1:12.0,,,75-82,,Loose ball foul by S. Curry (drawn by A. Brooks)
1:12.0,,,75-82,,Turnover by S. Curry (offensive foul)
1:12.0,A. Brooks makes free throw 1 of 2,1,76-82,,
1:12.0,A. Brooks makes free throw 2 of 2,1,77-82,,
0:54.0,,,77-84,2,H. Barnes makes 2-pt shot from 11 ft
0:45.0,Turnover by R. Stuckey (lost ball; steal by D. Harris),,77-84,,
0:43.0,,,77-84,,Shooting foul by C. Miles (drawn by H. Barnes)
0:43.0,,,77-84,,H. Barnes misses free throw 1 of 2
0:43.0,,,77-84,,Offensive rebound by Team
0:43.0,,,77-85,1,H. Barnes makes free throw 2 of 2
0:20.0,Turnover by A. Jefferson (offensive goaltending),,77-85,,
0:01.0,,,77-85,,H. Barnes misses 2-pt shot from 6 ft (block by G. Robinson)
0:00.0,Defensive rebound by A. Jefferson,,77-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Personal foul by A. Brooks (drawn by D. Powell),,77-85,,
11:38.0,,,77-88,3,H. Barnes makes 3-pt shot from 23 ft (assist by N. Brussino)
11:20.0,A. Jefferson makes 2-pt shot from 3 ft,2,79-88,,
11:06.0,,,79-88,,Shooting foul by A. Jefferson (drawn by D. Powell)
11:06.0,,,79-89,1,D. Powell makes free throw 1 of 2
11:06.0,,,79-90,1,D. Powell makes free throw 2 of 2
10:47.0,A. Jefferson makes 2-pt shot from 10 ft,2,81-90,,
10:35.0,,,81-90,,D. Williams misses 2-pt shot from 15 ft
10:34.0,Defensive rebound by A. Brooks,,81-90,,
10:25.0,A. Jefferson makes 2-pt shot from 4 ft (assist by C. Miles),2,83-90,,
10:07.0,,,83-93,3,H. Barnes makes 3-pt shot from 23 ft (assist by D. Powell)
9:45.0,A. Jefferson misses 2-pt shot from 14 ft,,83-93,,
