time,Houston,pts.away,score,pts.home,Chicago
9:53.0,L. Williams makes free throw 2 of 3,1,98-68,,
9:53.0,L. Williams makes free throw 3 of 3,1,99-68,,
9:53.0,C. Capela enters the game for N. Hilario,,98-68,,
9:33.0,,,99-68,,Turnover by B. Portis (step out of bounds)
9:25.0,L. Williams misses 3-pt shot from 26 ft,,99-68,,
9:24.0,,,99-68,,Defensive rebound by D. Valentine
9:16.0,,,99-71,3,D. Valentine makes 3-pt shot from 24 ft
9:00.0,Shooting foul by D. Valentine (drawn by L. Williams),,99-71,,
9:00.0,L. Williams makes free throw 1 of 2,1,100-71,,
9:00.0,L. Williams makes free throw 2 of 2,1,101-71,,
8:48.0,,,101-73,2,C. Payne makes 2-pt shot from 3 ft
8:37.0,E. Gordon misses 3-pt shot from 25 ft,,101-73,,
8:37.0,,,101-73,,Defensive rebound by C. Felicio
8:29.0,,,101-75,2,C. Payne makes 2-pt shot from 15 ft
8:17.0,S. Dekker misses 3-pt shot from 26 ft,,101-75,,
8:16.0,,,101-75,,Defensive rebound by C. Payne
8:12.0,,,101-75,,B. Portis misses 2-pt shot from 4 ft (block by P. Beverley)
8:10.0,Defensive rebound by S. Dekker,,101-75,,
8:04.0,E. Gordon misses 3-pt shot from 26 ft,,101-75,,
8:04.0,,,101-75,,Defensive rebound by C. Felicio
