time,Phoenix,pts.away,score,pts.home,Houston
11:27.0,A. Len makes 2-pt shot at rim (assist by T. Ulis),2,79-111,,
11:04.0,,,79-111,,C. Brewer misses 3-pt shot from 26 ft
11:03.0,Defensive rebound by A. Len,,79-111,,
10:53.0,Shooting foul by C. Brewer (drawn by A. Len),,79-111,,
10:53.0,A. Len misses free throw 1 of 2,,79-111,,
10:53.0,Offensive rebound by Team,,79-111,,
10:53.0,A. Len makes free throw 2 of 2,1,80-111,,
10:43.0,,,80-113,2,C. Brewer makes 2-pt shot from 3 ft (assist by M. Harrell)
10:27.0,L. Barbosa misses 2-pt shot from 22 ft,,80-113,,
10:26.0,Offensive rebound by T. Ulis,,80-113,,
10:18.0,T. Warren makes 2-pt shot from 10 ft (assist by A. Len),2,82-113,,
10:00.0,,,82-116,3,P. Beverley makes 3-pt shot from 24 ft (assist by M. Harrell)
9:40.0,L. Barbosa misses 2-pt shot from 2 ft,,82-116,,
9:38.0,,,82-116,,Defensive rebound by P. Beverley
9:33.0,,,82-118,2,S. Dekker makes 2-pt shot at rim (assist by P. Beverley)
9:28.0,Turnover by A. Len (bad pass; steal by C. Brewer),,82-118,,
9:26.0,,,82-120,2,C. Brewer makes 2-pt shot from 2 ft
9:16.0,T. Ulis makes 2-pt shot from 17 ft,2,84-120,,
8:55.0,,,84-120,,R. Anderson misses 2-pt shot from 5 ft (block by J. Dudley)
8:55.0,Defensive rebound by Team,,84-120,,
8:55.0,Phoenix full timeout,,84-120,,
