time,Boston,pts.away,score,pts.home,Washington
2:54.0,,,60-80,,Turnover by M. Morris (lost ball; steal by J. Brown)
2:53.0,,,60-80,,Clear path foul by M. Thornton
2:53.0,Boston full timeout,,60-80,,
2:53.0,T. Rozier misses clear path free throw 1 of 2,,60-80,,
2:53.0,Offensive rebound by Team,,60-80,,
2:53.0,T. Rozier misses clear path free throw 2 of 2,,60-80,,
2:53.0,Offensive rebound by Team,,60-80,,
2:53.0,,,60-80,,T. Satoransky enters the game for M. Morris
2:38.0,M. Smart makes 3-pt shot from 26 ft (assist by A. Bradley),3,63-80,,
2:19.0,Personal foul by A. Bradley (drawn by J. Wall),,63-80,,
2:19.0,,,63-80,,J. Wall misses free throw 1 of 2
2:19.0,,,63-80,,Offensive rebound by Team
2:19.0,,,63-81,1,J. Wall makes free throw 2 of 2
2:10.0,,,63-81,,Personal foul by M. Gortat (drawn by M. Smart)
2:10.0,,,63-81,,T. Burke enters the game for J. Wall
2:10.0,,,63-81,,J. Smith enters the game for M. Gortat
2:02.0,M. Smart makes 2-pt shot from 15 ft,2,65-81,,
1:44.0,,,65-83,2,T. Satoransky makes 2-pt shot from 12 ft (assist by O. Porter)
1:21.0,M. Smart makes 3-pt shot from 23 ft (assist by T. Rozier),3,68-83,,
1:07.0,Def 3 sec tech foul by T. Zeller,,68-83,,
1:07.0,,,68-84,1,M. Thornton makes technical free throw
1:00.0,,,68-86,2,O. Porter makes 2-pt shot from 13 ft (assist by T. Burke)
0:45.0,Shooting foul by M. Thornton (drawn by M. Smart),,68-86,,
0:45.0,M. Smart misses free throw 1 of 2,,68-86,,
0:45.0,Offensive rebound by Team,,68-86,,
0:45.0,M. Smart makes free throw 2 of 2,1,69-86,,
0:45.0,A. Johnson enters the game for T. Zeller,,68-86,,
0:33.0,,,69-86,,O. Porter misses 3-pt shot from 26 ft
0:32.0,Defensive rebound by T. Rozier,,69-86,,
0:25.0,J. Brown misses 2-pt shot from 1 ft (block by O. Porter),,69-86,,
0:23.0,,,69-86,,Defensive rebound by M. Thornton
0:01.0,,,69-89,3,T. Burke makes 3-pt shot from 25 ft (assist by M. Thornton)
0:01.0,M. Smart misses 3-pt shot from 83 ft,,69-89,,
0:00.0,Offensive rebound by Team,,69-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,T. Rozier misses 2-pt shot from 5 ft,,69-89,,
11:42.0,,,69-89,,Defensive rebound by J. Smith
11:21.0,,,69-92,3,T. Burke makes 3-pt shot from 26 ft
11:07.0,Shooting foul by T. Burke (drawn by I. Thomas),,69-92,,
11:07.0,I. Thomas makes free throw 1 of 2,1,70-92,,
11:07.0,I. Thomas makes free throw 2 of 2,1,71-92,,
11:07.0,G. Green enters the game for T. Rozier,,70-92,,
10:50.0,,,71-94,2,O. Porter makes 2-pt shot from 17 ft (assist by M. Thornton)
10:41.0,,,71-94,,Personal foul by J. Smith (drawn by I. Thomas)
10:30.0,I. Thomas misses 3-pt shot from 26 ft,,71-94,,
10:29.0,Offensive rebound by I. Thomas,,71-94,,
10:21.0,A. Bradley makes 3-pt shot from 27 ft (assist by I. Thomas),3,74-94,,
9:57.0,,,74-96,2,O. Porter makes 2-pt shot from 15 ft (assist by J. Smith)
9:40.0,G. Green misses 3-pt shot from 26 ft,,74-96,,
9:39.0,,,74-96,,Defensive rebound by J. Smith
9:19.0,,,74-99,3,M. Thornton makes 3-pt shot from 26 ft
9:08.0,J. Jerebko makes 3-pt shot from 25 ft (assist by I. Thomas),3,77-99,,
8:50.0,,,77-99,,Shooting foul by I. Thomas (drawn by T. Burke)
8:50.0,Official timeout,,77-99,,
8:50.0,,,77-99,,T. Burke misses free throw 1 of 2
8:50.0,,,77-99,,Offensive rebound by Team
8:50.0,,,77-100,1,T. Burke makes free throw 2 of 2
8:50.0,K. Olynyk enters the game for A. Johnson,,77-99,,
8:39.0,A. Bradley makes 3-pt shot from 26 ft (assist by I. Thomas),3,80-100,,
8:19.0,,,80-102,2,T. Burke makes 2-pt shot from 14 ft
8:08.0,,,80-102,,Personal foul by T. Burke (drawn by I. Thomas)
8:00.0,Shooting foul by T. Burke (drawn by I. Thomas),,80-102,,
8:00.0,I. Thomas makes free throw 1 of 2,1,81-102,,
8:00.0,I. Thomas makes free throw 2 of 2,1,82-102,,
8:00.0,,,81-102,,J. Wall enters the game for T. Burke
8:00.0,M. Smart enters the game for J. Jerebko,,81-102,,
7:37.0,,,82-102,,J. Smith misses 2-pt shot from 14 ft
7:36.0,Defensive rebound by A. Bradley,,82-102,,
7:20.0,,,82-102,,Shooting block foul by T. Satoransky (drawn by I. Thomas)
