time,Oklahoma City,pts.away,score,pts.home,Denver
3:42.0,Oklahoma City full timeout,,69-82,,
3:42.0,E. Kanter enters the game for T. Gibson,,69-82,,
3:42.0,J. Grant enters the game for S. Adams,,69-82,,
3:42.0,,,69-82,,M. Plumlee enters the game for W. Chandler
3:42.0,,,69-82,,E. Mudiay enters the game for J. Murray
3:36.0,R. Westbrook makes 2-pt shot from 3 ft,2,71-82,,
3:36.0,,,71-82,,Shooting block foul by M. Plumlee (drawn by R. Westbrook)
3:36.0,R. Westbrook makes free throw 1 of 1,1,72-82,,
3:23.0,,,72-82,,D. Gallinari misses 3-pt shot from 25 ft
3:23.0,Defensive rebound by Team,,72-82,,
3:23.0,,,72-82,,Loose ball foul by N. Jokic (drawn by J. Grant)
3:23.0,,,72-82,,W. Chandler enters the game for N. Jokic
3:10.0,R. Westbrook makes 3-pt shot from 24 ft (assist by A. Roberson),3,75-82,,
2:45.0,,,75-82,,M. Plumlee misses 2-pt shot from 2 ft (block by J. Grant)
2:44.0,,,75-82,,Offensive rebound by M. Plumlee
2:44.0,,,75-84,2,M. Plumlee makes 2-pt shot from 3 ft
2:44.0,,,75-84,,Shooting foul by A. Roberson (drawn by M. Plumlee)
2:44.0,,,75-84,,Denver full timeout
2:44.0,,,75-84,,M. Plumlee misses free throw 1 of 1
2:43.0,Defensive rebound by R. Westbrook,,75-84,,
2:31.0,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook),2,77-84,,
2:18.0,,,77-84,,M. Plumlee misses 2-pt shot from 2 ft
2:17.0,Defensive rebound by Team,,77-84,,
2:17.0,,,77-84,,J. Murray enters the game for G. Harris
2:17.0,V. Oladipo enters the game for A. Roberson,,77-84,,
2:02.0,S. Christon enters the game for R. Westbrook,,77-84,,
1:55.0,J. Grant misses 2-pt shot from 3 ft,,77-84,,
1:54.0,Offensive rebound by E. Kanter,,77-84,,
1:53.0,E. Kanter makes 2-pt shot from 2 ft,2,79-84,,
1:53.0,Shooting foul by M. Plumlee (drawn by E. Kanter),,79-84,,
1:53.0,E. Kanter misses free throw 1 of 1,,79-84,,
1:51.0,,,79-84,,Defensive rebound by W. Chandler
1:26.0,,,79-87,3,W. Chandler makes 3-pt shot from 25 ft
1:09.0,E. Kanter misses 2-pt shot from 3 ft (block by M. Plumlee),,79-87,,
1:08.0,,,79-87,,Defensive rebound by D. Gallinari
1:06.0,,,79-87,,Shooting foul by K. Singler (drawn by D. Gallinari)
1:06.0,,,79-88,1,D. Gallinari makes free throw 1 of 2
1:06.0,,,79-89,1,D. Gallinari makes free throw 2 of 2
1:06.0,,,79-88,,J. Hernangomez enters the game for W. Chandler
1:06.0,,,79-88,,R. Hibbert enters the game for M. Plumlee
0:55.0,V. Oladipo misses 2-pt shot from 15 ft,,79-89,,
0:54.0,,,79-89,,Defensive rebound by J. Murray
0:44.0,,,79-89,,Shooting foul by J. Grant (drawn by D. Gallinari)
0:44.0,,,79-90,1,D. Gallinari makes free throw 1 of 2
0:44.0,,,79-91,1,D. Gallinari makes free throw 2 of 2
0:26.0,E. Kanter makes 2-pt shot from 1 ft,2,81-91,,
0:04.0,,,81-91,,J. Murray misses 2-pt shot from 20 ft
0:02.0,Defensive rebound by E. Kanter,,81-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,V. Oladipo misses 2-pt shot from 2 ft (block by W. Chandler),,81-91,,
11:42.0,Offensive rebound by E. Kanter,,81-91,,
11:41.0,E. Kanter misses 2-pt shot from 1 ft (block by M. Plumlee),,81-91,,
11:40.0,Offensive rebound by E. Kanter,,81-91,,
11:39.0,E. Kanter misses 2-pt shot from 3 ft,,81-91,,
11:38.0,,,81-91,,Defensive rebound by E. Mudiay
11:14.0,,,81-91,,J. Hernangomez misses 3-pt shot from 26 ft
11:12.0,Defensive rebound by S. Christon,,81-91,,
10:47.0,S. Christon misses 3-pt shot from 25 ft,,81-91,,
10:46.0,,,81-91,,Defensive rebound by M. Plumlee
10:23.0,,,81-91,,J. Murray misses 3-pt shot from 24 ft
10:22.0,Defensive rebound by K. Singler,,81-91,,
10:16.0,E. Kanter misses 2-pt shot from 2 ft,,81-91,,
10:15.0,,,81-91,,Defensive rebound by E. Mudiay
10:14.0,,,81-91,,Turnover by E. Mudiay (lost ball; steal by K. Singler)
10:10.0,K. Singler misses 3-pt shot from 24 ft,,81-91,,
10:08.0,Offensive rebound by E. Kanter,,81-91,,
10:00.0,V. Oladipo makes 2-pt shot from 16 ft (assist by E. Kanter),2,83-91,,
9:33.0,,,83-91,,W. Chandler misses 3-pt shot from 26 ft
9:31.0,,,83-91,,Offensive rebound by J. Hernangomez
9:29.0,,,83-91,,J. Hernangomez misses 2-pt shot from 1 ft
9:28.0,Defensive rebound by V. Oladipo,,83-91,,
9:26.0,Turnover by V. Oladipo (lost ball),,83-91,,
9:10.0,,,83-93,2,E. Mudiay makes 2-pt shot from 2 ft (assist by J. Murray)
8:58.0,Offensive foul by E. Kanter,,83-93,,
8:58.0,Turnover by E. Kanter (offensive foul),,83-93,,
8:58.0,Official timeout,,83-93,,
8:58.0,,,83-93,,G. Harris enters the game for J. Murray
8:57.0,R. Westbrook enters the game for V. Oladipo,,83-93,,
8:44.0,Personal foul by J. Grant (drawn by M. Plumlee),,83-93,,
8:31.0,,,83-93,,G. Harris misses 2-pt shot from 15 ft
8:30.0,Defensive rebound by J. Grant,,83-93,,
8:20.0,Turnover by E. Kanter (traveling),,83-93,,
8:20.0,D. Sabonis enters the game for E. Kanter,,83-93,,
8:10.0,,,83-93,,Turnover by M. Plumlee (lost ball; steal by K. Singler)
8:04.0,J. Grant makes 2-pt shot from 1 ft (assist by K. Singler),2,85-93,,
7:43.0,Personal foul by S. Christon (drawn by E. Mudiay),,85-93,,
7:43.0,,,85-93,,D. Gallinari enters the game for J. Hernangomez
7:31.0,,,85-95,2,E. Mudiay makes 2-pt shot from 6 ft
7:16.0,D. Sabonis misses 2-pt shot from 20 ft,,85-95,,
7:15.0,,,85-95,,Defensive rebound by W. Chandler
7:02.0,,,85-95,,D. Gallinari misses 3-pt shot from 25 ft
7:02.0,Defensive rebound by Team,,85-95,,
6:49.0,K. Singler misses 3-pt shot from 24 ft,,85-95,,
6:48.0,,,85-95,,Defensive rebound by M. Plumlee
6:32.0,,,85-97,2,E. Mudiay makes 2-pt shot from 2 ft
6:32.0,Oklahoma City full timeout,,85-97,,
6:32.0,,,85-97,,N. Jokic enters the game for M. Plumlee
6:20.0,R. Westbrook misses 2-pt shot at rim,,85-97,,
6:18.0,,,85-97,,Defensive rebound by D. Gallinari
5:56.0,,,85-99,2,N. Jokic makes 2-pt shot from 6 ft (assist by G. Harris)
5:39.0,D. Sabonis misses 2-pt shot from 3 ft,,85-99,,
5:38.0,,,85-99,,Defensive rebound by D. Gallinari
5:24.0,,,85-99,,N. Jokic misses 2-pt shot from 3 ft
5:23.0,Defensive rebound by K. Singler,,85-99,,
5:17.0,R. Westbrook makes 3-pt shot from 27 ft,3,88-99,,
4:58.0,,,88-99,,N. Jokic misses 3-pt shot from 26 ft
4:57.0,Defensive rebound by R. Westbrook,,88-99,,
4:49.0,R. Westbrook misses 3-pt shot from 25 ft,,88-99,,
4:49.0,,,88-99,,Defensive rebound by W. Chandler
4:34.0,,,88-101,2,E. Mudiay makes 2-pt shot from 1 ft
4:17.0,S. Christon makes 3-pt shot from 23 ft (assist by R. Westbrook),3,91-101,,
3:47.0,,,91-101,,Turnover by D. Gallinari (traveling)
3:47.0,V. Oladipo enters the game for S. Christon,,91-101,,
3:47.0,S. Adams enters the game for D. Sabonis,,91-101,,
3:35.0,R. Westbrook makes 2-pt shot from 2 ft,2,93-101,,
3:20.0,,,93-103,2,N. Jokic makes 2-pt shot from 1 ft (assist by D. Gallinari)
3:07.0,V. Oladipo misses 3-pt shot from 24 ft,,93-103,,
3:06.0,Offensive rebound by Team,,93-103,,
3:06.0,S. Christon enters the game for J. Grant,,93-103,,
