time,Miami,pts.away,score,pts.home,Atlanta
2:55.0,,,84-62,,T. Hardaway misses 2-pt shot at rim (block by H. Whiteside)
2:54.0,Defensive rebound by T. Johnson,,84-62,,
2:49.0,D. Waiters misses 2-pt shot from 1 ft,,84-62,,
2:48.0,,,84-62,,Defensive rebound by T. Sefolosha
2:40.0,,,84-62,,Turnover by P. Millsap (bad pass; steal by T. Johnson)
2:36.0,R. McGruder makes 2-pt shot from 5 ft (assist by D. Waiters),2,86-62,,
2:36.0,Shooting foul by M. Delaney (drawn by R. McGruder),,86-62,,
2:36.0,Miami full timeout,,86-62,,
2:36.0,R. McGruder makes free throw 1 of 1,1,87-62,,
2:36.0,,,86-62,,M. Dunleavy enters the game for T. Hardaway
2:36.0,W. Reed enters the game for H. Whiteside,,86-62,,
2:21.0,,,87-62,,M. Delaney misses 3-pt shot from 23 ft
2:20.0,Defensive rebound by R. McGruder,,87-62,,
1:57.0,D. Waiters misses 3-pt shot from 26 ft,,87-62,,
1:56.0,,,87-62,,Defensive rebound by P. Millsap
1:48.0,,,87-62,,M. Delaney misses 2-pt shot from 5 ft
1:47.0,,,87-62,,Offensive rebound by M. Delaney
1:47.0,Personal foul by T. Johnson (drawn by M. Delaney),,87-62,,
1:47.0,W. Ellington enters the game for R. McGruder,,87-62,,
1:47.0,G. Dragic enters the game for D. Waiters,,87-62,,
1:47.0,,,87-62,,E. Ilyasova enters the game for P. Millsap
1:32.0,,,87-62,,M. Delaney misses 2-pt shot from 15 ft
1:30.0,Defensive rebound by T. Johnson,,87-62,,
1:20.0,G. Dragic misses 2-pt shot from 18 ft,,87-62,,
1:18.0,,,87-62,,Defensive rebound by M. Muscala
1:05.0,,,87-64,2,T. Sefolosha makes 2-pt shot from 8 ft (assist by M. Muscala)
0:52.0,Turnover by J. Johnson (offensive foul),,87-64,,
0:52.0,Offensive foul by J. Johnson,,87-64,,
0:52.0,,,87-64,,T. Waller-Prince enters the game for M. Delaney
0:39.0,,,87-64,,Shooting foul by W. Reed (drawn by T. Waller-Prince)
0:39.0,,,87-65,1,T. Waller-Prince makes free throw 1 of 2
0:39.0,,,87-66,1,T. Waller-Prince makes free throw 2 of 2
0:39.0,O. White enters the game for J. Johnson,,87-65,,
0:15.0,G. Dragic misses 3-pt shot from 26 ft,,87-66,,
0:12.0,,,87-66,,Defensive rebound by M. Muscala
0:02.0,,,87-66,,E. Ilyasova misses 3-pt shot from 22 ft
0:01.0,Defensive rebound by W. Reed,,87-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,87-66,,Shooting foul by W. Ellington (drawn by M. Dunleavy)
11:51.0,,,87-67,1,M. Dunleavy makes free throw 1 of 2
11:51.0,,,87-68,1,M. Dunleavy makes free throw 2 of 2
11:25.0,T. Johnson makes 2-pt shot from 1 ft,2,89-68,,
11:16.0,,,89-68,,M. Muscala misses 3-pt shot from 25 ft
11:14.0,Defensive rebound by O. White,,89-68,,
10:57.0,Turnover by G. Dragic (lost ball),,89-68,,
10:43.0,,,89-68,,E. Ilyasova misses 2-pt shot from 12 ft
10:41.0,Defensive rebound by O. White,,89-68,,
10:28.0,G. Dragic makes 3-pt shot from 25 ft (assist by T. Johnson),3,92-68,,
10:12.0,,,92-68,,T. Sefolosha misses 2-pt shot from 14 ft
10:09.0,Defensive rebound by O. White,,92-68,,
10:02.0,T. Johnson makes 2-pt shot from 11 ft,2,94-68,,
9:55.0,,,94-68,,Atlanta full timeout
9:55.0,,,94-68,,D. Bembry enters the game for T. Sefolosha
