time,Denver,pts.away,score,pts.home,Phoenix
11:33.0,,,86-81,,Personal foul by B. Knight (drawn by N. Jokic)
11:25.0,E. Mudiay misses 2-pt shot from 2 ft,,86-81,,
11:25.0,Offensive rebound by K. Faried,,86-81,,
11:25.0,K. Faried misses 2-pt shot from 2 ft,,86-81,,
11:25.0,Offensive rebound by E. Mudiay,,86-81,,
11:25.0,N. Jokic misses 2-pt shot from 19 ft,,86-81,,
11:23.0,,,86-81,,Defensive rebound by T. Chandler
11:13.0,,,86-81,,Turnover by B. Knight (bad pass; steal by A. Gee)
11:09.0,K. Faried misses 2-pt shot from 1 ft (block by M. Chriss),,86-81,,
11:09.0,Offensive rebound by Team,,86-81,,
11:08.0,,,86-81,,Personal foul by M. Chriss (drawn by K. Faried)
11:00.0,A. Gee misses 2-pt shot from 12 ft,,86-81,,
10:56.0,,,86-81,,Defensive rebound by T. Chandler
10:49.0,,,86-81,,Shooting foul by E. Mudiay (drawn by B. Knight)
10:49.0,,,86-82,1,B. Knight makes free throw 1 of 2
10:49.0,,,86-83,1,B. Knight makes free throw 2 of 2
10:49.0,W. Chandler enters the game for A. Gee,,86-82,,
10:32.0,W. Chandler makes 3-pt shot from 25 ft (assist by N. Jokic),3,89-83,,
10:17.0,,,89-83,,B. Knight misses 2-pt shot from 15 ft
10:15.0,Defensive rebound by Team,,89-83,,
9:57.0,,,89-83,,Personal foul by L. Barbosa (drawn by J. Murray)
9:57.0,Shooting foul by M. Chriss (drawn by E. Mudiay),,89-83,,
9:57.0,E. Mudiay makes free throw 1 of 2,1,90-83,,
9:57.0,E. Mudiay makes free throw 2 of 2,1,91-83,,
9:44.0,,,91-83,,B. Knight misses 2-pt shot from 7 ft
9:42.0,Defensive rebound by K. Faried,,91-83,,
9:34.0,J. Murray makes 3-pt shot from 25 ft (assist by W. Chandler),3,94-83,,
9:34.0,,,94-83,,Phoenix full timeout
9:34.0,,,94-83,,E. Bledsoe enters the game for M. Chriss
9:34.0,,,94-83,,P. Tucker enters the game for D. Bender
9:34.0,,,94-83,,A. Len enters the game for B. Knight
9:16.0,,,94-85,2,P. Tucker makes 2-pt shot from 6 ft
8:52.0,J. Murray makes 2-pt shot from 11 ft,2,96-85,,
8:40.0,,,96-85,,L. Barbosa misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by E. Mudiay,,96-85,,
8:30.0,E. Mudiay misses 2-pt shot from 16 ft,,96-85,,
8:28.0,Offensive rebound by N. Jokic,,96-85,,
8:21.0,N. Jokic misses 3-pt shot from 26 ft,,96-85,,
8:19.0,,,96-85,,Defensive rebound by P. Tucker
8:12.0,,,96-85,,E. Bledsoe misses 2-pt shot from 16 ft
8:09.0,Defensive rebound by K. Faried,,96-85,,
7:55.0,Shooting foul by T. Chandler (drawn by K. Faried),,96-85,,
7:55.0,Technical foul by K. Faried,,96-85,,
7:55.0,,,96-86,1,E. Bledsoe makes technical free throw
