time,LA Lakers,pts.away,score,pts.home,New Orleans
3:19.0,,,77-64,2,T. Jones makes 2-pt shot from 2 ft (assist by S. Hill)
3:19.0,,,77-64,,Shooting foul by N. Young (drawn by T. Jones)
3:19.0,,,77-64,,T. Jones misses free throw 1 of 1
3:19.0,,,77-64,,L. Galloway enters the game for T. Frazier
3:17.0,Defensive rebound by T. Mozgov,,77-64,,
2:56.0,J. Randle makes 2-pt shot from 2 ft (assist by N. Young),2,79-64,,
2:47.0,,,79-66,2,B. Hield makes 2-pt shot from 22 ft
2:36.0,Turnover by T. Mozgov (bad pass),,79-66,,
2:36.0,,,79-66,,A. Davis enters the game for T. Jones
2:36.0,B. Ingram enters the game for L. Deng,,79-66,,
2:36.0,T. Black enters the game for T. Mozgov,,79-66,,
2:36.0,J. Clarkson enters the game for N. Young,,79-66,,
2:18.0,,,79-69,3,L. Galloway makes 3-pt shot from 25 ft (assist by A. Davis)
2:17.0,LA Lakers full timeout,,79-69,,
2:00.0,J. Randle misses 2-pt shot from 5 ft (block by A. Ajinca),,79-69,,
1:59.0,,,79-69,,Defensive rebound by L. Galloway
1:46.0,,,79-71,2,B. Hield makes 2-pt shot from 2 ft
1:23.0,Shooting foul by S. Hill (drawn by J. Clarkson),,79-71,,
1:23.0,J. Clarkson makes free throw 1 of 3,1,80-71,,
1:23.0,J. Clarkson makes free throw 2 of 3,1,81-71,,
1:23.0,J. Clarkson makes free throw 3 of 3,1,82-71,,
1:23.0,L. Williams enters the game for J. Randle,,81-71,,
1:23.0,L. Nance enters the game for D. Russell,,81-71,,
1:11.0,,,82-71,,L. Galloway misses 2-pt shot from 16 ft
1:11.0,Defensive rebound by L. Nance,,82-71,,
1:04.0,B. Ingram misses 2-pt shot from 1 ft,,82-71,,
1:03.0,,,82-71,,Defensive rebound by L. Galloway
0:50.0,,,82-71,,B. Hield misses 3-pt shot from 26 ft
0:49.0,Defensive rebound by L. Williams,,82-71,,
0:38.0,L. Williams makes 2-pt shot from 18 ft (assist by L. Nance),2,84-71,,
0:22.0,,,84-71,,L. Galloway misses 3-pt shot from 24 ft
