time,New Orleans,pts.away,score,pts.home,Memphis
6:47.0,,,82-73,,Offensive rebound by T. Douglas
6:44.0,,,82-73,,M. Conley misses 3-pt shot from 26 ft
6:43.0,Defensive rebound by S. Hill,,82-73,,
6:31.0,A. Davis misses 2-pt shot from 22 ft,,82-73,,
6:31.0,,,82-73,,Defensive rebound by M. Gasol
6:16.0,,,82-75,2,M. Gasol makes 2-pt shot from 11 ft
6:03.0,,,82-75,,Personal foul by T. Douglas (drawn by J. Holiday)
6:03.0,T. Evans enters the game for J. Holiday,,82-75,,
5:54.0,E. Moore misses 2-pt shot from 1 ft,,82-75,,
5:54.0,,,82-75,,Defensive rebound by Team
5:54.0,Loose ball foul by A. Ajinca (drawn by M. Gasol),,82-75,,
5:54.0,,,82-75,,Memphis full timeout
5:54.0,,,82-76,1,M. Gasol makes free throw 1 of 2
5:54.0,,,82-77,1,M. Gasol makes free throw 2 of 2
5:54.0,D. Motiejunas enters the game for A. Ajinca,,82-75,,
5:32.0,A. Davis makes 2-pt shot from 16 ft (assist by D. Motiejunas),2,84-77,,
5:13.0,,,84-79,2,M. Conley makes 2-pt shot from 12 ft
4:56.0,A. Davis misses 2-pt shot from 14 ft,,84-79,,
4:55.0,,,84-79,,Defensive rebound by M. Gasol
4:42.0,,,84-79,,Turnover by M. Gasol (bad pass; steal by T. Evans)
4:24.0,A. Davis misses 2-pt shot from 9 ft,,84-79,,
4:23.0,,,84-79,,Defensive rebound by M. Gasol
4:14.0,,,84-81,2,T. Douglas makes 2-pt shot from 15 ft
4:13.0,New Orleans full timeout,,84-81,,
4:13.0,J. Holiday enters the game for E. Moore,,84-81,,
4:13.0,,,84-81,,Z. Randolph enters the game for B. Wright
3:52.0,D. Motiejunas misses 2-pt shot from 6 ft,,84-81,,
3:52.0,,,84-81,,Defensive rebound by M. Gasol
3:35.0,,,84-83,2,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Gasol)
3:18.0,S. Hill makes 3-pt shot from 23 ft (assist by J. Holiday),3,87-83,,
3:00.0,,,87-83,,Turnover by V. Carter (bad pass; steal by D. Motiejunas)
2:48.0,A. Davis makes 2-pt shot from 15 ft (assist by J. Holiday),2,89-83,,
2:48.0,,,89-83,,Memphis full timeout
