time,Memphis,pts.away,score,pts.home,Phoenix
10:51.0,Z. Randolph makes 2-pt shot from 2 ft (assist by V. Carter),2,93-70,,
10:34.0,,,93-70,,E. Bledsoe misses 2-pt shot from 5 ft
10:33.0,,,93-70,,Offensive rebound by A. Len
10:33.0,,,93-70,,A. Len misses 2-pt shot from 1 ft
10:33.0,,,93-70,,Offensive rebound by A. Len
10:33.0,,,93-70,,Shooting foul by Z. Randolph (drawn by A. Len)
10:33.0,,,93-72,2,A. Len makes 2-pt shot from 1 ft
10:33.0,,,93-72,,A. Len misses free throw 1 of 1
10:32.0,Defensive rebound by Z. Randolph,,93-72,,
10:12.0,M. Conley makes 3-pt shot from 26 ft,3,96-72,,
9:56.0,Personal foul by M. Conley (drawn by P. Tucker),,96-72,,
9:56.0,,,96-72,,D. Booker enters the game for T. Warren
9:51.0,,,96-75,3,E. Bledsoe makes 3-pt shot from 25 ft
9:40.0,,,96-75,,Personal foul by D. Booker (drawn by V. Carter)
9:29.0,M. Conley makes 2-pt shot from 18 ft,2,98-75,,
9:18.0,,,98-75,,P. Tucker misses 3-pt shot from 25 ft
9:17.0,Defensive rebound by M. Conley,,98-75,,
8:57.0,Official timeout,,98-75,,
8:57.0,M. Gasol enters the game for J. Green,,98-75,,
8:54.0,M. Conley misses 2-pt shot from 21 ft,,98-75,,
8:53.0,Offensive rebound by J. Ennis,,98-75,,
8:35.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Gasol),2,100-75,,
8:20.0,,,100-75,,D. Booker misses 2-pt shot from 11 ft
8:18.0,,,100-75,,Offensive rebound by D. Booker
8:14.0,,,100-75,,D. Booker misses 2-pt shot from 2 ft
8:12.0,,,100-75,,Offensive rebound by D. Booker
8:12.0,,,100-75,,D. Booker misses 2-pt shot from 7 ft
8:10.0,Defensive rebound by Z. Randolph,,100-75,,
7:57.0,J. Ennis makes 2-pt shot at rim (assist by M. Conley),2,102-75,,
7:43.0,,,102-77,2,D. Booker makes 2-pt shot from 12 ft
7:26.0,M. Conley makes 3-pt shot from 29 ft,3,105-77,,
7:10.0,,,105-77,,A. Len misses 2-pt shot from 19 ft
7:09.0,Defensive rebound by Z. Randolph,,105-77,,
6:56.0,M. Conley misses 3-pt shot from 28 ft,,105-77,,
6:55.0,,,105-77,,Defensive rebound by D. Booker
6:47.0,,,105-79,2,D. Booker makes 2-pt shot from 13 ft
6:27.0,,,105-79,,Personal foul by P. Tucker (drawn by Z. Randolph)
6:27.0,,,105-79,,Technical foul by P. Tucker (drawn by Z. Randolph)
6:27.0,,,105-79,,Technical foul by P. Tucker (drawn by Z. Randolph)
6:27.0,M. Conley makes technical free throw,1,106-79,,
6:27.0,M. Conley makes technical free throw,1,107-79,,
6:27.0,,,105-79,,M. Chriss enters the game for P. Tucker
6:27.0,C. Parsons enters the game for Z. Randolph,,106-79,,
6:16.0,M. Gasol makes 2-pt shot at rim (assist by M. Conley),2,109-79,,
6:05.0,,,109-79,,D. Booker misses 2-pt shot from 19 ft
6:00.0,Defensive rebound by M. Conley,,109-79,,
5:42.0,M. Conley misses 2-pt shot from 3 ft,,109-79,,
5:41.0,,,109-79,,Defensive rebound by A. Len
5:36.0,,,109-81,2,M. Chriss makes 2-pt shot from 1 ft
5:12.0,M. Conley misses 3-pt shot from 27 ft,,109-81,,
5:11.0,,,109-81,,Defensive rebound by A. Len
5:07.0,Personal take foul by V. Carter (drawn by E. Bledsoe),,109-81,,
5:07.0,,,109-81,,Phoenix full timeout
5:07.0,,,109-82,1,E. Bledsoe makes free throw 1 of 3
