time,Milwaukee,pts.away,score,pts.home,Miami
4:26.0,,,54-65,3,J. Richardson makes 3-pt shot from 23 ft (assist by G. Dragic)
4:01.0,M. Beasley makes 2-pt shot from 16 ft,2,56-65,,
3:39.0,,,56-65,,D. Waiters misses 3-pt shot from 26 ft
3:38.0,Defensive rebound by M. Brogdon,,56-65,,
3:27.0,T. Snell misses 3-pt shot from 25 ft,,56-65,,
3:26.0,Offensive rebound by Team,,56-65,,
3:26.0,,,56-65,,Loose ball foul by G. Dragic (drawn by M. Plumlee)
3:26.0,,,56-65,,J. Johnson enters the game for D. Williams
3:26.0,,,56-65,,R. McGruder enters the game for G. Dragic
3:26.0,J. Terry enters the game for T. Snell,,56-65,,
3:19.0,M. Brogdon misses 2-pt shot from 19 ft,,56-65,,
3:18.0,,,56-65,,Defensive rebound by H. Whiteside
3:04.0,,,56-65,,J. Richardson misses 3-pt shot from 25 ft
3:03.0,,,56-65,,Offensive rebound by H. Whiteside
2:59.0,,,56-67,2,H. Whiteside makes 2-pt shot from 4 ft
2:46.0,Offensive foul by M. Plumlee,,56-67,,
2:46.0,Turnover by M. Plumlee (offensive foul),,56-67,,
2:46.0,Milwaukee full timeout,,56-67,,
2:26.0,,,56-67,,R. McGruder misses 3-pt shot from 24 ft
2:25.0,Defensive rebound by M. Brogdon,,56-67,,
2:20.0,,,56-67,,Personal foul by D. Waiters (drawn by M. Brogdon)
2:20.0,,,56-67,,T. Johnson enters the game for J. Richardson
2:12.0,,,56-67,,Personal foul by D. Waiters (drawn by G. Antetokounmpo)
2:08.0,Turnover by M. Plumlee (bad pass),,56-67,,
1:58.0,Def 3 sec tech foul by G. Antetokounmpo,,56-67,,
1:58.0,,,56-67,,D. Waiters misses technical free throw
1:58.0,,,56-67,,Offensive rebound by Team
1:48.0,,,56-67,,D. Waiters misses 2-pt shot from 3 ft
1:47.0,Defensive rebound by G. Antetokounmpo,,56-67,,
1:45.0,Shooting foul by T. Johnson (drawn by G. Antetokounmpo),,56-67,,
1:45.0,G. Antetokounmpo makes free throw 1 of 2,1,57-67,,
1:45.0,G. Antetokounmpo misses free throw 2 of 2,,57-67,,
1:43.0,,,57-67,,Defensive rebound by T. Johnson
1:21.0,,,57-67,,J. Johnson misses 3-pt shot from 25 ft
1:20.0,Defensive rebound by Team,,57-67,,
1:13.0,,,57-67,,Violation by T. Johnson (kicked ball)
1:06.0,G. Antetokounmpo misses 2-pt shot from 11 ft (block by H. Whiteside),,57-67,,
1:05.0,Offensive rebound by Team,,57-67,,
1:00.0,M. Beasley makes 2-pt shot from 13 ft (assist by M. Plumlee),2,59-67,,
0:42.0,Personal foul by M. Plumlee (drawn by R. McGruder),,59-67,,
0:42.0,,,59-67,,W. Reed enters the game for H. Whiteside
0:27.0,,,59-67,,W. Reed misses 2-pt shot from 6 ft
0:26.0,Defensive rebound by M. Beasley,,59-67,,
0:04.0,J. Terry makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,62-67,,
0:01.0,,,62-67,,D. Waiters misses 3-pt shot from 33 ft
0:00.0,,,62-67,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,M. Brogdon misses 2-pt shot from 8 ft,,62-67,,
11:48.0,,,62-67,,Defensive rebound by H. Whiteside
11:31.0,,,62-67,,R. McGruder misses 3-pt shot from 24 ft
11:30.0,Defensive rebound by M. Brogdon,,62-67,,
11:26.0,M. Brogdon misses 2-pt shot from 3 ft,,62-67,,
11:25.0,Offensive rebound by M. Beasley,,62-67,,
11:25.0,M. Beasley makes 2-pt shot from 2 ft,2,64-67,,
11:25.0,Shooting foul by T. Johnson (drawn by M. Beasley),,64-67,,
11:25.0,M. Beasley misses free throw 1 of 1,,64-67,,
11:23.0,,,64-67,,Defensive rebound by J. Johnson
11:17.0,,,64-69,2,G. Dragic makes 2-pt shot from 2 ft
11:17.0,,,64-69,,Shooting foul by J. Henson (drawn by G. Dragic)
11:17.0,,,64-70,1,G. Dragic makes free throw 1 of 1
11:05.0,Turnover by M. Teletovic (lost ball; steal by H. Whiteside),,64-70,,
10:59.0,,,64-70,,G. Dragic misses 2-pt shot from 2 ft (block by M. Teletovic)
10:58.0,,,64-70,,Offensive rebound by Team
10:44.0,,,64-70,,Turnover by J. Johnson (bad pass; steal by J. Terry)
10:30.0,Shooting foul by R. McGruder (drawn by M. Beasley),,64-70,,
10:30.0,M. Beasley makes free throw 1 of 2,1,65-70,,
10:30.0,M. Beasley makes free throw 2 of 2,1,66-70,,
10:10.0,,,66-70,,Turnover by H. Whiteside (lost ball; steal by J. Henson)
10:06.0,Turnover by J. Henson (bad pass; steal by G. Dragic),,66-70,,
10:04.0,,,66-70,,Shooting foul by M. Beasley (drawn by G. Dragic)
10:04.0,,,66-71,1,G. Dragic makes free throw 1 of 2
10:04.0,,,66-71,,G. Dragic misses free throw 2 of 2
10:02.0,,,66-71,,Offensive rebound by J. Johnson
9:49.0,,,66-71,,H. Whiteside misses 2-pt shot from 4 ft
9:46.0,Defensive rebound by J. Henson,,66-71,,
9:43.0,,,66-71,,Technical foul by Team
9:43.0,J. Terry makes technical free throw,1,67-71,,
9:43.0,G. Antetokounmpo enters the game for M. Beasley,,67-71,,
9:25.0,M. Brogdon misses 3-pt shot from 25 ft,,67-71,,
9:24.0,Offensive rebound by J. Terry,,67-71,,
9:22.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by J. Terry),2,69-71,,
9:11.0,,,69-71,,T. Johnson misses 3-pt shot from 25 ft
9:08.0,,,69-71,,Offensive rebound by Team
9:08.0,Loose ball foul by J. Henson (drawn by H. Whiteside),,69-71,,
9:08.0,,,69-71,,J. Richardson enters the game for R. McGruder
8:59.0,,,69-71,,G. Dragic misses 2-pt shot from 2 ft (block by J. Henson)
8:58.0,,,69-71,,Offensive rebound by G. Dragic
8:51.0,,,69-73,2,J. Johnson makes 2-pt shot at rim
8:35.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by H. Whiteside),,69-73,,
8:34.0,,,69-73,,Defensive rebound by H. Whiteside
8:20.0,,,69-73,,T. Johnson misses 2-pt shot from 12 ft
8:19.0,,,69-73,,Offensive rebound by H. Whiteside
8:19.0,Personal foul by G. Antetokounmpo (drawn by H. Whiteside),,69-73,,
8:19.0,Official timeout,,69-73,,
8:19.0,,,69-73,,H. Whiteside misses free throw 1 of 2
8:19.0,,,69-73,,Offensive rebound by Team
8:19.0,,,69-74,1,H. Whiteside makes free throw 2 of 2
8:19.0,T. Snell enters the game for J. Henson,,69-73,,
8:19.0,J. Parker enters the game for M. Brogdon,,69-73,,
