time,Golden State,pts.away,score,pts.home,Philadelphia
1:10.0,J. McAdoo misses 2-pt shot from 1 ft,,89-79,,
1:09.0,Offensive rebound by J. McAdoo,,89-79,,
1:09.0,J. McAdoo misses 2-pt shot from 1 ft,,89-79,,
1:08.0,,,89-79,,Defensive rebound by S. Rodriguez
1:02.0,,,89-79,,J. Anderson misses 3-pt shot from 23 ft
1:00.0,Defensive rebound by A. Iguodala,,89-79,,
0:53.0,S. Curry misses 3-pt shot from 23 ft,,89-79,,
0:51.0,Offensive rebound by J. McAdoo,,89-79,,
0:48.0,A. Iguodala makes 2-pt shot at rim (assist by D. Green),2,91-79,,
0:33.0,Personal foul by J. McAdoo (drawn by J. Anderson),,91-79,,
0:33.0,,,91-80,1,J. Anderson makes free throw 1 of 2
0:33.0,,,91-80,,Turnover by T. Luwawu-Cabarrot (lane violation.)
0:25.0,S. Curry makes 2-pt shot from 2 ft,2,93-80,,
0:03.0,,,93-80,,Turnover by S. Rodriguez (bad pass; steal by A. Iguodala)
0:00.0,A. Iguodala misses 3-pt shot from 50 ft,,93-80,,
0:00.0,Offensive rebound by Team,,93-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:33.0,,,93-80,,Turnover by T. Luwawu-Cabarrot (lost ball; steal by S. Livingston)
11:18.0,S. Livingston misses 2-pt shot from 12 ft,,93-80,,
11:16.0,,,93-80,,Defensive rebound by N. Stauskas
10:59.0,,,93-80,,S. Rodriguez misses 2-pt shot from 2 ft
10:57.0,Defensive rebound by S. Livingston,,93-80,,
10:46.0,D. West misses 2-pt shot from 20 ft,,93-80,,
10:44.0,,,93-80,,Defensive rebound by J. Okafor
10:38.0,,,93-82,2,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by N. Stauskas)
10:24.0,Turnover by K. Thompson (bad pass; steal by N. Stauskas),,93-82,,
10:18.0,,,93-85,3,S. Rodriguez makes 3-pt shot from 25 ft (assist by R. Covington)
