time,Detroit,pts.away,score,pts.home,Boston
1:24.0,J. Leuer makes 2-pt shot at rim (assist by T. Harris),2,90-80,,
1:04.0,Personal block foul by A. Drummond (drawn by I. Thomas),,90-80,,
1:04.0,,,90-80,,J. Crowder enters the game for A. Bradley
1:04.0,A. Baynes enters the game for A. Drummond,,90-80,,
0:59.0,,,90-82,2,K. Olynyk makes 2-pt shot from 17 ft (assist by M. Smart)
0:44.0,I. Smith misses 2-pt shot from 6 ft,,90-82,,
0:43.0,,,90-82,,Defensive rebound by J. Jerebko
0:36.0,,,90-82,,Shooting foul by A. Baynes (drawn by I. Thomas)
0:36.0,,,90-83,1,I. Thomas makes free throw 1 of 2
0:36.0,,,90-84,1,I. Thomas makes free throw 2 of 2
0:18.0,Shooting foul by K. Olynyk (drawn by K. Caldwell-Pope),,90-84,,
0:18.0,K. Caldwell-Pope makes free throw 1 of 2,1,91-84,,
0:18.0,K. Caldwell-Pope makes free throw 2 of 2,1,92-84,,
0:03.0,,,92-84,,I. Thomas misses 2-pt shot from 2 ft (block by A. Baynes)
0:02.0,Defensive rebound by I. Smith,,92-84,,
0:01.0,I. Smith misses 3-pt shot from 55 ft,,92-84,,
0:00.0,Offensive rebound by Team,,92-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,M. Morris makes 2-pt shot from 18 ft (assist by A. Baynes),2,94-84,,
11:29.0,,,94-84,,J. Crowder misses 2-pt shot from 17 ft
11:28.0,Defensive rebound by A. Baynes,,94-84,,
11:20.0,Turnover by A. Baynes (bad pass; steal by J. Crowder),,94-84,,
11:15.0,,,94-84,,M. Smart misses 3-pt shot from 26 ft
11:14.0,,,94-84,,Offensive rebound by J. Crowder
10:51.0,,,94-84,,M. Smart misses 2-pt shot from 4 ft
10:50.0,Defensive rebound by J. Leuer,,94-84,,
10:34.0,,,94-84,,Personal foul by M. Smart (drawn by B. Udrih)
10:26.0,Turnover by M. Morris (step out of bounds),,94-84,,
10:04.0,,,94-84,,J. Crowder misses 3-pt shot from 26 ft
10:03.0,Defensive rebound by J. Leuer,,94-84,,
9:54.0,Offensive foul by A. Baynes,,94-84,,
9:54.0,Turnover by A. Baynes (offensive foul),,94-84,,
9:41.0,,,94-86,2,K. Olynyk makes 2-pt shot from 2 ft (assist by T. Rozier)
9:18.0,A. Baynes misses 2-pt shot from 16 ft,,94-86,,
9:17.0,,,94-86,,Defensive rebound by J. Jerebko
9:00.0,,,94-86,,M. Smart misses 2-pt shot from 6 ft
8:59.0,Defensive rebound by M. Morris,,94-86,,
8:55.0,Turnover by D. Hilliard (lost ball),,94-86,,
8:55.0,Official timeout,,94-86,,
8:40.0,,,94-86,,M. Smart misses 2-pt shot from 2 ft
8:39.0,,,94-86,,Offensive rebound by J. Jerebko
8:39.0,Violation by J. Leuer (def goaltending),,94-86,,
8:39.0,,,94-88,2,J. Jerebko makes 2-pt shot from 2 ft
8:22.0,D. Hilliard misses 2-pt shot from 16 ft,,94-88,,
8:21.0,,,94-88,,Defensive rebound by J. Crowder
8:13.0,,,94-90,2,J. Crowder makes 2-pt shot from 2 ft (assist by J. Jerebko)
7:50.0,M. Morris misses 3-pt shot from 25 ft,,94-90,,
7:49.0,Offensive rebound by A. Baynes,,94-90,,
7:47.0,Turnover by A. Baynes (bad pass; steal by J. Jerebko),,94-90,,
7:42.0,,,94-92,2,J. Crowder makes 2-pt shot at rim (assist by T. Rozier)
7:42.0,Detroit full timeout,,94-92,,
7:42.0,A. Drummond enters the game for A. Baynes,,94-92,,
7:36.0,Offensive charge foul by M. Morris,,94-92,,
7:36.0,Turnover by M. Morris (offensive foul),,94-92,,
7:36.0,T. Harris enters the game for J. Leuer,,94-92,,
7:27.0,,,94-94,2,T. Rozier makes 2-pt shot from 9 ft
7:27.0,,,94-94,,Shooting foul by D. Hilliard (drawn by T. Rozier)
7:27.0,,,94-95,1,T. Rozier makes free throw 1 of 1
7:27.0,K. Caldwell-Pope enters the game for D. Hilliard,,94-94,,
7:02.0,T. Harris misses 2-pt shot from 16 ft,,94-95,,
7:01.0,Offensive rebound by M. Morris,,94-95,,
7:00.0,,,94-95,,Personal foul by K. Olynyk (drawn by M. Morris)
7:00.0,M. Morris makes free throw 1 of 2,1,95-95,,
7:00.0,M. Morris makes free throw 2 of 2,1,96-95,,
7:00.0,I. Smith enters the game for B. Udrih,,95-95,,
6:40.0,,,96-95,,K. Olynyk misses 3-pt shot from 25 ft
6:39.0,Defensive rebound by M. Morris,,96-95,,
6:38.0,,,96-95,,A. Horford enters the game for K. Olynyk
6:23.0,T. Harris misses 3-pt shot from 25 ft,,96-95,,
6:22.0,Offensive rebound by A. Drummond,,96-95,,
6:21.0,Shooting foul by T. Rozier (drawn by A. Drummond),,96-95,,
6:21.0,A. Drummond misses free throw 1 of 2,,96-95,,
6:21.0,Offensive rebound by Team,,96-95,,
6:21.0,A. Drummond makes free throw 2 of 2,1,97-95,,
6:21.0,,,96-95,,A. Bradley enters the game for M. Smart
6:08.0,,,97-95,,J. Crowder misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by A. Drummond,,97-95,,
5:53.0,M. Morris makes 3-pt shot from 23 ft (assist by I. Smith),3,100-95,,
5:35.0,,,100-95,,T. Rozier misses 2-pt shot from 3 ft (block by M. Morris)
5:34.0,Defensive rebound by I. Smith,,100-95,,
5:17.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,100-95,,
5:15.0,Offensive rebound by K. Caldwell-Pope,,100-95,,
5:08.0,T. Harris makes 3-pt shot from 23 ft (assist by I. Smith),3,103-95,,
5:08.0,,,103-95,,Boston full timeout
5:08.0,,,103-95,,I. Thomas enters the game for T. Rozier
5:08.0,,,103-95,,M. Smart enters the game for J. Jerebko
4:47.0,,,103-95,,J. Crowder misses 3-pt shot from 25 ft
4:46.0,,,103-95,,Offensive rebound by M. Smart
4:46.0,,,103-97,2,M. Smart makes 2-pt shot at rim
4:27.0,Offensive foul by A. Drummond,,103-97,,
4:27.0,Turnover by A. Drummond (offensive foul),,103-97,,
4:09.0,,,103-97,,Shooting foul by I. Smith (drawn by A. Bradley)
4:09.0,,,103-98,1,A. Bradley makes free throw 1 of 2
4:09.0,,,103-99,1,A. Bradley makes free throw 2 of 2
3:51.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by T. Harris),3,106-99,,
3:41.0,Personal block foul by K. Caldwell-Pope (drawn by I. Thomas),,106-99,,
3:36.0,,,106-99,,Turnover by I. Thomas (bad pass; steal by A. Drummond)
3:31.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by A. Drummond),2,108-99,,
3:18.0,,,108-99,,I. Thomas misses 2-pt shot from 1 ft (block by M. Morris)
3:17.0,,,108-99,,Offensive rebound by M. Smart
3:16.0,,,108-99,,Shooting foul by I. Smith (drawn by M. Smart)
3:16.0,,,108-100,1,M. Smart makes free throw 1 of 2
3:16.0,,,108-101,1,M. Smart makes free throw 2 of 2
3:02.0,A. Drummond misses 2-pt shot from 2 ft,,108-101,,
3:01.0,,,108-101,,Defensive rebound by Team
2:49.0,,,108-101,,I. Thomas misses 2-pt shot from 2 ft
2:48.0,Defensive rebound by T. Harris,,108-101,,
