time,Orlando,pts.away,score,pts.home,Minnesota
11:34.0,Offensive rebound by Team,,79-80,,
11:34.0,,,79-80,,Loose ball foul by G. Dieng (drawn by B. Biyombo)
11:12.0,D. Augustin misses 3-pt shot from 25 ft,,79-80,,
11:11.0,,,79-80,,Defensive rebound by Z. LaVine
10:47.0,,,79-80,,Z. LaVine misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by J. Green,,79-80,,
10:41.0,D. Augustin makes 2-pt shot from 2 ft,2,81-80,,
10:20.0,,,81-80,,Turnover by G. Dieng (bad pass; steal by J. Green)
10:08.0,E. Fournier makes 2-pt shot from 1 ft (assist by J. Green),2,83-80,,
9:52.0,,,83-82,2,K. Dunn makes 2-pt shot from 22 ft
9:37.0,D. Augustin misses 2-pt shot from 20 ft,,83-82,,
9:36.0,,,83-82,,Defensive rebound by S. Muhammad
9:20.0,,,83-82,,K. Dunn misses 3-pt shot from 24 ft
9:20.0,,,83-82,,Offensive rebound by G. Dieng
9:15.0,,,83-82,,S. Muhammad misses 3-pt shot from 24 ft
9:14.0,Defensive rebound by B. Biyombo,,83-82,,
8:56.0,Turnover by E. Fournier (bad pass; steal by Z. LaVine),,83-82,,
8:54.0,,,83-82,,Minnesota full timeout
8:54.0,S. Ibaka enters the game for D. Rudez,,83-82,,
8:54.0,,,83-82,,K. Towns enters the game for G. Dieng
8:36.0,Shooting block foul by B. Biyombo (drawn by K. Towns),,83-82,,
8:36.0,,,83-83,1,K. Towns makes free throw 1 of 2
8:36.0,,,83-84,1,K. Towns makes free throw 2 of 2
8:26.0,,,83-84,,Personal foul by K. Dunn (drawn by D. Augustin)
8:19.0,Shooting foul by K. Towns (drawn by B. Biyombo),,83-84,,
8:19.0,B. Biyombo misses free throw 1 of 2,,83-84,,
8:19.0,Offensive rebound by Team,,83-84,,
8:19.0,B. Biyombo misses free throw 2 of 2,,83-84,,
8:19.0,,,83-84,,Defensive rebound by Z. LaVine
7:58.0,,,83-84,,S. Muhammad misses 2-pt shot from 10 ft
7:57.0,,,83-84,,Offensive rebound by Team
7:57.0,Loose ball foul by E. Fournier (drawn by K. Towns),,83-84,,
7:51.0,,,83-84,,Z. LaVine misses 3-pt shot from 24 ft
7:50.0,Defensive rebound by J. Green,,83-84,,
7:40.0,,,83-84,,Personal foul by N. Bjelica (drawn by B. Biyombo)
7:27.0,D. Augustin misses 2-pt shot from 2 ft (block by N. Bjelica),,83-84,,
7:26.0,Offensive rebound by S. Ibaka,,83-84,,
7:24.0,S. Ibaka misses 2-pt shot from 1 ft,,83-84,,
7:23.0,Offensive rebound by S. Ibaka,,83-84,,
7:23.0,S. Ibaka misses 2-pt shot from 2 ft,,83-84,,
7:22.0,,,83-84,,Defensive rebound by K. Dunn
7:14.0,,,83-84,,N. Bjelica misses 2-pt shot from 1 ft
7:13.0,,,83-84,,Offensive rebound by N. Bjelica
7:13.0,,,83-86,2,N. Bjelica makes 2-pt shot from 2 ft
6:49.0,J. Green misses 3-pt shot from 26 ft,,83-86,,
6:48.0,,,83-86,,Defensive rebound by N. Bjelica
6:34.0,,,83-89,3,S. Muhammad makes 3-pt shot from 23 ft (assist by K. Dunn)
6:34.0,Orlando full timeout,,83-89,,
6:34.0,E. Payton enters the game for D. Augustin,,83-89,,
6:34.0,N. Vucevic enters the game for J. Green,,83-89,,
6:34.0,C. Watson enters the game for B. Biyombo,,83-89,,
6:13.0,E. Fournier misses 3-pt shot from 24 ft,,83-89,,
6:12.0,,,83-89,,Defensive rebound by K. Towns
5:56.0,,,83-91,2,N. Bjelica makes 2-pt shot from 2 ft (assist by K. Dunn)
5:38.0,N. Vucevic makes 2-pt shot from 14 ft (assist by E. Fournier),2,85-91,,
5:22.0,,,85-91,,K. Dunn misses 2-pt shot from 9 ft
5:21.0,Defensive rebound by C. Watson,,85-91,,
5:15.0,E. Payton misses 2-pt shot from 2 ft,,85-91,,
5:12.0,,,85-91,,Defensive rebound by N. Bjelica
5:06.0,,,85-91,,Minnesota full timeout
5:06.0,,,85-91,,A. Wiggins enters the game for S. Muhammad
5:06.0,,,85-91,,R. Rubio enters the game for K. Dunn
4:57.0,,,85-91,,Z. LaVine misses 2-pt shot from 4 ft
4:56.0,,,85-91,,Offensive rebound by Team
4:56.0,Loose ball foul by C. Watson (drawn by K. Towns),,85-91,,
4:43.0,,,85-94,3,R. Rubio makes 3-pt shot from 23 ft (assist by K. Towns)
4:23.0,S. Ibaka makes 2-pt shot from 9 ft (assist by N. Vucevic),2,87-94,,
4:04.0,,,87-94,,Turnover by A. Wiggins (bad pass; steal by C. Watson)
3:59.0,C. Watson makes 3-pt shot from 25 ft,3,90-94,,
3:55.0,,,90-94,,Minnesota full timeout
3:55.0,A. Gordon enters the game for E. Fournier,,90-94,,
3:41.0,,,90-94,,Turnover by K. Towns (traveling)
3:27.0,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton),2,92-94,,
3:13.0,,,92-96,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
2:52.0,S. Ibaka misses 3-pt shot from 24 ft,,92-96,,
2:51.0,,,92-96,,Defensive rebound by K. Towns
2:39.0,,,92-96,,Turnover by A. Wiggins (bad pass)
2:22.0,E. Payton misses 3-pt shot from 27 ft,,92-96,,
2:21.0,,,92-96,,Defensive rebound by K. Towns
2:02.0,,,92-96,,Turnover by K. Towns (lost ball; steal by E. Payton)
1:54.0,,,92-96,,Personal foul by R. Rubio (drawn by N. Vucevic)
1:54.0,N. Vucevic makes free throw 1 of 2,1,93-96,,
