time,Golden State,pts.away,score,pts.home,Charlotte
6:36.0,,,59-65,,Shooting foul by S. Curry (drawn by M. Williams)
6:36.0,,,59-66,1,M. Williams makes free throw 1 of 1
6:36.0,J. McGee enters the game for Z. Pachulia,,59-65,,
6:23.0,Turnover by S. Curry (bad pass; steal by M. Williams),,59-66,,
6:18.0,,,59-66,,K. Walker misses 2-pt shot from 1 ft (block by S. Curry)
6:14.0,Defensive rebound by S. Curry,,59-66,,
6:14.0,,,59-66,,K. Walker misses 2-pt shot from 1 ft (block by K. Durant)
6:14.0,,,59-66,,Offensive rebound by K. Walker
6:10.0,S. Curry misses 3-pt shot from 25 ft,,59-66,,
6:07.0,,,59-66,,Defensive rebound by K. Walker
5:55.0,,,59-68,2,N. Batum makes 2-pt shot from 9 ft (assist by K. Walker)
5:49.0,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant),3,62-68,,
5:30.0,,,62-71,3,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum)
5:22.0,,,62-71,,Shooting block foul by R. Hibbert (drawn by D. Green)
5:22.0,D. Green misses free throw 1 of 2,,62-71,,
5:22.0,Offensive rebound by Team,,62-71,,
5:22.0,D. Green makes free throw 2 of 2,1,63-71,,
5:06.0,,,63-73,2,M. Kidd-Gilchrist makes 2-pt shot from 20 ft (assist by K. Walker)
4:53.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,66-73,,
4:52.0,,,66-73,,Charlotte full timeout
4:52.0,A. Iguodala enters the game for D. Green,,66-73,,
4:40.0,,,66-73,,N. Batum misses 2-pt shot from 18 ft
4:39.0,Defensive rebound by J. McGee,,66-73,,
4:17.0,K. Durant misses 2-pt shot from 11 ft,,66-73,,
4:16.0,,,66-73,,Defensive rebound by M. Williams
4:00.0,,,66-73,,K. Walker misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by K. Durant,,66-73,,
3:53.0,Turnover by K. Durant (bad pass),,66-73,,
3:53.0,,,66-73,,M. Belinelli enters the game for M. Kidd-Gilchrist
3:53.0,,,66-73,,F. Kaminsky enters the game for M. Williams
3:41.0,P. McCaw enters the game for K. Thompson,,66-73,,
3:29.0,,,66-73,,Turnover by Team (shot clock)
3:15.0,J. McGee makes 2-pt shot at rim (assist by S. Curry),2,68-73,,
2:58.0,,,68-73,,Turnover by F. Kaminsky (step out of bounds)
2:58.0,,,68-73,,S. Hawes enters the game for R. Hibbert
2:48.0,Turnover by S. Curry (bad pass; steal by K. Walker),,68-73,,
2:43.0,,,68-73,,K. Walker misses 2-pt shot from 1 ft (block by K. Durant)
2:41.0,Defensive rebound by A. Iguodala,,68-73,,
2:35.0,S. Curry makes 2-pt shot from 22 ft,2,70-73,,
2:18.0,,,70-75,2,K. Walker makes 2-pt shot at rim
2:07.0,Offensive charge foul by K. Durant,,70-75,,
2:07.0,Turnover by K. Durant (offensive foul),,70-75,,
2:07.0,J. McAdoo enters the game for K. Durant,,70-75,,
2:07.0,D. Green enters the game for J. McGee,,70-75,,
1:56.0,,,70-75,,Turnover by S. Hawes (step out of bounds)
1:45.0,S. Curry makes 2-pt shot from 1 ft,2,72-75,,
1:28.0,,,72-75,,Turnover by N. Batum (lost ball; steal by J. McAdoo)
1:25.0,Shooting foul by K. Walker (drawn by D. Green),,72-75,,
1:25.0,D. Green misses free throw 1 of 2,,72-75,,
1:25.0,Offensive rebound by Team,,72-75,,
1:25.0,D. Green makes free throw 2 of 2,1,73-75,,
1:13.0,,,73-75,,F. Kaminsky misses 2-pt shot from 1 ft (block by D. Green)
1:12.0,Defensive rebound by J. McAdoo,,73-75,,
1:07.0,S. Curry misses 3-pt shot from 31 ft,,73-75,,
1:07.0,,,73-75,,Defensive rebound by Team
0:55.0,,,73-75,,S. Hawes misses 2-pt shot at rim (block by D. Green)
0:55.0,,,73-75,,Offensive rebound by Team
0:47.0,,,73-75,,F. Kaminsky misses 3-pt shot from 24 ft
0:45.0,Defensive rebound by P. McCaw,,73-75,,
0:36.0,Turnover by S. Curry (bad pass; steal by F. Kaminsky),,73-75,,
0:32.0,,,73-77,2,K. Walker makes 2-pt shot at rim (assist by M. Belinelli)
0:09.0,J. McAdoo misses 2-pt shot from 5 ft,,73-77,,
0:08.0,Offensive rebound by J. McAdoo,,73-77,,
0:08.0,J. McAdoo makes 2-pt shot from 5 ft,2,75-77,,
0:02.0,,,75-77,,Shooting foul by P. McCaw (drawn by K. Walker)
0:02.0,,,75-78,1,K. Walker makes free throw 1 of 3
0:02.0,,,75-79,1,K. Walker makes free throw 2 of 3
0:02.0,,,75-80,1,K. Walker makes free throw 3 of 3
0:00.0,S. Curry misses 3-pt shot from 67 ft,,75-80,,
0:00.0,Offensive rebound by Team,,75-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,S. Livingston misses 2-pt shot from 11 ft,,75-80,,
11:41.0,,,75-80,,Defensive rebound by S. Hawes
11:25.0,,,75-80,,S. Hawes misses 2-pt shot from 1 ft
11:24.0,Defensive rebound by A. Iguodala,,75-80,,
11:24.0,,,75-80,,Technical foul by S. Hawes
11:24.0,K. Thompson makes technical free throw,1,76-80,,
11:12.0,Shooting foul by M. Kidd-Gilchrist (drawn by K. Thompson),,76-80,,
11:12.0,K. Thompson makes free throw 1 of 2,1,77-80,,
11:12.0,K. Thompson makes free throw 2 of 2,1,78-80,,
10:57.0,,,78-80,,M. Belinelli misses 3-pt shot from 25 ft
10:55.0,Defensive rebound by J. McAdoo,,78-80,,
10:51.0,Shooting foul by F. Kaminsky (drawn by D. Green),,78-80,,
10:51.0,D. Green misses free throw 1 of 2,,78-80,,
10:51.0,Offensive rebound by Team,,78-80,,
10:51.0,D. Green makes free throw 2 of 2,1,79-80,,
10:35.0,,,79-82,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by F. Kaminsky)
10:19.0,Shooting foul by F. Kaminsky (drawn by K. Thompson),,79-82,,
10:19.0,K. Thompson makes free throw 1 of 2,1,80-82,,
10:19.0,K. Thompson makes free throw 2 of 2,1,81-82,,
9:55.0,,,81-82,,R. Sessions misses 2-pt shot from 16 ft
9:53.0,,,81-82,,Offensive rebound by M. Kidd-Gilchrist
9:36.0,,,81-82,,S. Hawes misses 2-pt shot from 14 ft (block by K. Thompson)
9:32.0,Defensive rebound by D. Green,,81-82,,
9:30.0,J. McAdoo makes 2-pt shot at rim (assist by S. Livingston),2,83-82,,
9:30.0,,,83-82,,Charlotte full timeout
9:14.0,,,83-82,,Shooting foul by D. Green (drawn by S. Hawes)
9:14.0,,,83-84,2,S. Hawes makes 2-pt shot at rim (assist by F. Kaminsky)
9:14.0,,,83-85,1,S. Hawes makes free throw 1 of 1
9:01.0,K. Thompson misses 3-pt shot from 24 ft,,83-85,,
9:00.0,Offensive rebound by Team,,83-85,,
9:00.0,K. Durant enters the game for D. Green,,83-85,,
8:58.0,Turnover by J. McAdoo (bad pass; steal by M. Kidd-Gilchrist),,83-85,,
8:39.0,,,83-85,,R. Sessions misses 2-pt shot from 1 ft
8:38.0,Defensive rebound by K. Durant,,83-85,,
8:32.0,K. Durant makes 2-pt shot from 1 ft,2,85-85,,
