time,Golden State,pts.away,score,pts.home,Houston
7:14.0,Shooting foul by M. Harrell (drawn by K. Durant),,104-88,,
7:14.0,K. Durant makes free throw 1 of 2,1,105-88,,
7:14.0,K. Durant makes free throw 2 of 2,1,106-88,,
7:14.0,,,105-88,,T. Ariza enters the game for S. Dekker
7:14.0,,,105-88,,J. Harden enters the game for P. Beverley
7:05.0,,,106-88,,M. Harrell misses 2-pt shot from 3 ft (block by D. Green)
7:02.0,Defensive rebound by Z. Pachulia,,106-88,,
6:57.0,K. Durant misses 3-pt shot from 29 ft,,106-88,,
6:56.0,,,106-88,,Defensive rebound by T. Ariza
6:36.0,,,106-88,,E. Gordon misses 2-pt shot from 21 ft
6:35.0,Defensive rebound by A. Iguodala,,106-88,,
6:23.0,K. Durant makes 2-pt shot from 18 ft,2,108-88,,
6:14.0,,,108-88,,C. Brewer misses 3-pt shot from 23 ft
6:13.0,Defensive rebound by S. Livingston,,108-88,,
6:02.0,,,108-88,,Personal foul by C. Brewer (drawn by D. Green)
