time,Indiana,pts.away,score,pts.home,Houston
9:31.0,M. Ellis makes 2-pt shot from 1 ft (assist by R. Stuckey),2,96-83,,
9:20.0,,,96-85,2,C. Capela makes 2-pt shot at rim (assist by E. Gordon)
9:05.0,Turnover by M. Ellis (lost ball; steal by C. Capela),,96-85,,
8:59.0,,,96-88,3,L. Williams makes 3-pt shot from 25 ft (assist by P. Beverley)
8:37.0,G. Robinson makes 2-pt shot from 10 ft (assist by R. Stuckey),2,98-88,,
8:25.0,,,98-88,,P. Beverley misses 3-pt shot from 26 ft
8:24.0,Defensive rebound by M. Ellis,,98-88,,
8:11.0,Turnover by R. Stuckey (lost ball; steal by P. Beverley),,98-88,,
8:07.0,Violation by G. Robinson (def goaltending),,98-88,,
8:07.0,,,98-90,2,L. Williams makes 2-pt shot from 1 ft (assist by P. Beverley)
8:07.0,Indiana full timeout,,98-90,,
8:07.0,,,98-90,,J. Harden enters the game for E. Gordon
8:07.0,J. Teague enters the game for G. Robinson,,98-90,,
8:07.0,P. George enters the game for R. Stuckey,,98-90,,
7:47.0,R. Christmas makes 2-pt shot from 8 ft (assist by L. Allen),2,100-90,,
7:27.0,,,100-92,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
7:08.0,Turnover by R. Christmas (lost ball),,100-92,,
6:53.0,,,100-92,,L. Williams misses 3-pt shot from 28 ft
6:52.0,Defensive rebound by L. Allen,,100-92,,
6:26.0,J. Teague misses 3-pt shot from 27 ft,,100-92,,
6:25.0,Offensive rebound by L. Allen,,100-92,,
