time,Detroit,pts.away,score,pts.home,LA Lakers
2:53.0,T. Harris makes free throw 2 of 2,1,69-67,,
2:53.0,,,67-67,,N. Young enters the game for J. Randle
2:53.0,M. Morris enters the game for R. Bullock,,67-67,,
2:38.0,,,69-67,,L. Williams misses 2-pt shot from 7 ft
2:35.0,Defensive rebound by A. Drummond,,69-67,,
2:35.0,,,69-67,,Personal take foul by L. Williams
2:35.0,,,69-67,,LA Lakers full timeout
2:35.0,,,69-67,,I. Zubac enters the game for T. Black
2:20.0,A. Drummond misses 2-pt shot from 3 ft (block by I. Zubac),,69-67,,
2:19.0,,,69-67,,Defensive rebound by N. Young
1:57.0,,,69-69,2,J. Clarkson makes 2-pt shot from 20 ft
1:43.0,A. Drummond makes 2-pt shot from 8 ft (assist by I. Smith),2,71-69,,
1:30.0,,,71-69,,I. Zubac misses 2-pt shot from 1 ft (block by M. Morris)
1:30.0,Jump ball: M. Morris vs. I. Zubac (S. Johnson gains possession),,,,Jump ball: M. Morris vs. I. Zubac (S. Johnson gains possession)
1:30.0,Offensive rebound by M. Morris,,71-69,,
1:17.0,Turnover by M. Morris (lost ball),,71-69,,
1:01.0,,,71-69,,J. Clarkson misses 2-pt shot from 3 ft
0:59.0,Defensive rebound by A. Drummond,,71-69,,
0:51.0,A. Drummond misses 2-pt shot from 8 ft,,71-69,,
0:46.0,,,71-69,,Defensive rebound by N. Young
0:40.0,,,71-72,3,L. Williams makes 3-pt shot from 23 ft (assist by I. Zubac)
0:28.0,A. Drummond makes 2-pt shot from 3 ft (assist by S. Johnson),2,73-72,,
0:28.0,Violation by Team (jump ball),,73-72,,
0:09.0,,,73-72,,B. Ingram misses 3-pt shot from 26 ft
0:07.0,Defensive rebound by A. Drummond,,73-72,,
0:01.0,I. Smith makes 2-pt shot from 18 ft,2,75-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,M. Morris misses 3-pt shot from 26 ft,,75-72,,
11:48.0,,,75-72,,Defensive rebound by I. Zubac
11:35.0,,,75-74,2,I. Zubac makes 2-pt shot from 7 ft (assist by J. Clarkson)
11:22.0,R. Bullock misses 2-pt shot from 5 ft (block by I. Zubac),,75-74,,
11:22.0,Offensive rebound by A. Drummond,,75-74,,
11:22.0,Shooting foul by L. Deng (drawn by A. Drummond),,75-74,,
11:22.0,A. Drummond misses free throw 1 of 2,,75-74,,
11:22.0,Offensive rebound by Team,,75-74,,
11:22.0,A. Drummond makes free throw 2 of 2,1,76-74,,
11:09.0,,,76-74,,L. Williams misses 3-pt shot from 26 ft
11:06.0,Defensive rebound by I. Smith,,76-74,,
11:00.0,I. Smith makes 2-pt shot from 4 ft,2,78-74,,
10:51.0,Personal foul by R. Bullock (drawn by J. Clarkson),,78-74,,
10:40.0,,,78-74,,B. Ingram misses 2-pt shot from 3 ft
10:38.0,,,78-74,,Offensive rebound by I. Zubac
10:36.0,,,78-74,,I. Zubac misses 2-pt shot from 2 ft (block by S. Johnson)
10:36.0,Defensive rebound by S. Johnson,,78-74,,
10:24.0,I. Smith misses 2-pt shot from 18 ft,,78-74,,
10:21.0,,,78-74,,Defensive rebound by I. Zubac
10:14.0,,,78-76,2,J. Clarkson makes 2-pt shot from 2 ft
9:46.0,A. Drummond misses 2-pt shot from 3 ft,,78-76,,
9:44.0,,,78-76,,Defensive rebound by L. Deng
9:39.0,,,78-78,2,I. Zubac makes 2-pt shot from 1 ft (assist by L. Williams)
9:38.0,Detroit full timeout,,78-78,,
