time,San Antonio,pts.away,score,pts.home,Memphis
0:38.0,L. Aldridge makes 2-pt shot from 13 ft,2,73-75,,
0:22.0,,,73-75,,Turnover by T. Daniels (bad pass)
0:22.0,,,73-75,,J. Green enters the game for Z. Randolph
0:22.0,,,73-75,,T. Allen enters the game for T. Daniels
0:06.0,L. Aldridge misses 2-pt shot from 14 ft (block by T. Allen),,73-75,,
0:04.0,Offensive rebound by L. Aldridge,,73-75,,
0:04.0,L. Aldridge misses 2-pt shot from 14 ft,,73-75,,
0:02.0,,,73-75,,Defensive rebound by M. Gasol
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,73-78,3,T. Daniels makes 3-pt shot from 25 ft (assist by Z. Randolph)
11:33.0,,,73-78,,Personal foul by J. Ennis (drawn by M. Ginobili)
11:21.0,M. Ginobili misses 3-pt shot from 25 ft,,73-78,,
11:19.0,Offensive rebound by D. Lee,,73-78,,
11:19.0,D. Lee misses 2-pt shot from 1 ft,,73-78,,
11:17.0,,,73-78,,Defensive rebound by J. Green
11:06.0,,,73-78,,Z. Randolph misses 2-pt shot from 6 ft
11:03.0,Defensive rebound by P. Gasol,,73-78,,
10:59.0,Turnover by M. Ginobili (bad pass; steal by M. Conley),,73-78,,
10:55.0,,,73-80,2,M. Conley makes 2-pt shot from 1 ft
10:54.0,San Antonio full timeout,,73-80,,
10:54.0,T. Parker enters the game for P. Mills,,73-80,,
10:54.0,K. Leonard enters the game for M. Ginobili,,73-80,,
10:42.0,,,73-80,,Personal foul by J. Ennis (drawn by K. Leonard)
10:29.0,K. Leonard misses 2-pt shot from 17 ft,,73-80,,
10:28.0,,,73-80,,Defensive rebound by M. Conley
10:06.0,,,73-80,,M. Conley misses 2-pt shot from 22 ft
10:04.0,Defensive rebound by P. Gasol,,73-80,,
9:50.0,Turnover by D. Lee (bad pass; steal by J. Green),,73-80,,
9:42.0,,,73-80,,T. Daniels misses 3-pt shot from 25 ft
9:40.0,,,73-80,,Offensive rebound by J. Green
9:25.0,,,73-80,,T. Daniels misses 3-pt shot from 23 ft
9:24.0,,,73-80,,Offensive rebound by Team
9:24.0,Loose ball foul by D. Lee (drawn by Z. Randolph),,73-80,,
9:08.0,,,73-80,,J. Green misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by K. Leonard,,73-80,,
8:55.0,Shooting foul by J. Ennis (drawn by P. Gasol),,73-80,,
8:55.0,P. Gasol makes free throw 1 of 2,1,74-80,,
8:55.0,P. Gasol makes free throw 2 of 2,1,75-80,,
8:40.0,,,75-80,,Shooting foul by K. Leonard (drawn by Z. Randolph)
8:40.0,,,75-81,1,Z. Randolph makes free throw 1 of 2
8:40.0,,,75-82,1,Z. Randolph makes free throw 2 of 2
8:40.0,D. Bertans enters the game for P. Gasol,,75-81,,
8:32.0,Offensive foul by D. Lee,,75-82,,
8:32.0,Turnover by D. Lee (offensive foul),,75-82,,
8:32.0,,,75-82,,M. Gasol enters the game for J. Green
8:21.0,,,75-84,2,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Gasol)
8:03.0,J. Simmons makes 3-pt shot from 24 ft (assist by K. Leonard),3,78-84,,
7:52.0,,,78-86,2,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Conley)
7:52.0,,,78-86,,Shooting foul by D. Bertans (drawn by Z. Randolph)
7:52.0,,,78-87,1,Z. Randolph makes free throw 1 of 1
7:52.0,D. Dedmon enters the game for D. Lee,,78-86,,
7:37.0,K. Leonard makes 3-pt shot from 24 ft (assist by D. Bertans),3,81-87,,
7:21.0,,,81-87,,Z. Randolph misses 2-pt shot from 2 ft (block by D. Bertans)
7:19.0,Defensive rebound by K. Leonard,,81-87,,
7:12.0,,,81-87,,Personal foul by Z. Randolph (drawn by D. Dedmon)
7:12.0,,,81-87,,T. Allen enters the game for J. Ennis
6:59.0,D. Bertans makes 3-pt shot from 25 ft (assist by J. Simmons),3,84-87,,
6:51.0,,,84-87,,Memphis full timeout
6:51.0,,,84-87,,V. Carter enters the game for T. Daniels
6:41.0,,,84-89,2,M. Gasol makes 2-pt shot from 11 ft (assist by M. Conley)
6:28.0,Turnover by T. Parker (bad pass; steal by V. Carter),,84-89,,
6:16.0,,,84-89,,M. Gasol misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by T. Parker,,84-89,,
6:06.0,T. Parker misses 2-pt shot from 5 ft,,84-89,,
6:05.0,,,84-89,,Defensive rebound by M. Gasol
5:53.0,,,84-89,,Turnover by M. Conley (lost ball; steal by J. Simmons)
5:46.0,J. Simmons misses 2-pt shot from 14 ft,,84-89,,
5:45.0,Offensive rebound by J. Simmons,,84-89,,
5:45.0,Shooting foul by M. Gasol (drawn by J. Simmons),,84-89,,
5:45.0,J. Simmons makes free throw 1 of 2,1,85-89,,
5:45.0,J. Simmons makes free throw 2 of 2,1,86-89,,
5:30.0,Personal foul by D. Dedmon (drawn by M. Gasol),,86-89,,
5:23.0,,,86-89,,Shooting foul by J. Simmons (drawn by M. Conley)
5:23.0,,,86-90,1,M. Conley makes free throw 1 of 3
5:23.0,,,86-91,1,M. Conley makes free throw 2 of 3
5:23.0,,,86-92,1,M. Conley makes free throw 3 of 3
5:23.0,D. Green enters the game for J. Simmons,,86-91,,
5:23.0,L. Aldridge enters the game for D. Bertans,,86-91,,
5:23.0,P. Gasol enters the game for D. Dedmon,,86-91,,
5:09.0,,,86-92,,Personal foul by T. Allen (drawn by K. Leonard)
5:09.0,K. Leonard misses free throw 1 of 2,,86-92,,
5:09.0,Offensive rebound by Team,,86-92,,
5:09.0,K. Leonard makes free throw 2 of 2,1,87-92,,
4:57.0,,,87-92,,M. Conley misses 2-pt shot from 9 ft
4:55.0,Defensive rebound by P. Gasol,,87-92,,
4:35.0,T. Parker misses 3-pt shot from 24 ft,,87-92,,
4:34.0,Offensive rebound by P. Gasol,,87-92,,
4:25.0,D. Green misses 3-pt shot from 27 ft,,87-92,,
4:24.0,,,87-92,,Defensive rebound by V. Carter
4:05.0,,,87-95,3,M. Conley makes 3-pt shot from 26 ft (assist by M. Gasol)
3:40.0,K. Leonard misses 2-pt shot from 10 ft,,87-95,,
3:37.0,,,87-95,,Defensive rebound by M. Gasol
