time,Philadelphia,pts.away,score,pts.home,Golden State
3:56.0,R. Holmes misses 3-pt shot from 26 ft,,81-69,,
3:55.0,Offensive rebound by N. Stauskas,,81-69,,
3:52.0,R. Holmes makes 2-pt shot at rim (assist by N. Stauskas),2,83-69,,
3:52.0,Shooting foul by J. McAdoo (drawn by R. Holmes),,83-69,,
3:52.0,R. Holmes makes free throw 1 of 1,1,84-69,,
3:43.0,Personal foul by R. Holmes (drawn by J. McAdoo),,84-69,,
3:32.0,,,84-69,,J. McAdoo misses 2-pt shot at rim
3:31.0,,,84-69,,Offensive rebound by K. Thompson
3:23.0,,,84-69,,I. Clark misses 3-pt shot from 23 ft
3:23.0,,,84-69,,Offensive rebound by J. McAdoo
3:21.0,,,84-72,3,K. Thompson makes 3-pt shot from 26 ft (assist by M. Barnes)
3:12.0,Philadelphia full timeout,,84-72,,
3:12.0,S. Rodriguez enters the game for T. Luwawu-Cabarrot,,84-72,,
3:12.0,G. Henderson enters the game for T. McConnell,,84-72,,
3:04.0,Shooting foul by M. Barnes (drawn by R. Covington),,84-72,,
3:04.0,R. Covington makes free throw 1 of 2,1,85-72,,
3:04.0,R. Covington makes free throw 2 of 2,1,86-72,,
2:47.0,,,86-74,2,K. Thompson makes 2-pt shot from 14 ft (assist by A. Iguodala)
2:33.0,G. Henderson misses 2-pt shot from 11 ft,,86-74,,
2:32.0,Offensive rebound by R. Holmes,,86-74,,
2:23.0,R. Covington makes 3-pt shot from 27 ft (assist by S. Rodriguez),3,89-74,,
2:05.0,,,89-74,,K. Thompson misses 2-pt shot from 18 ft
2:05.0,Defensive rebound by N. Stauskas,,89-74,,
1:55.0,,,89-74,,Personal foul by A. Iguodala (drawn by G. Henderson)
1:55.0,G. Henderson misses free throw 1 of 2,,89-74,,
1:55.0,Offensive rebound by Team,,89-74,,
1:55.0,G. Henderson makes free throw 2 of 2,1,90-74,,
1:55.0,,,89-74,,D. Green enters the game for J. McAdoo
1:55.0,S. Long enters the game for R. Holmes,,89-74,,
1:38.0,,,90-74,,Shooting foul by S. Long (drawn by D. Green)
1:38.0,,,90-75,1,D. Green makes free throw 1 of 2
1:38.0,,,90-76,1,D. Green makes free throw 2 of 2
1:23.0,R. Covington misses 3-pt shot from 30 ft,,90-76,,
1:23.0,,,90-76,,Defensive rebound by M. Barnes
1:13.0,,,90-76,,D. Green misses 3-pt shot from 25 ft
1:13.0,Defensive rebound by R. Covington,,90-76,,
1:09.0,,,90-76,,Personal foul by D. Green (drawn by S. Long)
1:09.0,S. Long misses free throw 1 of 2,,90-76,,
1:09.0,Offensive rebound by Team,,90-76,,
1:09.0,S. Long misses free throw 2 of 2,,90-76,,
0:59.0,,,90-76,,Defensive rebound by D. Green
0:59.0,,,90-76,,Shooting foul by S. Long (drawn by D. Green)
0:59.0,,,90-77,1,D. Green makes free throw 1 of 2
0:59.0,,,90-78,1,D. Green makes free throw 2 of 2
0:35.0,S. Rodriguez misses 3-pt shot from 29 ft,,90-78,,
0:35.0,Offensive rebound by R. Covington,,90-78,,
0:19.0,Turnover by N. Stauskas (bad pass),,90-78,,
