time,Brooklyn,pts.away,score,pts.home,Philadelphia
11:04.0,J. Hamilton makes 2-pt shot from 2 ft (assist by A. Goodwin),2,113-80,,
11:04.0,Shooting foul by A. Poythress (drawn by J. Hamilton),,113-80,,
11:04.0,J. Hamilton makes free throw 1 of 1,1,114-80,,
10:53.0,,,114-80,,G. Henderson misses 3-pt shot from 25 ft
10:52.0,Defensive rebound by T. Booker,,114-80,,
10:40.0,J. Hamilton misses 3-pt shot from 23 ft,,114-80,,
10:39.0,,,114-80,,Defensive rebound by A. Poythress
10:30.0,,,114-82,2,S. Long makes 2-pt shot from 1 ft (assist by T. McConnell)
10:30.0,,,114-82,,Shooting foul by T. Booker (drawn by S. Long)
10:30.0,,,114-83,1,S. Long makes free throw 1 of 1
10:11.0,T. Booker makes 2-pt shot from 2 ft (assist by K. McDaniels),2,116-83,,
10:01.0,,,116-85,2,S. Long makes 2-pt shot from 1 ft (assist by T. McConnell)
9:38.0,A. Goodwin makes 2-pt shot from 2 ft (assist by J. Hamilton),2,118-85,,
9:20.0,,,118-85,,G. Henderson misses 2-pt shot from 5 ft
9:19.0,Defensive rebound by Team,,118-85,,
9:19.0,,,118-85,,J. Anderson enters the game for G. Henderson
9:19.0,A. Nicholson enters the game for T. Booker,,118-85,,
9:07.0,J. Hamilton makes 3-pt shot from 25 ft (assist by A. Goodwin),3,121-85,,
9:06.0,,,121-85,,Philadelphia full timeout
8:53.0,,,121-85,,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft
8:52.0,,,121-85,,Offensive rebound by A. Poythress
8:51.0,,,121-85,,A. Poythress misses 2-pt shot from 2 ft
8:50.0,Defensive rebound by Team,,121-85,,
8:34.0,Shooting foul by S. Long (drawn by A. Goodwin),,121-85,,
8:34.0,A. Goodwin makes 2-pt shot from 2 ft,2,123-85,,
8:34.0,A. Goodwin makes free throw 1 of 1,1,124-85,,
8:19.0,,,124-87,2,S. Long makes 2-pt shot from 8 ft (assist by A. Poythress)
8:03.0,J. Hamilton misses 2-pt shot from 7 ft,,124-87,,
8:02.0,,,124-87,,Defensive rebound by Team
8:02.0,Personal foul by A. Nicholson (drawn by A. Poythress),,124-87,,
