time,Cleveland,pts.away,score,pts.home,LA Lakers
5:49.0,,,99-103,2,D. Russell makes 2-pt shot from 19 ft
5:49.0,,,99-103,,Shooting foul by K. Irving (drawn by D. Russell)
5:49.0,,,99-104,1,D. Russell makes free throw 1 of 1
5:49.0,I. Shumpert enters the game for K. Love,,99-103,,
5:35.0,K. Irving makes 3-pt shot from 25 ft,3,102-104,,
5:11.0,,,102-104,,Turnover by J. Clarkson (bad pass; steal by J. Smith)
5:06.0,L. James makes 2-pt shot at rim (assist by J. Smith),2,104-104,,
5:06.0,,,104-104,,LA Lakers full timeout
4:55.0,Personal foul by J. Smith (drawn by J. Clarkson),,104-104,,
4:48.0,,,104-106,2,B. Ingram makes 2-pt shot from 6 ft
4:32.0,Shooting foul by J. Randle (drawn by K. Irving),,104-106,,
4:32.0,K. Irving makes free throw 1 of 2,1,105-106,,
4:32.0,K. Irving makes free throw 2 of 2,1,106-106,,
4:22.0,,,106-106,,Turnover by D. Russell (discontinued dribble)
4:10.0,K. Irving makes 3-pt shot from 25 ft,3,109-106,,
3:59.0,,,109-106,,J. Clarkson misses 3-pt shot from 26 ft
3:58.0,Defensive rebound by R. Jefferson,,109-106,,
3:52.0,L. James makes 2-pt shot at rim,2,111-106,,
3:35.0,,,111-106,,Shooting foul by I. Shumpert (drawn by D. Russell)
3:35.0,,,111-106,,D. Russell misses free throw 1 of 2
3:35.0,,,111-106,,Offensive rebound by Team
3:35.0,,,111-106,,D. Russell misses free throw 2 of 2
3:34.0,Defensive rebound by L. James,,111-106,,
3:25.0,,,111-106,,Personal foul by J. Randle (drawn by K. Irving)
3:25.0,K. Irving makes free throw 1 of 2,1,112-106,,
3:25.0,K. Irving makes free throw 2 of 2,1,113-106,,
3:13.0,,,113-108,2,B. Ingram makes 2-pt shot from 1 ft (assist by D. Russell)
2:50.0,L. James makes 2-pt shot from 2 ft,2,115-108,,
2:50.0,Shooting foul by J. Randle (drawn by L. James),,115-108,,
2:50.0,Official timeout,,115-108,,
2:50.0,L. James makes free throw 1 of 1,1,116-108,,
2:31.0,,,116-108,,B. Ingram misses 2-pt shot from 4 ft
2:30.0,Defensive rebound by K. Irving,,116-108,,
2:16.0,,,116-108,,Personal foul by B. Ingram (drawn by L. James)
2:16.0,L. James makes free throw 1 of 2,1,117-108,,
2:16.0,L. James misses free throw 2 of 2,,117-108,,
2:14.0,,,117-108,,Defensive rebound by D. Russell
1:53.0,,,117-108,,Shooting foul by J. Smith (drawn by J. Randle)
1:53.0,,,117-109,1,J. Randle makes free throw 1 of 2
1:53.0,,,117-110,1,J. Randle makes free throw 2 of 2
1:27.0,L. James misses 3-pt shot from 26 ft,,117-110,,
1:26.0,,,117-110,,Defensive rebound by D. Nwaba
1:21.0,Violation by L. James (def goaltending),,117-110,,
1:21.0,,,117-112,2,J. Clarkson makes 2-pt shot from 2 ft
1:03.0,K. Irving makes 2-pt shot at rim,2,119-112,,
0:52.0,,,119-114,2,J. Clarkson makes 2-pt shot from 1 ft
0:50.0,,,119-114,,Personal foul by J. Clarkson (drawn by K. Irving)
0:50.0,K. Irving makes free throw 1 of 2,1,120-114,,
0:50.0,K. Irving makes free throw 2 of 2,1,121-114,,
0:50.0,,,121-114,,LA Lakers full timeout
0:50.0,,,121-114,,C. Brewer enters the game for D. Nwaba
0:43.0,,,121-114,,D. Russell misses 3-pt shot from 26 ft
0:42.0,Defensive rebound by J. Smith,,121-114,,
0:41.0,Turnover by J. Smith (lost ball; steal by C. Brewer),,121-114,,
0:36.0,Personal foul by R. Jefferson (drawn by B. Ingram),,121-114,,
