time,New York,pts.away,score,pts.home,Dallas
2:41.0,C. Anthony misses 2-pt shot from 15 ft,,45-47,,
2:41.0,,,45-47,,Defensive rebound by D. Finney-Smith
2:29.0,,,45-47,,D. Williams misses 2-pt shot from 21 ft
2:28.0,Defensive rebound by C. Anthony,,45-47,,
2:16.0,C. Lee misses 3-pt shot from 24 ft,,45-47,,
2:15.0,,,45-47,,Defensive rebound by S. Curry
1:55.0,Personal foul by J. Holiday (drawn by D. Williams),,45-47,,
1:55.0,New York full timeout,,45-47,,
1:55.0,,,45-47,,D. Nowitzki enters the game for A. Bogut
1:51.0,,,45-47,,Turnover by S. Curry (traveling)
1:39.0,Turnover by C. Anthony (bad pass),,45-47,,
1:27.0,,,45-49,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by D. Williams)
1:12.0,D. Rose misses 2-pt shot from 1 ft (block by D. Nowitzki),,45-49,,
1:10.0,Offensive rebound by J. Noah,,45-49,,
1:10.0,J. Noah misses 2-pt shot from 1 ft,,45-49,,
1:08.0,Offensive rebound by C. Anthony,,45-49,,
1:06.0,C. Anthony misses 2-pt shot from 10 ft,,45-49,,
1:05.0,,,45-49,,Defensive rebound by D. Finney-Smith
0:53.0,,,45-52,3,D. Williams makes 3-pt shot from 26 ft (assist by D. Nowitzki)
0:41.0,,,45-52,,Personal take foul by S. Curry (drawn by D. Rose)
0:41.0,,,45-52,,D. Harris enters the game for D. Williams
0:41.0,New York full timeout,,45-52,,
0:34.0,C. Anthony makes 3-pt shot from 24 ft (assist by D. Rose),3,48-52,,
0:20.0,,,48-52,,S. Curry misses 2-pt shot from 18 ft
0:18.0,Defensive rebound by J. Noah,,48-52,,
0:09.0,D. Rose makes 2-pt shot at rim,2,50-52,,
0:01.0,,,50-52,,H. Barnes misses 3-pt shot from 23 ft
0:01.0,Defensive rebound by Team,,50-52,,
0:01.0,,,50-52,,Loose ball foul by D. Finney-Smith (drawn by C. Anthony)
