time,Charlotte,pts.away,score,pts.home,Minnesota
9:11.0,K. Walker misses 2-pt shot from 13 ft,,57-60,,
9:10.0,Offensive rebound by C. Zeller,,57-60,,
9:10.0,C. Zeller makes 2-pt shot from 2 ft,2,59-60,,
8:48.0,,,59-60,,A. Wiggins misses 2-pt shot from 14 ft
8:48.0,Defensive rebound by Team,,59-60,,
8:48.0,,,59-60,,Loose ball foul by K. Towns (drawn by K. Walker)
8:37.0,C. Zeller makes 2-pt shot from 6 ft (assist by K. Walker),2,61-60,,
8:20.0,,,61-63,3,Z. LaVine makes 3-pt shot from 24 ft (assist by G. Dieng)
7:53.0,C. Zeller misses 2-pt shot from 19 ft,,61-63,,
7:51.0,,,61-63,,Defensive rebound by R. Rubio
7:33.0,,,61-63,,Turnover by G. Dieng (bad pass; steal by N. Batum)
7:20.0,M. Williams misses 3-pt shot from 26 ft,,61-63,,
7:18.0,,,61-63,,Defensive rebound by R. Rubio
7:14.0,,,61-63,,Shooting foul by K. Walker (drawn by A. Wiggins)
7:14.0,,,61-64,1,A. Wiggins makes free throw 1 of 2
7:14.0,,,61-65,1,A. Wiggins makes free throw 2 of 2
7:02.0,M. Williams misses 3-pt shot from 25 ft,,61-65,,
7:00.0,,,61-65,,Defensive rebound by G. Dieng
6:56.0,,,61-65,,Turnover by R. Rubio (bad pass)
6:38.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,61-65,,
6:37.0,,,61-65,,Defensive rebound by G. Dieng
6:26.0,,,61-67,2,A. Wiggins makes 2-pt shot from 18 ft (assist by K. Towns)
6:26.0,Charlotte full timeout,,61-67,,
6:14.0,M. Williams misses 2-pt shot from 8 ft,,61-67,,
6:12.0,,,61-67,,Defensive rebound by G. Dieng
6:00.0,,,61-67,,Shooting foul by M. Kidd-Gilchrist (drawn by G. Dieng)
6:00.0,,,61-68,1,G. Dieng makes free throw 1 of 2
6:00.0,,,61-69,1,G. Dieng makes free throw 2 of 2
5:44.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft,,61-69,,
5:43.0,,,61-69,,Defensive rebound by R. Rubio
5:35.0,,,61-69,,G. Dieng misses 2-pt shot from 12 ft
5:34.0,Defensive rebound by C. Zeller,,61-69,,
5:24.0,K. Walker misses 2-pt shot from 15 ft (block by K. Towns),,61-69,,
5:22.0,,,61-69,,Defensive rebound by G. Dieng
5:13.0,,,61-69,,K. Towns misses 3-pt shot from 24 ft
5:12.0,Defensive rebound by M. Kidd-Gilchrist,,61-69,,
5:05.0,N. Batum makes 3-pt shot from 24 ft,3,64-69,,
4:48.0,,,64-69,,Z. LaVine misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by C. Zeller,,64-69,,
4:32.0,K. Walker makes 3-pt shot from 25 ft,3,67-69,,
4:17.0,,,67-69,,Offensive charge foul by A. Wiggins
4:17.0,,,67-69,,Turnover by A. Wiggins (offensive foul)
4:17.0,F. Kaminsky enters the game for M. Williams,,67-69,,
4:17.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,67-69,,
4:17.0,,,67-69,,N. Bjelica enters the game for Z. LaVine
4:04.0,N. Batum makes 3-pt shot from 26 ft (assist by K. Walker),3,70-69,,
4:03.0,,,70-69,,Minnesota full timeout
3:53.0,,,70-69,,Turnover by A. Wiggins (lost ball; steal by N. Batum)
3:47.0,Turnover by K. Walker (bad pass),,70-69,,
3:31.0,,,70-69,,Shooting foul by K. Walker (drawn by R. Rubio)
3:31.0,,,70-70,1,R. Rubio makes free throw 1 of 2
3:31.0,,,70-70,,R. Rubio misses free throw 2 of 2
3:31.0,Defensive rebound by N. Batum,,70-70,,
3:18.0,,,70-70,,Personal foul by N. Bjelica (drawn by N. Batum)
3:13.0,Shooting foul by N. Bjelica (drawn by N. Batum),,70-70,,
3:13.0,N. Batum makes free throw 1 of 3,1,71-70,,
3:13.0,N. Batum misses free throw 2 of 3,,71-70,,
3:13.0,Offensive rebound by Team,,71-70,,
3:13.0,N. Batum makes free throw 3 of 3,1,72-70,,
3:02.0,,,72-72,2,K. Towns makes 2-pt shot from 17 ft (assist by R. Rubio)
2:43.0,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker),3,75-72,,
2:22.0,,,75-72,,N. Bjelica misses 3-pt shot from 23 ft
2:21.0,Defensive rebound by N. Batum,,75-72,,
2:10.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by N. Batum),3,78-72,,
1:51.0,,,78-72,,K. Towns misses 2-pt shot from 3 ft
1:49.0,Defensive rebound by F. Kaminsky,,78-72,,
1:36.0,F. Kaminsky makes 2-pt shot from 14 ft (assist by M. Belinelli),2,80-72,,
1:22.0,,,80-72,,K. Towns misses 2-pt shot from 2 ft (block by C. Zeller)
1:20.0,Defensive rebound by N. Batum,,80-72,,
1:17.0,K. Walker makes 2-pt shot from 2 ft (assist by N. Batum),2,82-72,,
1:01.0,,,82-72,,Shooting foul by N. Batum (drawn by A. Wiggins)
1:01.0,,,82-72,,A. Wiggins misses free throw 1 of 2
1:01.0,,,82-72,,Offensive rebound by Team
1:01.0,,,82-73,1,A. Wiggins makes free throw 2 of 2
1:01.0,R. Sessions enters the game for K. Walker,,82-72,,
1:01.0,R. Hibbert enters the game for C. Zeller,,82-72,,
