time,Utah,pts.away,score,pts.home,Oklahoma City
3:13.0,,,95-96,,E. Kanter enters the game for S. Adams
3:02.0,,,95-96,,Turnover by R. Westbrook (lost ball)
2:47.0,R. Hood makes 2-pt shot from 12 ft,2,97-96,,
2:33.0,,,97-96,,E. Kanter misses 2-pt shot from 2 ft (block by R. Gobert)
2:32.0,Defensive rebound by R. Gobert,,97-96,,
2:13.0,Shooting foul by A. Abrines (drawn by G. Hill),,97-96,,
2:13.0,G. Hill makes free throw 1 of 2,1,98-96,,
2:13.0,G. Hill makes free throw 2 of 2,1,99-96,,
2:13.0,,,98-96,,S. Adams enters the game for T. Gibson
2:05.0,,,99-98,2,R. Westbrook makes 2-pt shot from 14 ft
1:42.0,Shooting foul by A. Abrines (drawn by R. Hood),,99-98,,
1:42.0,R. Hood makes free throw 1 of 3,1,100-98,,
1:42.0,R. Hood makes free throw 2 of 3,1,101-98,,
1:42.0,R. Hood makes free throw 3 of 3,1,102-98,,
1:39.0,Violation by G. Hill (kicked ball),,102-98,,
1:33.0,,,102-100,2,R. Westbrook makes 2-pt shot from 1 ft
1:18.0,R. Gobert makes 2-pt shot from 1 ft (assist by G. Hill),2,104-100,,
1:10.0,,,104-100,,Shooting foul by G. Hill (drawn by R. Westbrook)
1:10.0,,,104-101,1,R. Westbrook makes free throw 1 of 2
1:10.0,,,104-102,1,R. Westbrook makes free throw 2 of 2
1:10.0,,,104-101,,J. Grant enters the game for A. Abrines
1:10.0,,,104-101,,T. Gibson enters the game for E. Kanter
0:48.0,J. Johnson makes 2-pt shot from 15 ft,2,106-102,,
0:38.0,,,106-105,3,R. Westbrook makes 3-pt shot from 24 ft
0:21.0,G. Hayward misses 3-pt shot from 23 ft,,106-105,,
0:20.0,,,106-105,,Defensive rebound by R. Westbrook
