time,Indiana,pts.away,score,pts.home,Denver
3:18.0,,,67-100,,E. Mudiay misses 3-pt shot from 25 ft
3:17.0,Defensive rebound by K. Seraphin,,67-100,,
3:12.0,,,67-100,,Personal foul by E. Mudiay (drawn by J. Teague)
3:12.0,A. Brooks enters the game for J. Teague,,67-100,,
3:11.0,C. Miles enters the game for T. Young,,67-100,,
3:01.0,A. Brooks makes 2-pt shot from 3 ft (assist by C. Miles),2,69-100,,
3:01.0,,,69-100,,Denver full timeout
3:01.0,,,69-100,,W. Barton enters the game for W. Chandler
3:01.0,,,69-100,,K. Faried enters the game for G. Harris
3:01.0,,,69-100,,J. Nelson enters the game for E. Mudiay
2:48.0,,,69-102,2,D. Gallinari makes 2-pt shot at rim (assist by N. Jokic)
2:35.0,C. Miles makes 3-pt shot from 25 ft (assist by M. Ellis),3,72-102,,
2:20.0,,,72-102,,D. Gallinari misses 2-pt shot from 2 ft
2:18.0,,,72-102,,Offensive rebound by K. Faried
2:18.0,,,72-104,2,K. Faried makes 2-pt shot at rim
2:00.0,M. Ellis makes 2-pt shot from 1 ft (assist by P. George),2,74-104,,
1:44.0,,,74-104,,N. Jokic misses 2-pt shot from 7 ft (block by K. Seraphin)
1:43.0,Defensive rebound by C. Miles,,74-104,,
1:38.0,Turnover by K. Seraphin (step out of bounds),,74-104,,
1:24.0,,,74-104,,Denver full timeout
1:24.0,,,74-104,,W. Chandler enters the game for N. Jokic
1:17.0,,,74-104,,Turnover by J. Nelson (bad pass)
1:04.0,C. Miles misses 3-pt shot from 25 ft,,74-104,,
1:04.0,,,74-104,,Defensive rebound by K. Faried
0:48.0,,,74-104,,W. Barton misses 2-pt shot from 19 ft
0:48.0,,,74-104,,Offensive rebound by W. Barton
0:43.0,,,74-104,,Shooting foul by C. Miles (drawn by W. Chandler)
0:43.0,,,74-105,1,W. Chandler makes free throw 1 of 2
0:43.0,,,74-106,1,W. Chandler makes free throw 2 of 2
0:33.0,K. Seraphin makes 2-pt shot from 16 ft (assist by A. Brooks),2,76-106,,
0:20.0,,,76-106,,Offensive charge foul by W. Chandler
0:20.0,,,76-106,,Turnover by W. Chandler (offensive foul)
0:06.0,,,76-106,,Personal take foul by D. Gallinari (drawn by P. George)
0:01.0,P. George misses 3-pt shot from 26 ft,,76-106,,
0:00.0,,,76-106,,Defensive rebound by W. Barton
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,76-106,,Turnover by K. Faried (lost ball)
11:37.0,M. Turner misses 2-pt shot from 2 ft,,76-106,,
11:37.0,,,76-106,,Defensive rebound by G. Harris
11:29.0,,,76-106,,W. Chandler misses 3-pt shot from 22 ft
11:28.0,Defensive rebound by C. Miles,,76-106,,
11:22.0,C. Miles makes 3-pt shot from 24 ft (assist by A. Brooks),3,79-106,,
11:07.0,,,79-106,,G. Harris misses 2-pt shot from 4 ft (block by M. Turner)
11:06.0,,,79-106,,Offensive rebound by Team
10:55.0,,,79-106,,Shooting foul by M. Turner (drawn by K. Faried)
10:55.0,,,79-107,1,K. Faried makes free throw 1 of 2
10:55.0,,,79-108,1,K. Faried makes free throw 2 of 2
10:42.0,M. Turner misses 2-pt shot from 14 ft,,79-108,,
10:41.0,,,79-108,,Defensive rebound by K. Faried
10:24.0,,,79-108,,J. Nelson misses 3-pt shot from 22 ft
10:23.0,,,79-108,,Offensive rebound by K. Faried
10:05.0,,,79-110,2,K. Faried makes 2-pt shot from 2 ft (assist by W. Barton)
9:49.0,C. Miles misses 2-pt shot from 11 ft,,79-110,,
9:49.0,,,79-110,,Defensive rebound by K. Faried
9:39.0,,,79-110,,W. Barton misses 3-pt shot from 26 ft
9:37.0,Defensive rebound by P. George,,79-110,,
9:34.0,,,79-110,,Shooting block foul by J. Nelson (drawn by P. George)
9:34.0,P. George makes free throw 1 of 2,1,80-110,,
9:34.0,P. George makes free throw 2 of 2,1,81-110,,
9:25.0,,,81-113,3,W. Chandler makes 3-pt shot from 26 ft (assist by J. Nelson)
9:12.0,M. Turner misses 2-pt shot from 21 ft,,81-113,,
9:11.0,,,81-113,,Defensive rebound by W. Barton
8:55.0,,,81-115,2,K. Faried makes 2-pt shot at rim (assist by J. Nelson)
8:55.0,Indiana full timeout,,81-115,,
8:55.0,K. Seraphin enters the game for P. George,,81-115,,
