time,Milwaukee,pts.away,score,pts.home,Phoenix
5:59.0,G. Monroe makes 2-pt shot from 1 ft,2,87-74,,
5:37.0,,,87-76,2,T. Warren makes 2-pt shot from 1 ft
5:11.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by J. Parker),3,90-76,,
5:02.0,,,90-76,,Turnover by D. Booker (lost ball; steal by G. Monroe)
5:02.0,,,90-76,,Personal take foul by P. Tucker (drawn by G. Antetokounmpo)
4:45.0,Turnover by G. Antetokounmpo (bad pass; steal by P. Tucker),,90-76,,
4:40.0,,,90-76,,Turnover by E. Bledsoe (bad pass; steal by M. Dellavedova)
4:35.0,J. Parker makes 2-pt shot at rim (assist by M. Dellavedova),2,92-76,,
4:34.0,,,92-76,,Phoenix full timeout
4:18.0,,,92-76,,M. Chriss misses 2-pt shot from 2 ft
4:16.0,Defensive rebound by G. Antetokounmpo,,92-76,,
4:04.0,Turnover by J. Parker (bad pass; steal by P. Tucker),,92-76,,
3:57.0,,,92-76,,D. Booker misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
3:57.0,,,92-76,,Offensive rebound by Team
3:48.0,,,92-76,,Shooting foul by G. Antetokounmpo (drawn by M. Chriss)
3:48.0,,,92-77,1,M. Chriss makes free throw 1 of 2
3:48.0,,,92-78,1,M. Chriss makes free throw 2 of 2
3:48.0,M. Teletovic enters the game for G. Antetokounmpo,,92-77,,
3:38.0,M. Dellavedova makes 2-pt shot from 2 ft,2,94-78,,
3:15.0,,,94-81,3,M. Chriss makes 3-pt shot from 24 ft (assist by E. Bledsoe)
2:55.0,G. Monroe makes 2-pt shot from 3 ft,2,96-81,,
2:44.0,,,96-81,,M. Chriss misses 3-pt shot from 26 ft
2:44.0,Defensive rebound by G. Monroe,,96-81,,
2:37.0,M. Teletovic misses 3-pt shot from 26 ft,,96-81,,
2:36.0,,,96-81,,Defensive rebound by Team
2:36.0,Personal block foul by M. Dellavedova (drawn by D. Booker),,96-81,,
2:36.0,,,96-82,1,D. Booker makes free throw 1 of 2
2:36.0,,,96-83,1,D. Booker makes free throw 2 of 2
2:36.0,,,96-82,,L. Barbosa enters the game for E. Bledsoe
2:36.0,J. Terry enters the game for T. Snell,,96-82,,
2:36.0,M. Brogdon enters the game for M. Dellavedova,,96-82,,
2:17.0,J. Terry misses 3-pt shot from 26 ft,,96-83,,
2:17.0,,,96-83,,Defensive rebound by Team
2:00.0,,,96-83,,Turnover by D. Booker (offensive foul)
2:00.0,,,96-83,,Offensive charge foul by D. Booker
1:43.0,G. Monroe makes 2-pt shot from 4 ft (assist by M. Brogdon),2,98-83,,
1:43.0,Shooting foul by P. Tucker (drawn by G. Monroe),,98-83,,
1:43.0,G. Monroe makes free throw 1 of 1,1,99-83,,
1:23.0,,,99-83,,T. Warren misses 2-pt shot from 16 ft
1:23.0,,,99-83,,Offensive rebound by M. Chriss
