time,Charlotte,pts.away,score,pts.home,Washington
4:59.0,,,91-103,,Offensive rebound by K. Oubre
4:45.0,,,91-103,,J. Smith misses 3-pt shot from 23 ft
4:44.0,,,91-103,,Offensive rebound by I. Mahinmi
4:42.0,,,91-103,,Shooting foul by F. Kaminsky (drawn by I. Mahinmi)
4:42.0,,,91-103,,I. Mahinmi misses free throw 1 of 2
4:42.0,,,91-103,,Offensive rebound by Team
4:42.0,,,91-104,1,I. Mahinmi makes free throw 2 of 2
4:33.0,K. Walker makes 3-pt shot from 28 ft,3,94-104,,
4:18.0,,,94-104,,Turnover by J. Wall (bad pass)
4:05.0,K. Walker makes 3-pt shot from 28 ft (assist by N. Batum),3,97-104,,
3:50.0,,,97-104,,Offensive foul by J. Wall
3:50.0,,,97-104,,Turnover by J. Wall (offensive foul)
3:34.0,,,97-104,,Personal foul by I. Mahinmi (drawn by K. Walker)
3:34.0,K. Walker misses free throw 1 of 2,,97-104,,
3:34.0,Offensive rebound by Team,,97-104,,
3:34.0,K. Walker makes free throw 2 of 2,1,98-104,,
3:15.0,,,98-104,,Turnover by B. Beal (bad pass; steal by M. Belinelli)
3:00.0,K. Walker misses 2-pt shot from 1 ft,,98-104,,
2:59.0,Offensive rebound by C. Zeller,,98-104,,
2:54.0,N. Batum misses 3-pt shot from 26 ft,,98-104,,
2:53.0,,,98-104,,Defensive rebound by J. Smith
2:43.0,,,98-106,2,J. Wall makes 2-pt shot at rim
2:26.0,K. Walker misses 3-pt shot from 27 ft,,98-106,,
2:25.0,,,98-106,,Defensive rebound by B. Beal
2:14.0,,,98-106,,J. Wall misses 2-pt shot from 13 ft
2:13.0,Defensive rebound by M. Belinelli,,98-106,,
2:06.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by N. Batum),3,101-106,,
2:05.0,,,101-106,,Washington full timeout
2:05.0,,,101-106,,O. Porter enters the game for J. Smith
1:42.0,,,101-108,2,B. Beal makes 2-pt shot from 22 ft
1:31.0,F. Kaminsky makes 3-pt shot from 23 ft (assist by N. Batum),3,104-108,,
1:09.0,,,104-111,3,K. Oubre makes 3-pt shot from 26 ft (assist by J. Wall)
0:59.0,Shooting foul by K. Oubre (drawn by K. Walker),,104-111,,
