time,Sacramento,pts.away,score,pts.home,Boston
2:18.0,D. Cousins misses 2-pt shot from 18 ft,,44-43,,
2:17.0,Offensive rebound by T. Lawson,,44-43,,
2:13.0,R. Gay misses 3-pt shot from 26 ft,,44-43,,
2:12.0,,,44-43,,Defensive rebound by K. Olynyk
2:00.0,,,44-45,2,I. Thomas makes 2-pt shot from 2 ft
1:47.0,Offensive charge foul by R. Gay,,44-45,,
1:47.0,Turnover by R. Gay (offensive foul),,44-45,,
1:34.0,,,44-45,,J. Crowder misses 3-pt shot from 26 ft
1:33.0,Defensive rebound by Team,,44-45,,
1:33.0,,,44-45,,Personal foul by K. Olynyk (drawn by R. Gay)
1:20.0,D. Collison makes 2-pt shot from 1 ft,2,46-45,,
1:03.0,,,46-45,,I. Thomas misses 2-pt shot from 5 ft (block by D. Cousins)
1:01.0,,,46-45,,Offensive rebound by A. Horford
1:00.0,,,46-45,,I. Thomas misses 3-pt shot from 23 ft
0:59.0,,,46-45,,Offensive rebound by I. Thomas
0:55.0,,,46-45,,I. Thomas misses 2-pt shot from 16 ft
0:55.0,Defensive rebound by R. Gay,,46-45,,
0:52.0,Offensive charge foul by R. Gay,,46-45,,
0:52.0,Turnover by R. Gay (offensive foul),,46-45,,
0:52.0,M. Barnes enters the game for R. Gay,,46-45,,
0:42.0,,,46-45,,Offensive charge foul by M. Smart
0:42.0,,,46-45,,Turnover by M. Smart (offensive foul)
0:29.0,Turnover by D. Cousins (bad pass; steal by A. Horford),,46-45,,
0:26.0,,,46-45,,I. Thomas misses 2-pt shot from 3 ft
0:25.0,,,46-45,,Offensive rebound by A. Horford
0:25.0,,,46-47,2,A. Horford makes 2-pt shot from 2 ft
0:02.0,D. Cousins misses 3-pt shot from 24 ft,,46-47,,
0:01.0,Offensive rebound by T. Lawson,,46-47,,
0:00.0,D. Collison misses 2-pt shot from 7 ft,,46-47,,
0:00.0,Offensive rebound by Team,,46-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,46-47,,Turnover by J. Crowder (bad pass; steal by D. Collison)
11:37.0,Shooting foul by J. Crowder (drawn by D. Collison),,46-47,,
11:37.0,D. Collison makes free throw 1 of 2,1,47-47,,
11:37.0,D. Collison makes free throw 2 of 2,1,48-47,,
11:17.0,,,48-47,,I. Thomas misses 2-pt shot from 2 ft
11:16.0,Defensive rebound by K. Koufos,,48-47,,
10:58.0,D. Cousins makes 2-pt shot from 22 ft (assist by A. Afflalo),2,50-47,,
10:43.0,,,50-47,,J. Crowder misses 2-pt shot from 1 ft
10:42.0,Defensive rebound by R. Gay,,50-47,,
10:39.0,Turnover by D. Collison (bad pass; steal by A. Johnson),,50-47,,
