time,Memphis,pts.away,score,pts.home,Philadelphia
9:54.0,,,46-53,,E. Ilyasova misses 3-pt shot from 27 ft
9:52.0,Defensive rebound by T. Daniels,,46-53,,
9:39.0,M. Conley misses 2-pt shot from 16 ft,,46-53,,
9:37.0,,,46-53,,Defensive rebound by J. Embiid
9:31.0,,,46-53,,J. Embiid misses 3-pt shot from 26 ft
9:27.0,Defensive rebound by T. Daniels,,46-53,,
9:16.0,Turnover by M. Gasol (palming),,46-53,,
9:00.0,,,46-53,,H. Thompson misses 2-pt shot from 3 ft
8:59.0,,,46-53,,Offensive rebound by Team
8:59.0,Loose ball foul by M. Gasol (drawn by J. Embiid),,46-53,,
8:48.0,,,46-53,,Shooting foul by M. Gasol (drawn by J. Embiid)
8:48.0,,,46-54,1,J. Embiid makes free throw 1 of 2
8:48.0,,,46-55,1,J. Embiid makes free throw 2 of 2
8:33.0,T. Daniels misses 3-pt shot from 26 ft,,46-55,,
8:31.0,,,46-55,,Defensive rebound by J. Embiid
8:15.0,,,46-55,,Offensive foul by J. Embiid
8:15.0,,,46-55,,Turnover by J. Embiid (offensive foul)
8:15.0,,,46-55,,J. Okafor enters the game for J. Embiid
8:01.0,T. Allen misses 2-pt shot from 1 ft,,46-55,,
7:59.0,,,46-55,,Defensive rebound by E. Ilyasova
7:51.0,,,46-57,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by S. Rodriguez)
7:34.0,T. Allen makes 2-pt shot at rim (assist by M. Conley),2,48-57,,
7:18.0,Personal foul by J. Green (drawn by E. Ilyasova),,48-57,,
7:18.0,,,48-57,,N. Stauskas enters the game for H. Thompson
7:11.0,,,48-57,,S. Rodriguez misses 2-pt shot from 18 ft
7:09.0,Defensive rebound by J. Green,,48-57,,
6:59.0,Turnover by M. Conley (bad pass; steal by R. Covington),,48-57,,
6:49.0,,,48-59,2,E. Ilyasova makes 2-pt shot from 11 ft (assist by R. Covington)
6:48.0,Memphis full timeout,,48-59,,
6:48.0,V. Carter enters the game for T. Daniels,,48-59,,
6:38.0,V. Carter misses 2-pt shot from 15 ft,,48-59,,
6:36.0,,,48-59,,Defensive rebound by R. Covington
6:18.0,,,48-59,,R. Covington misses 3-pt shot from 25 ft
6:17.0,Defensive rebound by T. Allen,,48-59,,
