time,Portland,pts.away,score,pts.home,Oklahoma City
4:09.0,D. Lillard makes free throw 2 of 2,1,64-63,,
3:58.0,,,64-63,,R. Westbrook misses 2-pt shot from 1 ft (block by M. Plumlee)
3:58.0,,,64-63,,Offensive rebound by Team
3:58.0,M. Harkless enters the game for N. Vonleh,,64-63,,
3:58.0,A. Aminu enters the game for E. Turner,,64-63,,
3:52.0,,,64-65,2,A. Roberson makes 2-pt shot at rim
3:36.0,Shooting foul by R. Westbrook (drawn by M. Plumlee),,64-65,,
3:36.0,M. Plumlee makes free throw 1 of 2,1,65-65,,
3:36.0,M. Plumlee makes free throw 2 of 2,1,66-65,,
3:25.0,,,66-67,2,A. Morrow makes 2-pt shot from 11 ft (assist by R. Westbrook)
3:11.0,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Lillard),2,68-67,,
3:11.0,Shooting foul by J. Lauvergne (drawn by M. Plumlee),,68-67,,
3:11.0,M. Plumlee makes free throw 1 of 1,1,69-67,,
3:02.0,,,69-69,2,R. Westbrook makes 2-pt shot from 10 ft
2:40.0,M. Plumlee misses 2-pt shot from 2 ft,,69-69,,
2:39.0,,,69-69,,Defensive rebound by J. Lauvergne
2:31.0,,,69-69,,R. Westbrook misses 2-pt shot from 17 ft
2:30.0,,,69-69,,Offensive rebound by Team
2:30.0,Portland full timeout,,69-69,,
2:30.0,C. McCollum enters the game for M. Plumlee,,69-69,,
2:30.0,M. Leonard enters the game for D. Lillard,,69-69,,
2:30.0,,,69-69,,C. Payne enters the game for A. Roberson
2:30.0,,,69-69,,V. Oladipo enters the game for R. Westbrook
2:20.0,,,69-69,,V. Oladipo misses 2-pt shot from 21 ft
2:18.0,,,69-69,,Offensive rebound by J. Lauvergne
2:11.0,,,69-69,,A. Morrow misses 2-pt shot from 1 ft
2:10.0,,,69-69,,Offensive rebound by S. Adams
2:10.0,,,69-69,,S. Adams misses 2-pt shot from 2 ft
2:09.0,Defensive rebound by A. Aminu,,69-69,,
2:02.0,A. Aminu misses 2-pt shot from 1 ft,,69-69,,
2:01.0,,,69-69,,Defensive rebound by V. Oladipo
1:54.0,Personal foul by M. Leonard (drawn by J. Lauvergne),,69-69,,
1:41.0,,,69-71,2,S. Adams makes 2-pt shot from 6 ft (assist by V. Oladipo)
1:23.0,A. Aminu misses 3-pt shot from 25 ft,,69-71,,
1:23.0,,,69-71,,Defensive rebound by V. Oladipo
1:00.0,,,69-71,,Turnover by V. Oladipo (bad pass; steal by A. Aminu)
0:55.0,A. Aminu misses 2-pt shot from 6 ft,,69-71,,
0:54.0,Offensive rebound by A. Aminu,,69-71,,
0:54.0,A. Aminu misses 2-pt shot at rim,,69-71,,
0:53.0,Offensive rebound by A. Aminu,,69-71,,
0:53.0,Shooting foul by V. Oladipo (drawn by A. Aminu),,69-71,,
0:53.0,A. Aminu makes free throw 1 of 2,1,70-71,,
0:53.0,A. Aminu makes free throw 2 of 2,1,71-71,,
0:29.0,,,71-71,,Turnover by V. Oladipo (bad pass; steal by M. Harkless)
0:24.0,C. McCollum misses 3-pt shot from 25 ft,,71-71,,
0:23.0,,,71-71,,Defensive rebound by J. Lauvergne
0:04.0,,,71-71,,Turnover by V. Oladipo (bad pass; steal by A. Aminu)
0:01.0,M. Harkless makes 2-pt shot at rim (assist by C. McCollum),2,73-71,,
0:00.0,,,73-71,,C. Payne misses 3-pt shot from 54 ft
0:00.0,,,73-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,73-73,2,V. Oladipo makes 2-pt shot from 4 ft
11:20.0,Turnover by C. McCollum (lost ball; steal by S. Adams),,73-73,,
11:16.0,,,73-73,,V. Oladipo misses 2-pt shot from 2 ft
11:14.0,,,73-73,,Offensive rebound by J. Lauvergne
11:11.0,,,73-75,2,J. Lauvergne makes 2-pt shot from 1 ft
10:51.0,M. Harkless misses 2-pt shot from 2 ft,,73-75,,
10:49.0,Offensive rebound by M. Harkless,,73-75,,
10:48.0,M. Harkless makes 2-pt shot from 1 ft,2,75-75,,
10:34.0,Personal foul by A. Crabbe (drawn by A. Morrow),,75-75,,
10:34.0,,,75-75,,D. Sabonis enters the game for S. Adams
10:27.0,,,75-77,2,V. Oladipo makes 2-pt shot from 23 ft
10:08.0,A. Crabbe misses 3-pt shot from 24 ft,,75-77,,
10:08.0,,,75-77,,Defensive rebound by J. Lauvergne
10:00.0,,,75-80,3,V. Oladipo makes 3-pt shot from 26 ft
9:40.0,C. McCollum makes 2-pt shot from 2 ft,2,77-80,,
9:24.0,,,77-83,3,J. Lauvergne makes 3-pt shot from 25 ft (assist by V. Oladipo)
9:12.0,,,77-83,,Personal foul by J. Lauvergne (drawn by A. Aminu)
9:12.0,,,77-83,,R. Westbrook enters the game for A. Morrow
9:00.0,A. Aminu misses 2-pt shot from 4 ft,,77-83,,
9:00.0,,,77-83,,Defensive rebound by V. Oladipo
8:53.0,,,77-83,,Turnover by V. Oladipo (lost ball)
8:53.0,Official timeout,,77-83,,
8:53.0,D. Lillard enters the game for C. McCollum,,77-83,,
8:53.0,M. Plumlee enters the game for M. Leonard,,77-83,,
8:53.0,,,77-83,,A. Roberson enters the game for V. Oladipo
8:37.0,,,77-83,,Personal foul by J. Lauvergne (drawn by M. Plumlee)
8:32.0,D. Lillard misses 2-pt shot from 15 ft,,77-83,,
8:31.0,,,77-83,,Defensive rebound by Team
8:31.0,Loose ball foul by M. Plumlee (drawn by C. Payne),,77-83,,
8:31.0,,,77-83,,S. Adams enters the game for J. Lauvergne
8:20.0,,,77-83,,C. Payne misses 2-pt shot from 14 ft (block by D. Lillard)
8:19.0,Defensive rebound by A. Aminu,,77-83,,
8:07.0,D. Lillard makes 2-pt shot from 5 ft,2,79-83,,
7:53.0,,,79-83,,Turnover by R. Westbrook (bad pass; steal by D. Lillard)
7:42.0,D. Lillard makes 3-pt shot from 26 ft (assist by A. Crabbe),3,82-83,,
7:28.0,,,82-85,2,R. Westbrook makes 2-pt shot from 16 ft
7:15.0,,,82-85,,Personal foul by A. Roberson (drawn by D. Lillard)
7:15.0,,,82-85,,V. Oladipo enters the game for C. Payne
7:02.0,D. Lillard makes 2-pt shot from 14 ft,2,84-85,,
6:49.0,,,84-85,,Turnover by R. Westbrook (bad pass)
6:33.0,,,84-85,,Shooting block foul by R. Westbrook (drawn by M. Plumlee)
6:33.0,M. Plumlee misses free throw 1 of 2,,84-85,,
6:33.0,Offensive rebound by Team,,84-85,,
