time,New York,pts.away,score,pts.home,LA Lakers
7:02.0,B. Jennings makes 3-pt shot from 27 ft,3,94-89,,
6:51.0,,,94-89,,Turnover by L. Williams (bad pass; steal by C. Anthony)
6:46.0,C. Lee makes 2-pt shot from 2 ft (assist by B. Jennings),2,96-89,,
6:46.0,Shooting foul by B. Ingram (drawn by C. Lee),,96-89,,
6:46.0,,,96-89,,LA Lakers full timeout
6:46.0,C. Lee makes free throw 1 of 1,1,97-89,,
6:46.0,,,96-89,,N. Young enters the game for J. Clarkson
6:35.0,,,97-89,,Turnover by L. Williams (bad pass; steal by C. Anthony)
6:22.0,Turnover by J. Holiday (bad pass; steal by L. Deng),,97-89,,
5:59.0,,,97-89,,L. Deng misses 2-pt shot from 6 ft
5:58.0,Defensive rebound by C. Anthony,,97-89,,
5:42.0,B. Jennings misses 2-pt shot from 19 ft,,97-89,,
5:41.0,,,97-89,,Defensive rebound by L. Deng
5:38.0,,,97-89,,B. Ingram misses 3-pt shot from 26 ft
5:35.0,Defensive rebound by C. Anthony,,97-89,,
5:25.0,Shooting foul by B. Ingram (drawn by K. Porzingis),,97-89,,
5:25.0,K. Porzingis makes free throw 1 of 2,1,98-89,,
5:25.0,K. Porzingis makes free throw 2 of 2,1,99-89,,
5:25.0,,,98-89,,J. Randle enters the game for L. Nance
5:04.0,,,99-92,3,L. Deng makes 3-pt shot from 25 ft (assist by L. Williams)
4:47.0,K. Porzingis makes 3-pt shot from 24 ft (assist by B. Jennings),3,102-92,,
4:28.0,,,102-95,3,N. Young makes 3-pt shot from 25 ft (assist by J. Randle)
4:11.0,B. Jennings misses 2-pt shot from 3 ft,,102-95,,
4:07.0,,,102-95,,Defensive rebound by B. Ingram
4:04.0,,,102-97,2,L. Deng makes 2-pt shot from 1 ft (assist by B. Ingram)
4:04.0,,,102-97,,Shooting foul by J. Holiday (drawn by L. Deng)
4:04.0,,,102-98,1,L. Deng makes free throw 1 of 1
4:04.0,D. Rose enters the game for J. Holiday,,102-97,,
4:04.0,,,102-97,,J. Clarkson enters the game for L. Williams
3:41.0,Shooting foul by B. Ingram (drawn by C. Anthony),,102-98,,
3:41.0,C. Anthony makes free throw 1 of 2,1,103-98,,
3:41.0,C. Anthony makes free throw 2 of 2,1,104-98,,
3:28.0,,,104-98,,N. Young misses 3-pt shot from 26 ft
3:26.0,Defensive rebound by K. Porzingis,,104-98,,
3:13.0,,,104-98,,Personal foul by N. Young (drawn by B. Jennings)
3:13.0,B. Jennings makes free throw 1 of 2,1,105-98,,
3:13.0,B. Jennings makes free throw 2 of 2,1,106-98,,
2:59.0,,,106-98,,J. Clarkson misses 2-pt shot from 11 ft
2:58.0,Defensive rebound by B. Jennings,,106-98,,
2:52.0,C. Anthony misses 3-pt shot from 26 ft,,106-98,,
2:49.0,,,106-98,,Defensive rebound by B. Ingram
2:38.0,,,106-98,,B. Ingram misses 2-pt shot from 3 ft (block by K. Porzingis)
2:36.0,,,106-98,,Offensive rebound by J. Randle
2:35.0,,,106-100,2,J. Randle makes 2-pt shot from 2 ft
2:35.0,,,106-100,,Shooting foul by K. Porzingis (drawn by J. Randle)
2:35.0,New York full timeout,,106-100,,
2:35.0,,,106-101,1,J. Randle makes free throw 1 of 1
2:35.0,,,106-100,,L. Williams enters the game for N. Young
2:15.0,C. Anthony makes 2-pt shot from 13 ft,2,108-101,,
2:03.0,,,108-101,,L. Deng misses 3-pt shot from 27 ft
2:02.0,Defensive rebound by D. Rose,,108-101,,
1:45.0,B. Jennings makes 3-pt shot from 24 ft,3,111-101,,
