time,Washington,pts.away,score,pts.home,Miami
4:33.0,,,63-75,,T. Johnson enters the game for H. Whiteside
4:33.0,,,63-75,,W. Reed enters the game for G. Dragic
4:32.0,Personal foul by B. Jennings (drawn by J. Richardson),,63-75,,
4:24.0,,,63-75,,Turnover by T. Johnson (lost ball)
4:15.0,,,63-75,,Personal foul by J. Johnson (drawn by K. Oubre)
4:15.0,,,63-75,,W. Ellington enters the game for R. McGruder
4:06.0,B. Jennings misses 3-pt shot from 24 ft,,63-75,,
4:05.0,,,63-75,,Defensive rebound by W. Ellington
4:00.0,,,63-77,2,J. Richardson makes 2-pt shot at rim (assist by T. Johnson)
3:43.0,T. Burke makes 2-pt shot from 16 ft,2,65-77,,
3:25.0,,,65-77,,J. Richardson misses 3-pt shot from 24 ft
3:24.0,Defensive rebound by S. Mac,,65-77,,
3:17.0,K. Oubre makes 2-pt shot at rim (assist by B. Jennings),2,67-77,,
2:55.0,,,67-77,,Turnover by T. Johnson (bad pass; steal by K. Oubre)
2:52.0,K. Oubre makes 2-pt shot at rim,2,69-77,,
2:35.0,,,69-79,2,W. Reed makes 2-pt shot at rim (assist by J. Johnson)
2:18.0,K. Oubre misses 2-pt shot from 18 ft,,69-79,,
2:17.0,,,69-79,,Defensive rebound by W. Ellington
2:06.0,,,69-81,2,W. Reed makes 2-pt shot from 3 ft (assist by J. Richardson)
1:52.0,B. Jennings misses 2-pt shot from 1 ft,,69-81,,
1:51.0,Offensive rebound by D. Ochefu,,69-81,,
1:49.0,D. Ochefu makes 2-pt shot from 3 ft,2,71-81,,
1:26.0,,,71-83,2,W. Reed makes 2-pt shot at rim
1:15.0,D. Ochefu misses 2-pt shot at rim,,71-83,,
1:14.0,,,71-83,,Defensive rebound by W. Ellington
1:05.0,,,71-85,2,W. Reed makes 2-pt shot at rim (assist by J. Johnson)
1:04.0,Washington full timeout,,71-85,,
1:04.0,T. Satoransky enters the game for K. Oubre,,71-85,,
1:04.0,B. Bogdanovic enters the game for B. Jennings,,71-85,,
1:04.0,,,71-85,,G. Dragic enters the game for J. Johnson
1:04.0,,,71-85,,O. White enters the game for J. Richardson
1:04.0,,,71-85,,R. McGruder enters the game for T. Johnson
0:47.0,T. Burke makes 2-pt shot from 17 ft,2,73-85,,
0:34.0,,,73-88,3,W. Ellington makes 3-pt shot from 24 ft (assist by G. Dragic)
0:23.0,S. Mac makes 2-pt shot at rim,2,75-88,,
0:06.0,Personal foul by T. Satoransky (drawn by G. Dragic),,75-88,,
0:06.0,,,75-89,1,G. Dragic makes free throw 1 of 3
0:06.0,,,75-90,1,G. Dragic makes free throw 2 of 3
0:06.0,,,75-91,1,G. Dragic makes free throw 3 of 3
0:02.0,,,75-91,,Shooting block foul by W. Reed (drawn by S. Mac)
0:02.0,S. Mac makes free throw 1 of 2,1,76-91,,
0:02.0,S. Mac makes free throw 2 of 2,1,77-91,,
0:00.0,,,77-91,,R. McGruder misses 3-pt shot from 48 ft
0:00.0,,,77-91,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Turnover by T. Burke (bad pass),,77-91,,
11:38.0,,,77-91,,Offensive foul by W. Reed
11:38.0,,,77-91,,Turnover by W. Reed (offensive foul)
11:10.0,Turnover by Team (shot clock),,77-91,,
10:54.0,,,77-93,2,G. Dragic makes 2-pt shot from 1 ft
10:43.0,T. Burke makes 2-pt shot from 17 ft,2,79-93,,
10:19.0,,,79-93,,W. Reed misses 2-pt shot from 5 ft
10:18.0,,,79-93,,Offensive rebound by R. McGruder
10:12.0,Violation by B. Bogdanovic (kicked ball),,79-93,,
9:56.0,,,79-95,2,G. Dragic makes 2-pt shot from 5 ft
9:42.0,B. Bogdanovic misses 3-pt shot from 24 ft,,79-95,,
9:41.0,Offensive rebound by D. Ochefu,,79-95,,
9:34.0,T. Burke makes 3-pt shot from 24 ft,3,82-95,,
9:13.0,,,82-95,,W. Ellington misses 3-pt shot from 24 ft
9:12.0,Defensive rebound by Team,,82-95,,
9:12.0,,,82-95,,J. Richardson enters the game for R. McGruder
9:02.0,B. Bogdanovic misses 2-pt shot from 11 ft,,82-95,,
9:01.0,,,82-95,,Defensive rebound by W. Reed
8:51.0,,,82-95,,Turnover by G. Dragic (bad pass; steal by D. Ochefu)
8:43.0,Turnover by S. Mac (lost ball; steal by O. White),,82-95,,
8:41.0,Official timeout,,82-95,,
8:19.0,,,82-95,,Turnover by Team (shot clock)
8:01.0,S. Mac misses 2-pt shot from 1 ft,,82-95,,
8:00.0,Offensive rebound by T. Satoransky,,82-95,,
7:54.0,D. Ochefu makes 2-pt shot from 1 ft (assist by T. Satoransky),2,84-95,,
7:28.0,,,84-95,,G. Dragic misses 3-pt shot from 24 ft
7:27.0,Defensive rebound by D. Ochefu,,84-95,,
7:23.0,,,84-95,,Personal foul by J. Richardson (drawn by S. Mac)
7:23.0,,,84-95,,J. Johnson enters the game for O. White
7:23.0,,,84-95,,H. Whiteside enters the game for W. Reed
7:15.0,S. Mac misses 3-pt shot from 23 ft,,84-95,,
7:14.0,,,84-95,,Defensive rebound by J. Johnson
7:01.0,,,84-98,3,W. Ellington makes 3-pt shot from 24 ft (assist by J. Johnson)
6:47.0,T. Burke makes 3-pt shot from 24 ft,3,87-98,,
6:33.0,,,87-100,2,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson)
6:33.0,,,87-100,,Shooting foul by B. Bogdanovic (drawn by H. Whiteside)
6:33.0,,,87-101,1,H. Whiteside makes free throw 1 of 1
6:33.0,C. McCullough enters the game for B. Bogdanovic,,87-100,,
6:08.0,S. Mac makes 2-pt shot from 14 ft,2,89-101,,
5:59.0,Personal foul by D. Ochefu (drawn by H. Whiteside),,89-101,,
5:59.0,,,89-101,,Miami full timeout
5:40.0,,,89-101,,J. Johnson misses 3-pt shot from 24 ft
5:39.0,Defensive rebound by T. Satoransky,,89-101,,
5:25.0,T. Satoransky misses 2-pt shot from 11 ft,,89-101,,
5:24.0,,,89-101,,Defensive rebound by H. Whiteside
5:08.0,,,89-101,,H. Whiteside misses 2-pt shot from 16 ft
5:07.0,Defensive rebound by C. McCullough,,89-101,,
5:01.0,T. Satoransky misses 3-pt shot from 24 ft,,89-101,,
5:00.0,,,89-101,,Defensive rebound by H. Whiteside
4:42.0,,,89-101,,G. Dragic misses 2-pt shot from 5 ft
4:41.0,,,89-101,,Offensive rebound by G. Dragic
4:40.0,,,89-103,2,G. Dragic makes 2-pt shot from 1 ft
4:21.0,T. Burke makes 3-pt shot from 24 ft,3,92-103,,
4:03.0,,,92-103,,G. Dragic misses 2-pt shot from 12 ft
4:02.0,Defensive rebound by T. Satoransky,,92-103,,
3:42.0,D. Ochefu makes 2-pt shot from 9 ft (assist by T. Satoransky),2,94-103,,
3:34.0,,,94-103,,Miami full timeout
3:34.0,K. Oubre enters the game for T. Satoransky,,94-103,,
3:23.0,,,94-106,3,G. Dragic makes 3-pt shot from 24 ft
3:09.0,D. Ochefu makes 2-pt shot at rim (assist by T. Burke),2,96-106,,
2:53.0,,,96-108,2,J. Richardson makes 2-pt shot from 9 ft
2:40.0,D. Ochefu misses 2-pt shot from 15 ft,,96-108,,
2:39.0,,,96-108,,Defensive rebound by J. Richardson
2:29.0,,,96-108,,Shooting foul by S. Mac (drawn by H. Whiteside)
2:29.0,Washington full timeout,,96-108,,
2:29.0,,,96-108,,H. Whiteside misses free throw 1 of 2
2:29.0,,,96-108,,Offensive rebound by Team
2:29.0,,,96-108,,H. Whiteside misses free throw 2 of 2
2:28.0,Defensive rebound by C. McCullough,,96-108,,
2:15.0,Turnover by T. Burke (bad pass),,96-108,,
2:03.0,,,96-108,,W. Ellington misses 3-pt shot from 24 ft
2:02.0,,,96-108,,Offensive rebound by H. Whiteside
2:01.0,,,96-110,2,H. Whiteside makes 2-pt shot at rim
1:49.0,Turnover by C. McCullough (offensive goaltending),,96-110,,
1:34.0,,,96-110,,Offensive foul by G. Dragic (drawn by S. Mac)
1:34.0,,,96-110,,Turnover by G. Dragic (offensive foul)
1:34.0,,,96-110,,Personal foul by G. Dragic (drawn by S. Mac)
1:27.0,C. McCullough misses 3-pt shot from 24 ft,,96-110,,
1:26.0,,,96-110,,Defensive rebound by J. Johnson
1:22.0,,,96-110,,Turnover by J. Johnson (bad pass; steal by C. McCullough)
1:06.0,Shooting foul by J. Johnson (drawn by S. Mac),,96-110,,
1:06.0,S. Mac makes free throw 1 of 2,1,97-110,,
1:06.0,S. Mac makes free throw 2 of 2,1,98-110,,
1:06.0,,,97-110,,U. Haslem enters the game for H. Whiteside
1:06.0,,,97-110,,R. McGruder enters the game for G. Dragic
0:46.0,,,98-110,,U. Haslem misses 3-pt shot from 24 ft
0:45.0,Defensive rebound by S. Mac,,98-110,,
0:41.0,,,98-110,,Shooting block foul by U. Haslem (drawn by S. Mac)
0:41.0,S. Mac makes free throw 1 of 2,1,99-110,,
0:41.0,S. Mac misses free throw 2 of 2,,99-110,,
0:40.0,,,99-110,,Defensive rebound by U. Haslem
0:19.0,,,99-110,,Turnover by J. Richardson (lost ball; steal by T. Burke)
0:11.0,T. Burke makes 3-pt shot from 25 ft (assist by D. Ochefu),3,102-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
