time,Golden State,pts.away,score,pts.home,New Orleans
3:37.0,S. Curry misses free throw 3 of 3,,78-74,,
3:37.0,,,76-74,,L. Galloway enters the game for T. Frazier
3:37.0,I. Clark enters the game for K. Thompson,,78-74,,
3:37.0,,,78-74,,L. Stephenson enters the game for D. Cunningham
3:36.0,,,78-74,,Defensive rebound by A. Davis
3:19.0,,,78-74,,Offensive foul by L. Stephenson
3:19.0,,,78-74,,Turnover by L. Stephenson (offensive foul)
3:12.0,S. Curry makes 2-pt shot from 2 ft (assist by A. Iguodala),2,80-74,,
3:12.0,Shooting foul by L. Galloway (drawn by S. Curry),,80-74,,
3:12.0,,,80-74,,New Orleans full timeout
3:12.0,S. Curry makes free throw 1 of 1,1,81-74,,
3:01.0,,,81-74,,L. Stephenson misses 2-pt shot from 19 ft
3:01.0,,,81-74,,Offensive rebound by Team
3:01.0,Loose ball foul by A. Iguodala (drawn by A. Davis),,81-74,,
2:51.0,,,81-74,,Turnover by B. Hield (step out of bounds)
2:34.0,I. Clark misses 2-pt shot from 11 ft,,81-74,,
2:33.0,,,81-74,,Defensive rebound by B. Hield
2:28.0,,,81-74,,Shooting foul by K. Looney (drawn by S. Hill)
2:28.0,,,81-74,,S. Hill misses free throw 1 of 2
2:28.0,,,81-74,,Offensive rebound by Team
2:28.0,,,81-75,1,S. Hill makes free throw 2 of 2
2:17.0,,,81-75,,Personal foul by B. Hield (drawn by K. Looney)
2:17.0,K. Looney makes free throw 1 of 2,1,82-75,,
2:17.0,K. Looney makes free throw 2 of 2,1,83-75,,
2:17.0,,,82-75,,T. Jones enters the game for A. Davis
2:17.0,K. Durant enters the game for D. Green,,82-75,,
1:56.0,,,83-77,2,T. Jones makes 2-pt shot from 6 ft
1:39.0,K. Looney makes 2-pt shot from 2 ft (assist by S. Curry),2,85-77,,
1:29.0,,,85-77,,S. Hill misses 2-pt shot from 4 ft
1:29.0,Defensive rebound by K. Durant,,85-77,,
1:29.0,,,85-77,,Personal foul by S. Hill (drawn by K. Durant)
1:29.0,K. Durant makes free throw 1 of 2,1,86-77,,
1:29.0,K. Durant makes free throw 2 of 2,1,87-77,,
1:10.0,,,87-79,2,T. Jones makes 2-pt shot from 22 ft (assist by L. Stephenson)
0:57.0,S. Curry makes 3-pt shot from 30 ft,3,90-79,,
0:46.0,,,90-79,,L. Galloway misses 3-pt shot from 27 ft
0:45.0,Defensive rebound by K. Looney,,90-79,,
0:40.0,S. Curry misses 3-pt shot from 31 ft,,90-79,,
0:39.0,,,90-79,,Defensive rebound by Team
0:22.0,,,90-81,2,L. Stephenson makes 2-pt shot from 3 ft (assist by T. Jones)
0:02.0,A. Iguodala makes 2-pt shot at rim (assist by K. Looney),2,92-81,,
0:00.0,,,92-81,,T. Jones misses 3-pt shot from 34 ft
0:00.0,,,92-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,K. Thompson misses 2-pt shot from 17 ft,,92-81,,
11:42.0,,,92-81,,Defensive rebound by A. Davis
11:18.0,,,92-81,,B. Hield misses 2-pt shot from 2 ft
11:18.0,,,92-81,,Offensive rebound by T. Frazier
11:18.0,,,92-81,,Turnover by Team (shot clock)
11:08.0,A. Iguodala makes 2-pt shot at rim (assist by S. Livingston),2,94-81,,
10:54.0,,,94-83,2,T. Frazier makes 2-pt shot from 18 ft
10:35.0,K. Thompson makes 3-pt shot from 27 ft (assist by K. Durant),3,97-83,,
10:19.0,Personal foul by K. Looney (drawn by T. Jones),,97-83,,
10:19.0,D. West enters the game for K. Looney,,97-83,,
10:19.0,,,97-83,,D. Cunningham enters the game for T. Jones
10:03.0,,,97-83,,B. Hield misses 2-pt shot from 7 ft
10:03.0,Defensive rebound by K. Durant,,97-83,,
9:52.0,K. Durant misses 3-pt shot from 26 ft,,97-83,,
9:52.0,,,97-83,,Defensive rebound by Team
9:52.0,Loose ball foul by D. West (drawn by T. Frazier),,97-83,,
9:42.0,,,97-83,,B. Hield misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by K. Durant,,97-83,,
9:27.0,D. West misses 2-pt shot from 9 ft (block by B. Hield),,97-83,,
9:27.0,Offensive rebound by D. West,,97-83,,
9:27.0,Jump ball: A. Davis vs. D. West (L. Stephenson gains possession),,,,Jump ball: A. Davis vs. D. West (L. Stephenson gains possession)
9:27.0,Turnover by D. West (lost ball; steal by A. Davis),,97-83,,
9:13.0,,,97-83,,Turnover by T. Frazier (bad pass; steal by A. Iguodala)
9:04.0,Shooting foul by A. Davis (drawn by K. Durant),,97-83,,
9:04.0,K. Durant makes free throw 1 of 2,1,98-83,,
9:04.0,K. Durant makes free throw 2 of 2,1,99-83,,
8:50.0,,,99-85,2,L. Stephenson makes 2-pt shot from 4 ft (assist by T. Frazier)
8:33.0,K. Durant misses 2-pt shot from 13 ft,,99-85,,
8:33.0,,,99-85,,Defensive rebound by A. Davis
8:24.0,,,99-85,,D. Cunningham misses 3-pt shot from 24 ft
8:22.0,Defensive rebound by A. Iguodala,,99-85,,
8:05.0,K. Durant misses 2-pt shot from 3 ft,,99-85,,
8:03.0,,,99-85,,Defensive rebound by A. Davis
8:02.0,,,99-87,2,D. Cunningham makes 2-pt shot from 2 ft (assist by A. Davis)
8:02.0,Golden State full timeout,,99-87,,
8:02.0,,,99-87,,E. Moore enters the game for B. Hield
8:02.0,S. Curry enters the game for A. Iguodala,,99-87,,
8:02.0,D. Green enters the game for D. West,,99-87,,
7:46.0,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry),2,101-87,,
7:29.0,,,101-87,,A. Davis misses 2-pt shot from 18 ft
7:27.0,Defensive rebound by K. Durant,,101-87,,
7:16.0,S. Livingston makes 2-pt shot at rim (assist by K. Thompson),2,103-87,,
6:53.0,,,103-89,2,T. Frazier makes 2-pt shot from 2 ft
6:37.0,Turnover by D. Green (offensive foul),,103-89,,
6:37.0,Offensive foul by D. Green,,103-89,,
6:37.0,I. Clark enters the game for K. Durant,,103-89,,
6:37.0,,,103-89,,B. Hield enters the game for E. Moore
