time,Portland,pts.away,score,pts.home,Denver
4:28.0,,,72-91,,Turnover by D. Gallinari (bad pass; steal by M. Harkless)
4:25.0,Turnover by E. Turner (bad pass; steal by D. Gallinari),,72-91,,
4:12.0,,,72-91,,G. Harris misses 2-pt shot from 19 ft
4:12.0,Defensive rebound by D. Lillard,,72-91,,
4:11.0,,,72-91,,Personal foul by J. Nelson (drawn by E. Turner)
4:11.0,E. Davis enters the game for M. Plumlee,,72-91,,
4:11.0,,,72-91,,W. Barton enters the game for G. Harris
4:01.0,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Lillard),3,75-91,,
3:37.0,,,75-91,,D. Gallinari misses 2-pt shot from 19 ft
3:36.0,,,75-91,,Offensive rebound by Team
3:36.0,Loose ball foul by D. Lillard (drawn by W. Chandler),,75-91,,
3:36.0,,,75-92,1,W. Chandler makes free throw 1 of 2
3:36.0,,,75-93,1,W. Chandler makes free throw 2 of 2
3:21.0,Shooting foul by W. Barton (drawn by E. Turner),,75-93,,
3:21.0,E. Turner makes free throw 1 of 2,1,76-93,,
3:21.0,E. Turner makes free throw 2 of 2,1,77-93,,
3:21.0,,,76-93,,J. Murray enters the game for D. Gallinari
2:57.0,,,77-93,,Turnover by W. Barton (back court)
2:57.0,Portland full timeout,,77-93,,
2:57.0,J. Layman enters the game for M. Harkless,,77-93,,
2:44.0,A. Crabbe misses 2-pt shot from 3 ft,,77-93,,
2:43.0,,,77-93,,Defensive rebound by K. Faried
2:43.0,Personal foul by A. Crabbe (drawn by K. Faried),,77-93,,
2:43.0,,,77-94,1,K. Faried makes free throw 1 of 2
2:43.0,,,77-95,1,K. Faried makes free throw 2 of 2
2:20.0,D. Lillard misses 2-pt shot from 2 ft,,77-95,,
2:20.0,Offensive rebound by J. Layman,,77-95,,
2:11.0,J. Layman misses 3-pt shot from 25 ft,,77-95,,
2:10.0,,,77-95,,Defensive rebound by W. Chandler
1:55.0,,,77-95,,J. Murray misses 3-pt shot from 24 ft
1:54.0,Defensive rebound by E. Davis,,77-95,,
1:43.0,E. Turner makes 2-pt shot from 2 ft (assist by D. Lillard),2,79-95,,
1:23.0,,,79-98,3,W. Barton makes 3-pt shot from 24 ft (assist by W. Chandler)
1:05.0,E. Turner misses 2-pt shot from 9 ft,,79-98,,
1:04.0,,,79-98,,Defensive rebound by W. Chandler
0:56.0,,,79-98,,W. Barton misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by E. Davis,,79-98,,
0:39.0,D. Lillard makes 3-pt shot from 28 ft,3,82-98,,
0:30.0,,,82-98,,W. Chandler misses 3-pt shot from 27 ft
0:29.0,Defensive rebound by Team,,82-98,,
0:29.0,C. McCollum enters the game for J. Layman,,82-98,,
0:10.0,Turnover by D. Lillard (lost ball; steal by W. Chandler),,82-98,,
0:09.0,Personal foul by A. Crabbe (drawn by J. Murray),,82-98,,
0:09.0,,,82-99,1,J. Murray makes free throw 1 of 2
0:09.0,,,82-100,1,J. Murray makes free throw 2 of 2
0:09.0,M. Harkless enters the game for E. Turner,,82-99,,
0:02.0,Shooting foul by J. Murray (drawn by A. Crabbe),,82-100,,
0:02.0,A. Crabbe makes free throw 1 of 3,1,83-100,,
0:02.0,A. Crabbe makes free throw 2 of 3,1,84-100,,
0:02.0,A. Crabbe makes free throw 3 of 3,1,85-100,,
0:02.0,N. Vonleh enters the game for C. McCollum,,84-100,,
0:00.0,,,85-100,,W. Chandler misses 3-pt shot from 48 ft
0:00.0,,,85-100,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,85-100,,W. Barton misses 3-pt shot from 25 ft
11:37.0,Defensive rebound by A. Crabbe,,85-100,,
11:25.0,,,85-100,,Shooting block foul by J. Murray (drawn by C. McCollum)
11:25.0,C. McCollum makes free throw 1 of 2,1,86-100,,
11:25.0,C. McCollum makes free throw 2 of 2,1,87-100,,
11:04.0,,,87-100,,Turnover by W. Barton (bad pass; steal by E. Turner)
11:00.0,M. Harkless makes 2-pt shot at rim (assist by E. Turner),2,89-100,,
