time,Denver,pts.away,score,pts.home,Houston
10:17.0,,,57-64,,E. Gordon enters the game for T. Williams
10:05.0,,,57-64,,T. Ariza misses 2-pt shot from 1 ft
10:04.0,Defensive rebound by N. Jokic,,57-64,,
9:59.0,G. Harris misses 3-pt shot from 25 ft,,57-64,,
9:56.0,,,57-64,,Defensive rebound by P. Beverley
9:48.0,,,57-64,,C. Capela misses 2-pt shot from 2 ft
9:46.0,Defensive rebound by K. Faried,,57-64,,
9:39.0,K. Faried makes 2-pt shot from 3 ft (assist by J. Nelson),2,59-64,,
9:39.0,,,59-64,,Houston full timeout
9:30.0,,,59-64,,Turnover by C. Capela (lost ball; steal by G. Harris)
9:25.0,G. Harris makes 2-pt shot at rim (assist by N. Jokic),2,61-64,,
9:16.0,,,61-64,,T. Ariza misses 3-pt shot from 24 ft
9:15.0,Defensive rebound by Team,,61-64,,
9:15.0,,,61-64,,Loose ball foul by C. Capela (drawn by N. Jokic)
9:15.0,,,61-64,,N. Hilario enters the game for C. Capela
8:54.0,K. Faried makes 2-pt shot from 6 ft (assist by N. Jokic),2,63-64,,
8:38.0,,,63-64,,Shooting foul by K. Faried (drawn by N. Hilario)
8:38.0,,,63-64,,N. Hilario misses free throw 1 of 2
8:38.0,,,63-64,,Offensive rebound by Team
8:38.0,,,63-65,1,N. Hilario makes free throw 2 of 2
8:27.0,,,63-65,,Personal foul by N. Hilario (drawn by N. Jokic)
8:23.0,N. Jokic misses 3-pt shot from 25 ft,,63-65,,
8:23.0,,,63-65,,Defensive rebound by P. Beverley
8:06.0,,,63-67,2,J. Harden makes 2-pt shot from 3 ft
8:06.0,Violation by K. Faried (def goaltending),,63-67,,
7:54.0,J. Nelson misses 3-pt shot from 24 ft,,63-67,,
7:52.0,Offensive rebound by N. Jokic,,63-67,,
7:49.0,K. Faried misses 2-pt shot from 3 ft (block by J. Harden),,63-67,,
7:49.0,Offensive rebound by Team,,63-67,,
7:40.0,G. Harris misses 3-pt shot from 26 ft,,63-67,,
7:38.0,,,63-67,,Defensive rebound by J. Harden
7:26.0,,,63-67,,T. Ariza misses 3-pt shot from 23 ft
7:26.0,Defensive rebound by N. Jokic,,63-67,,
7:13.0,D. Gallinari misses 2-pt shot from 11 ft,,63-67,,
7:12.0,,,63-67,,Defensive rebound by P. Beverley
7:05.0,,,63-69,2,P. Beverley makes 2-pt shot from 7 ft (assist by N. Hilario)
6:46.0,J. Nelson makes 3-pt shot from 25 ft,3,66-69,,
6:28.0,,,66-71,2,T. Ariza makes 2-pt shot from 10 ft
6:04.0,D. Gallinari misses 2-pt shot from 19 ft,,66-71,,
6:03.0,,,66-71,,Defensive rebound by E. Gordon
