time,Memphis,pts.away,score,pts.home,Toronto
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,M. Gasol misses 2-pt shot from 5 ft,,82-89,,
11:41.0,,,82-89,,Defensive rebound by L. Nogueira
11:26.0,,,82-91,2,C. Joseph makes 2-pt shot from 15 ft
11:10.0,T. Daniels makes 3-pt shot from 28 ft,3,85-91,,
10:49.0,,,85-91,,T. Ross misses 3-pt shot from 24 ft
10:48.0,,,85-91,,Offensive rebound by P. Patterson
10:47.0,,,85-91,,P. Patterson misses 2-pt shot from 1 ft
10:47.0,Defensive rebound by W. Baldwin,,85-91,,
10:43.0,Turnover by W. Baldwin (offensive foul),,85-91,,
10:43.0,Offensive charge foul by W. Baldwin,,85-91,,
10:43.0,T. Williams enters the game for W. Baldwin,,85-91,,
10:34.0,,,85-91,,C. Joseph misses 2-pt shot from 18 ft
10:33.0,Defensive rebound by A. Harrison,,85-91,,
10:12.0,T. Daniels misses 3-pt shot from 25 ft,,85-91,,
10:11.0,Offensive rebound by M. Gasol,,85-91,,
10:05.0,A. Harrison makes 3-pt shot from 25 ft (assist by M. Gasol),3,88-91,,
9:47.0,,,88-91,,Turnover by K. Lowry (bad pass; steal by J. Green)
9:37.0,,,88-91,,Personal foul by L. Nogueira (drawn by M. Gasol)
9:28.0,M. Gasol misses 3-pt shot from 26 ft,,88-91,,
9:27.0,,,88-91,,Defensive rebound by C. Joseph
9:18.0,,,88-91,,Turnover by C. Joseph (lost ball; steal by T. Daniels)
9:12.0,T. Williams misses 2-pt shot from 2 ft,,88-91,,
9:11.0,Offensive rebound by M. Gasol,,88-91,,
9:10.0,M. Gasol makes 2-pt shot from 1 ft,2,90-91,,
8:38.0,,,90-91,,P. Patterson misses 3-pt shot from 30 ft
8:38.0,,,90-91,,Offensive rebound by Team
8:38.0,,,90-91,,Turnover by Team (shot clock)
8:38.0,Official timeout,,90-91,,
8:38.0,,,90-91,,D. Carroll enters the game for T. Ross
8:24.0,T. Daniels misses 2-pt shot from 16 ft,,90-91,,
8:23.0,,,90-91,,Defensive rebound by C. Joseph
8:07.0,,,90-94,3,P. Patterson makes 3-pt shot from 24 ft (assist by K. Lowry)
7:49.0,,,90-94,,Personal foul by C. Joseph (drawn by M. Gasol)
7:41.0,,,90-94,,Personal foul by L. Nogueira (drawn by M. Gasol)
7:27.0,J. Green misses 3-pt shot from 24 ft,,90-94,,
7:26.0,,,90-94,,Defensive rebound by K. Lowry
7:18.0,,,90-94,,D. Carroll misses 3-pt shot from 23 ft
7:17.0,,,90-94,,Offensive rebound by Team
7:06.0,,,90-97,3,C. Joseph makes 3-pt shot from 26 ft (assist by L. Nogueira)
7:06.0,Memphis full timeout,,90-97,,
7:06.0,,,90-97,,D. DeRozan enters the game for C. Joseph
7:06.0,J. Martin enters the game for M. Gasol,,90-97,,
6:49.0,A. Harrison makes 2-pt shot at rim,2,92-97,,
6:35.0,Shooting block foul by J. Martin (drawn by K. Lowry),,92-97,,
6:35.0,,,92-98,1,K. Lowry makes free throw 1 of 3
6:35.0,,,92-99,1,K. Lowry makes free throw 2 of 3
6:35.0,,,92-100,1,K. Lowry makes free throw 3 of 3
6:35.0,T. Allen enters the game for T. Williams,,92-99,,
6:35.0,,,92-99,,C. Joseph enters the game for L. Nogueira
6:14.0,J. Martin misses 2-pt shot from 12 ft,,92-100,,
6:13.0,,,92-100,,Defensive rebound by P. Patterson
5:50.0,,,92-100,,C. Joseph misses 3-pt shot from 23 ft
5:50.0,Defensive rebound by J. Martin,,92-100,,
5:43.0,T. Daniels makes 3-pt shot from 28 ft (assist by A. Harrison),3,95-100,,
5:21.0,,,95-100,,Shooting foul by A. Harrison (drawn by C. Joseph)
5:21.0,,,95-101,1,C. Joseph makes free throw 1 of 2
5:21.0,,,95-102,1,C. Joseph makes free throw 2 of 2
4:57.0,J. Martin misses 2-pt shot from 14 ft,,95-102,,
4:57.0,,,95-102,,Defensive rebound by D. DeRozan
4:48.0,,,95-104,2,D. DeRozan makes 2-pt shot from 4 ft
4:29.0,T. Daniels misses 3-pt shot from 25 ft,,95-104,,
4:29.0,,,95-104,,Defensive rebound by C. Joseph
