time,Milwaukee,pts.away,score,pts.home,Minnesota
0:01.0,,,71-85,,Offensive rebound by G. Dieng
0:01.0,,,71-85,,G. Dieng misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by G. Antetokounmpo,,71-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,71-85,,N. Bjelica misses 2-pt shot from 8 ft
11:35.0,Defensive rebound by J. Parker,,71-85,,
11:18.0,M. Teletovic misses 3-pt shot from 25 ft,,71-85,,
11:17.0,,,71-85,,Defensive rebound by K. Dunn
11:08.0,,,71-88,3,Z. LaVine makes 3-pt shot from 25 ft (assist by K. Dunn)
10:50.0,M. Beasley misses 2-pt shot from 16 ft,,71-88,,
10:49.0,,,71-88,,Defensive rebound by Z. LaVine
10:40.0,,,71-90,2,G. Dieng makes 2-pt shot from 20 ft (assist by Z. LaVine)
10:23.0,M. Beasley makes 2-pt shot from 1 ft,2,73-90,,
10:07.0,,,73-92,2,S. Muhammad makes 2-pt shot from 8 ft
9:48.0,M. Brogdon makes 2-pt shot from 2 ft,2,75-92,,
9:39.0,,,75-92,,S. Muhammad misses 2-pt shot at rim
9:38.0,Defensive rebound by M. Brogdon,,75-92,,
9:28.0,Shooting foul by K. Dunn (drawn by M. Beasley),,75-92,,
9:28.0,M. Beasley makes free throw 1 of 2,1,76-92,,
9:28.0,M. Beasley makes free throw 2 of 2,1,77-92,,
9:21.0,,,77-92,,Turnover by S. Muhammad (bad pass)
9:21.0,T. Maker enters the game for M. Beasley,,77-92,,
9:21.0,,,77-92,,K. Towns enters the game for G. Dieng
9:10.0,T. Maker misses 2-pt shot from 14 ft,,77-92,,
9:09.0,Offensive rebound by J. Parker,,77-92,,
9:08.0,J. Parker makes 2-pt shot at rim,2,79-92,,
8:50.0,,,79-92,,S. Muhammad misses 3-pt shot from 25 ft
8:49.0,,,79-92,,Offensive rebound by Team
8:49.0,,,79-92,,Minnesota full timeout
8:49.0,,,79-92,,R. Rubio enters the game for K. Dunn
8:46.0,,,79-92,,Shooting foul by M. Teletovic (drawn by K. Towns)
8:46.0,,,79-92,,K. Towns misses free throw 1 of 2
8:46.0,,,79-92,,Offensive rebound by Team
8:46.0,,,79-93,1,K. Towns makes free throw 2 of 2
8:27.0,Turnover by M. Brogdon (lost ball; steal by R. Rubio),,79-93,,
8:23.0,,,79-93,,S. Muhammad misses 2-pt shot from 1 ft
8:22.0,Defensive rebound by M. Teletovic,,79-93,,
8:21.0,,,79-93,,Personal foul by R. Rubio (drawn by M. Teletovic)
8:21.0,,,79-93,,A. Wiggins enters the game for S. Muhammad
8:04.0,Turnover by M. Teletovic (lost ball; steal by R. Rubio),,79-93,,
7:59.0,,,79-95,2,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio)
7:38.0,J. Terry makes 3-pt shot from 23 ft (assist by M. Brogdon),3,82-95,,
7:16.0,,,82-95,,Z. LaVine misses 2-pt shot from 21 ft
7:15.0,Defensive rebound by M. Teletovic,,82-95,,
7:08.0,J. Parker makes 2-pt shot from 1 ft,2,84-95,,
6:47.0,,,84-98,3,N. Bjelica makes 3-pt shot from 25 ft (assist by K. Towns)
6:35.0,Shooting foul by N. Bjelica (drawn by M. Teletovic),,84-98,,
6:35.0,M. Teletovic makes free throw 1 of 2,1,85-98,,
6:35.0,M. Teletovic makes free throw 2 of 2,1,86-98,,
6:35.0,G. Antetokounmpo enters the game for T. Maker,,85-98,,
6:11.0,,,86-101,3,Z. LaVine makes 3-pt shot from 26 ft (assist by R. Rubio)
6:04.0,,,86-101,,Personal foul by Z. LaVine (drawn by M. Brogdon)
5:53.0,,,86-101,,Minnesota full timeout
5:53.0,Jump ball: G. Antetokounmpo vs. R. Rubio (J. Parker gains possession),,,,Jump ball: G. Antetokounmpo vs. R. Rubio (J. Parker gains possession)
5:46.0,J. Parker misses 2-pt shot from 1 ft,,86-101,,
5:46.0,Offensive rebound by G. Antetokounmpo,,86-101,,
5:46.0,Shooting foul by N. Bjelica (drawn by G. Antetokounmpo),,86-101,,
5:46.0,G. Antetokounmpo misses free throw 1 of 2,,86-101,,
5:46.0,Offensive rebound by Team,,86-101,,
5:46.0,G. Antetokounmpo makes free throw 2 of 2,1,87-101,,
5:29.0,,,87-101,,A. Wiggins misses 2-pt shot from 1 ft
5:27.0,,,87-101,,Offensive rebound by K. Towns
5:27.0,,,87-103,2,K. Towns makes 2-pt shot at rim
5:07.0,G. Antetokounmpo makes 2-pt shot from 16 ft,2,89-103,,
4:52.0,Personal foul by J. Parker (drawn by A. Wiggins),,89-103,,
4:42.0,,,89-103,,Z. LaVine misses 3-pt shot from 22 ft
4:40.0,,,89-103,,Offensive rebound by A. Wiggins
