time,LA Clippers,pts.away,score,pts.home,Golden State
7:48.0,,,58-83,,Shooting foul by J. Redick (drawn by D. Green)
7:48.0,,,58-83,,D. Green misses free throw 1 of 2
7:48.0,,,58-83,,Offensive rebound by Team
7:48.0,,,58-84,1,D. Green makes free throw 2 of 2
7:33.0,B. Griffin misses 2-pt shot from 19 ft,,58-84,,
7:32.0,,,58-84,,Defensive rebound by Z. Pachulia
6:58.0,,,58-84,,S. Curry misses 3-pt shot from 27 ft
6:56.0,Defensive rebound by L. Mbah a Moute,,58-84,,
6:47.0,L. Mbah a Moute makes 3-pt shot from 27 ft (assist by D. Jordan),3,61-84,,
6:32.0,R. Felton enters the game for L. Mbah a Moute,,61-84,,
6:21.0,,,61-87,3,K. Durant makes 3-pt shot from 27 ft (assist by D. Green)
5:56.0,A. Rivers misses 3-pt shot from 26 ft,,61-87,,
5:55.0,,,61-87,,Defensive rebound by Z. Pachulia
5:41.0,,,61-90,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
5:24.0,J. Redick misses 2-pt shot from 23 ft,,61-90,,
5:23.0,Offensive rebound by B. Griffin,,61-90,,
5:22.0,B. Griffin misses 2-pt shot from 1 ft,,61-90,,
5:21.0,Offensive rebound by B. Griffin,,61-90,,
5:21.0,Shooting foul by D. Green (drawn by B. Griffin),,61-90,,
5:21.0,,,61-90,,Golden State full timeout
5:21.0,B. Griffin makes free throw 1 of 2,1,62-90,,
5:21.0,B. Griffin makes free throw 2 of 2,1,63-90,,
5:21.0,J. Crawford enters the game for J. Redick,,61-90,,
5:21.0,,,61-90,,J. McGee enters the game for D. Green
5:21.0,,,61-90,,A. Iguodala enters the game for Z. Pachulia
5:03.0,,,63-90,,A. Iguodala misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by D. Jordan,,63-90,,
4:48.0,A. Rivers misses 2-pt shot from 3 ft (block by J. McGee),,63-90,,
4:44.0,Offensive rebound by D. Jordan,,63-90,,
4:43.0,D. Jordan makes 2-pt shot from 1 ft,2,65-90,,
4:31.0,,,65-90,,A. Iguodala misses 3-pt shot from 23 ft
4:30.0,,,65-90,,Offensive rebound by Team
4:28.0,,,65-92,2,K. Thompson makes 2-pt shot from 17 ft (assist by S. Curry)
4:06.0,J. Crawford misses 2-pt shot from 18 ft,,65-92,,
4:05.0,,,65-92,,Defensive rebound by Team
4:05.0,,,65-92,,P. McCaw enters the game for K. Thompson
3:44.0,,,65-94,2,A. Iguodala makes 2-pt shot at rim (assist by K. Durant)
3:34.0,D. Jordan makes 2-pt shot at rim (assist by R. Felton),2,67-94,,
3:22.0,,,67-96,2,J. McGee makes 2-pt shot from 1 ft (assist by K. Durant)
