time,Milwaukee,pts.away,score,pts.home,Orlando
0:50.0,,,74-69,,Defensive rebound by N. Vucevic
0:42.0,,,74-71,2,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton)
0:29.0,G. Antetokounmpo makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,77-71,,
0:17.0,,,77-71,,Shooting foul by M. Dellavedova (drawn by B. Biyombo)
0:17.0,,,77-72,1,B. Biyombo makes free throw 1 of 2
0:17.0,,,77-72,,B. Biyombo misses free throw 2 of 2
0:17.0,,,77-72,,A. Gordon enters the game for N. Vucevic
0:16.0,Defensive rebound by G. Antetokounmpo,,77-72,,
0:05.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova),2,79-72,,
0:01.0,,,79-72,,E. Payton misses 3-pt shot from 33 ft
0:00.0,Defensive rebound by M. Brogdon,,79-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,G. Monroe misses 2-pt shot from 6 ft,,79-72,,
11:43.0,,,79-72,,Defensive rebound by N. Vucevic
11:29.0,,,79-72,,N. Vucevic misses 2-pt shot from 20 ft
11:27.0,Defensive rebound by M. Beasley,,79-72,,
11:21.0,M. Beasley makes 2-pt shot from 1 ft,2,81-72,,
11:07.0,,,81-75,3,E. Payton makes 3-pt shot from 26 ft (assist by A. Gordon)
10:53.0,M. Brogdon misses 2-pt shot from 17 ft,,81-75,,
10:52.0,,,81-75,,Defensive rebound by N. Vucevic
10:45.0,,,81-77,2,E. Payton makes 2-pt shot from 3 ft
10:29.0,M. Beasley makes 2-pt shot from 1 ft (assist by M. Brogdon),2,83-77,,
10:14.0,,,83-77,,C. Watson misses 2-pt shot from 19 ft
10:13.0,,,83-77,,Offensive rebound by B. Biyombo
10:09.0,,,83-77,,C. Watson misses 3-pt shot from 25 ft
10:08.0,,,83-77,,Offensive rebound by A. Gordon
9:58.0,,,83-77,,C. Watson misses 3-pt shot from 25 ft
9:56.0,,,83-77,,Offensive rebound by N. Vucevic
9:56.0,,,83-79,2,N. Vucevic makes 2-pt shot from 2 ft
9:30.0,Shooting foul by N. Vucevic (drawn by G. Monroe),,83-79,,
9:30.0,G. Monroe misses free throw 1 of 2,,83-79,,
9:30.0,Offensive rebound by Team,,83-79,,
9:30.0,G. Monroe makes free throw 2 of 2,1,84-79,,
9:30.0,M. Dellavedova enters the game for J. Terry,,83-79,,
9:08.0,,,84-79,,Turnover by B. Biyombo (bad pass; steal by M. Brogdon)
9:06.0,,,84-79,,Violation by A. Gordon (def goaltending)
9:06.0,M. Brogdon makes 2-pt shot from 2 ft,2,86-79,,
8:53.0,,,86-81,2,N. Vucevic makes 2-pt shot from 9 ft (assist by E. Payton)
8:37.0,M. Beasley misses 2-pt shot from 3 ft (block by B. Biyombo),,86-81,,
8:34.0,,,86-81,,Defensive rebound by B. Biyombo
8:18.0,,,86-81,,C. Watson misses 2-pt shot from 2 ft
8:15.0,Defensive rebound by G. Monroe,,86-81,,
8:04.0,M. Dellavedova misses 3-pt shot from 26 ft,,86-81,,
8:02.0,Offensive rebound by M. Beasley,,86-81,,
7:57.0,M. Dellavedova misses 2-pt shot from 2 ft (block by N. Vucevic),,86-81,,
7:56.0,,,86-81,,Defensive rebound by E. Payton
7:52.0,,,86-81,,Shooting foul by M. Brogdon (drawn by E. Payton)
7:52.0,Official timeout,,86-81,,
7:52.0,,,86-82,1,E. Payton makes free throw 1 of 2
7:52.0,,,86-83,1,E. Payton makes free throw 2 of 2
7:52.0,J. Parker enters the game for M. Brogdon,,86-81,,
7:52.0,T. Snell enters the game for M. Beasley,,86-81,,
7:52.0,J. Henson enters the game for G. Monroe,,86-81,,
7:52.0,,,86-81,,E. Fournier enters the game for A. Gordon
7:52.0,,,86-81,,D. Augustin enters the game for C. Watson
7:37.0,,,86-83,,Personal foul by N. Vucevic (drawn by J. Henson)
