time,Indiana,pts.away,score,pts.home,New Orleans
9:53.0,,,54-53,1,A. Davis makes free throw 2 of 2
9:38.0,M. Turner makes 2-pt shot from 13 ft (assist by P. George),2,56-53,,
9:25.0,,,56-53,,S. Hill misses 3-pt shot from 25 ft
9:24.0,Defensive rebound by T. Young,,56-53,,
9:15.0,Shooting foul by S. Hill (drawn by P. George),,56-53,,
9:15.0,P. George makes free throw 1 of 2,1,57-53,,
9:15.0,P. George makes free throw 2 of 2,1,58-53,,
9:04.0,,,58-53,,Offensive charge foul by B. Hield
9:04.0,,,58-53,,Turnover by B. Hield (offensive foul)
8:48.0,M. Turner makes 2-pt shot from 21 ft (assist by J. Teague),2,60-53,,
8:34.0,,,60-53,,Shooting foul by T. Young (drawn by A. Davis)
8:34.0,,,60-54,1,A. Davis makes free throw 1 of 2
8:34.0,,,60-55,1,A. Davis makes free throw 2 of 2
8:07.0,M. Turner misses 2-pt shot from 20 ft,,60-55,,
8:06.0,,,60-55,,Defensive rebound by A. Davis
7:54.0,,,60-55,,A. Davis misses 2-pt shot from 22 ft
7:51.0,Jump ball: A. Ajinca vs. G. Robinson (B. Hield gains possession),,,,Jump ball: A. Ajinca vs. G. Robinson (B. Hield gains possession)
7:51.0,,,60-55,,Offensive rebound by A. Ajinca
7:35.0,,,60-57,2,J. Holiday makes 2-pt shot from 16 ft
7:20.0,T. Young makes 2-pt shot from 21 ft (assist by J. Teague),2,62-57,,
7:03.0,,,62-60,3,B. Hield makes 3-pt shot from 25 ft (assist by S. Hill)
6:45.0,G. Robinson misses 2-pt shot from 21 ft,,62-60,,
6:44.0,,,62-60,,Defensive rebound by A. Davis
6:35.0,,,62-63,3,B. Hield makes 3-pt shot from 23 ft (assist by J. Holiday)
6:09.0,Turnover by J. Teague (bad pass; steal by A. Ajinca),,62-63,,
6:03.0,,,62-63,,B. Hield misses 2-pt shot from 2 ft
6:00.0,,,62-63,,Offensive rebound by A. Davis
6:00.0,,,62-63,,A. Davis misses 2-pt shot from 2 ft
5:57.0,,,62-63,,Offensive rebound by B. Hield
5:46.0,,,62-63,,A. Davis misses 2-pt shot from 2 ft
5:46.0,,,62-63,,Offensive rebound by A. Ajinca
5:46.0,,,62-63,,Turnover by A. Ajinca (offensive goaltending)
5:46.0,,,62-63,,New Orleans full timeout
5:34.0,Shooting foul by A. Ajinca (drawn by P. George),,62-63,,
5:34.0,P. George makes free throw 1 of 2,1,63-63,,
5:34.0,P. George makes free throw 2 of 2,1,64-63,,
5:34.0,C. Miles enters the game for G. Robinson,,63-63,,
5:17.0,,,64-63,,B. Hield misses 3-pt shot from 25 ft
5:17.0,Defensive rebound by J. Teague,,64-63,,
5:08.0,M. Turner makes 2-pt shot from 1 ft (assist by J. Teague),2,66-63,,
4:52.0,,,66-65,2,A. Davis makes 2-pt shot from 6 ft (assist by J. Holiday)
4:35.0,J. Teague makes 2-pt shot from 8 ft (assist by M. Turner),2,68-65,,
4:19.0,Personal foul by C. Miles (drawn by S. Hill),,68-65,,
4:19.0,,,68-65,,T. Jones enters the game for A. Ajinca
