time,Washington,pts.away,score,pts.home,Philadelphia
8:01.0,,,57-72,,Defensive rebound by J. Okafor
7:57.0,,,57-74,2,T. McConnell makes 2-pt shot from 1 ft
7:56.0,Washington full timeout,,57-74,,
7:56.0,,,57-74,,N. Stauskas enters the game for G. Henderson
7:56.0,,,57-74,,T. Luwawu-Cabarrot enters the game for R. Covington
7:45.0,Shooting foul by N. Stauskas (drawn by J. Wall),,57-74,,
7:45.0,J. Wall makes free throw 1 of 2,1,58-74,,
7:45.0,J. Wall makes free throw 2 of 2,1,59-74,,
7:26.0,,,59-76,2,J. Okafor makes 2-pt shot from 4 ft
7:12.0,B. Beal misses 2-pt shot from 14 ft,,59-76,,
7:10.0,,,59-76,,Defensive rebound by T. McConnell
7:01.0,,,59-76,,J. Okafor misses 2-pt shot from 4 ft
7:00.0,Defensive rebound by O. Porter,,59-76,,
6:54.0,Shooting foul by D. Saric (drawn by M. Gortat),,59-76,,
6:54.0,M. Gortat misses free throw 1 of 2,,59-76,,
6:54.0,Offensive rebound by Team,,59-76,,
6:54.0,M. Gortat makes free throw 2 of 2,1,60-76,,
6:37.0,,,60-76,,D. Saric misses 2-pt shot from 3 ft
6:34.0,Defensive rebound by M. Morris,,60-76,,
6:32.0,,,60-76,,Personal foul by T. McConnell
6:32.0,,,60-76,,R. Holmes enters the game for J. Okafor
6:32.0,,,60-76,,R. Covington enters the game for D. Saric
6:30.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,62-76,,
6:16.0,,,62-78,2,R. Holmes makes 2-pt shot at rim (assist by T. Luwawu-Cabarrot)
5:57.0,Turnover by B. Beal (bad pass; steal by T. McConnell),,62-78,,
5:53.0,,,62-78,,Turnover by T. Luwawu-Cabarrot (lost ball; steal by M. Morris)
5:49.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,64-78,,
5:19.0,,,64-78,,Turnover by Team (shot clock)
5:08.0,J. Wall misses 2-pt shot from 18 ft,,64-78,,
5:06.0,Offensive rebound by M. Gortat,,64-78,,
5:06.0,M. Gortat makes 2-pt shot at rim,2,66-78,,
4:55.0,Violation by M. Morris (def goaltending),,66-78,,
4:55.0,,,66-80,2,N. Stauskas makes 2-pt shot from 2 ft (assist by R. Covington)
4:41.0,M. Morris misses 2-pt shot from 9 ft,,66-80,,
4:40.0,Offensive rebound by M. Gortat,,66-80,,
4:38.0,M. Gortat misses 2-pt shot from 4 ft,,66-80,,
4:37.0,,,66-80,,Defensive rebound by R. Holmes
4:20.0,,,66-82,2,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by T. McConnell)
4:14.0,J. Wall makes 2-pt shot from 1 ft,2,68-82,,
3:54.0,,,68-84,2,T. McConnell makes 2-pt shot from 2 ft
3:48.0,J. Wall makes 2-pt shot from 1 ft,2,70-84,,
3:46.0,,,70-84,,Philadelphia full timeout
3:46.0,K. Oubre enters the game for M. Morris,,70-84,,
3:46.0,,,70-84,,S. Rodriguez enters the game for T. McConnell
3:34.0,,,70-84,,Offensive foul by T. Luwawu-Cabarrot
3:34.0,,,70-84,,Turnover by T. Luwawu-Cabarrot (offensive foul)
3:15.0,Shooting foul by R. Covington (drawn by B. Beal),,70-84,,
3:15.0,B. Beal misses free throw 1 of 2,,70-84,,
3:15.0,Offensive rebound by Team,,70-84,,
3:15.0,B. Beal misses free throw 2 of 2,,70-84,,
3:15.0,,,70-84,,Defensive rebound by R. Covington
3:00.0,,,70-84,,Shooting foul by O. Porter (drawn by T. Luwawu-Cabarrot)
3:00.0,,,70-85,1,T. Luwawu-Cabarrot makes free throw 1 of 2
3:00.0,,,70-86,1,T. Luwawu-Cabarrot makes free throw 2 of 2
3:00.0,B. Bogdanovic enters the game for O. Porter,,70-85,,
2:47.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,72-86,,
2:47.0,Shooting foul by T. Luwawu-Cabarrot (drawn by B. Beal),,72-86,,
2:47.0,B. Beal makes free throw 1 of 1,1,73-86,,
2:35.0,,,73-88,2,R. Holmes makes 2-pt shot from 1 ft (assist by R. Covington)
2:23.0,B. Beal misses 3-pt shot from 25 ft,,73-88,,
2:22.0,Offensive rebound by J. Wall,,73-88,,
2:11.0,B. Beal makes 2-pt shot from 2 ft,2,75-88,,
2:11.0,Shooting foul by N. Stauskas (drawn by B. Beal),,75-88,,
2:11.0,B. Beal makes free throw 1 of 1,1,76-88,,
2:01.0,,,76-91,3,R. Covington makes 3-pt shot from 25 ft (assist by S. Rodriguez)
1:47.0,,,76-91,,Personal foul by R. Holmes (drawn by B. Beal)
1:47.0,B. Beal makes free throw 1 of 2,1,77-91,,
1:47.0,B. Beal makes free throw 2 of 2,1,78-91,,
1:24.0,,,78-93,2,R. Holmes makes 2-pt shot from 1 ft
1:07.0,K. Oubre misses 2-pt shot from 3 ft (block by R. Holmes),,78-93,,
1:04.0,,,78-93,,Defensive rebound by R. Covington
0:51.0,,,78-95,2,R. Holmes makes 2-pt shot at rim (assist by S. Rodriguez)
0:48.0,Turnover by J. Wall (lost ball; steal by R. Covington),,78-95,,
0:43.0,,,78-95,,N. Stauskas misses 2-pt shot from 1 ft (block by M. Gortat)
0:41.0,,,78-95,,Offensive rebound by R. Covington
0:40.0,,,78-95,,R. Covington misses 2-pt shot from 1 ft
0:39.0,Defensive rebound by B. Beal,,78-95,,
0:36.0,B. Beal makes 3-pt shot from 26 ft,3,81-95,,
0:29.0,,,81-95,,S. Rodriguez misses 2-pt shot from 11 ft
0:26.0,Defensive rebound by M. Gortat,,81-95,,
0:04.0,J. Wall misses 3-pt shot from 27 ft,,81-95,,
0:02.0,,,81-95,,Defensive rebound by N. Stauskas
0:01.0,,,81-95,,N. Stauskas misses 3-pt shot from 39 ft
0:00.0,,,81-95,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,J. Smith misses 2-pt shot from 14 ft,,81-95,,
11:44.0,,,81-95,,Defensive rebound by D. Saric
11:40.0,Personal foul by T. Burke (drawn by G. Henderson),,81-95,,
11:32.0,,,81-95,,G. Henderson misses 3-pt shot from 24 ft
11:30.0,,,81-95,,Offensive rebound by D. Saric
11:29.0,,,81-95,,D. Saric misses 2-pt shot from 3 ft (block by J. Smith)
11:26.0,Defensive rebound by B. Bogdanovic,,81-95,,
11:22.0,B. Bogdanovic misses 3-pt shot from 26 ft,,81-95,,
11:20.0,Offensive rebound by J. Smith,,81-95,,
11:09.0,T. Burke makes 3-pt shot from 26 ft (assist by B. Beal),3,84-95,,
10:52.0,,,84-95,,Turnover by G. Henderson (bad pass; steal by B. Bogdanovic)
10:48.0,,,84-95,,Violation by G. Henderson (def goaltending)
10:48.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,86-95,,
10:37.0,,,86-95,,Turnover by S. Rodriguez (lost ball)
10:16.0,B. Bogdanovic misses 3-pt shot from 28 ft,,86-95,,
10:14.0,,,86-95,,Defensive rebound by R. Holmes
10:07.0,,,86-95,,Shooting foul by K. Oubre (drawn by G. Henderson)
10:07.0,,,86-96,1,G. Henderson makes free throw 1 of 3
10:07.0,,,86-96,,G. Henderson misses free throw 2 of 3
10:07.0,,,86-96,,Offensive rebound by Team
10:07.0,,,86-97,1,G. Henderson makes free throw 3 of 3
9:56.0,Turnover by T. Burke (bad pass; steal by R. Holmes),,86-97,,
9:55.0,Personal foul by T. Burke (drawn by R. Holmes),,86-97,,
9:48.0,,,86-99,2,S. Rodriguez makes 2-pt shot from 1 ft
9:46.0,Washington full timeout,,86-99,,
9:46.0,J. Wall enters the game for B. Beal,,86-99,,
9:46.0,O. Porter enters the game for K. Oubre,,86-99,,
9:36.0,J. Wall misses 2-pt shot from 4 ft (block by N. Stauskas),,86-99,,
9:30.0,,,86-99,,Defensive rebound by R. Holmes
9:26.0,,,86-99,,D. Saric misses 3-pt shot from 24 ft
9:25.0,,,86-99,,Offensive rebound by Team
9:17.0,,,86-101,2,D. Saric makes 2-pt shot from 1 ft (assist by S. Rodriguez)
9:04.0,J. Wall misses 2-pt shot from 1 ft (block by R. Holmes),,86-101,,
9:04.0,Offensive rebound by Team,,86-101,,
9:04.0,M. Morris enters the game for T. Burke,,86-101,,
9:04.0,,,86-101,,R. Covington enters the game for D. Saric
9:01.0,Turnover by J. Wall (bad pass; steal by R. Holmes),,86-101,,
8:55.0,,,86-104,3,N. Stauskas makes 3-pt shot from 26 ft (assist by S. Rodriguez)
8:54.0,Washington full timeout,,86-104,,
8:39.0,Turnover by B. Bogdanovic (bad pass; steal by R. Covington),,86-104,,
8:23.0,,,86-104,,G. Henderson misses 3-pt shot from 26 ft
8:21.0,Defensive rebound by M. Morris,,86-104,,
8:09.0,J. Wall misses 2-pt shot from 18 ft,,86-104,,
8:07.0,,,86-104,,Defensive rebound by S. Rodriguez
8:01.0,Personal foul by J. Wall (drawn by S. Rodriguez),,86-104,,
8:01.0,M. Gortat enters the game for J. Smith,,86-104,,
8:01.0,,,86-104,,J. Okafor enters the game for R. Holmes
7:53.0,,,86-104,,S. Rodriguez misses 2-pt shot from 12 ft
7:53.0,,,86-104,,Offensive rebound by Team
7:53.0,Loose ball foul by M. Gortat (drawn by J. Okafor),,86-104,,
7:53.0,,,86-104,,J. Okafor misses free throw 1 of 2
7:53.0,,,86-104,,Offensive rebound by Team
7:53.0,,,86-105,1,J. Okafor makes free throw 2 of 2
7:38.0,O. Porter misses 2-pt shot from 16 ft,,86-105,,
7:37.0,,,86-105,,Defensive rebound by J. Okafor
7:28.0,,,86-107,2,R. Covington makes 2-pt shot from 4 ft (assist by S. Rodriguez)
7:14.0,J. Wall misses 2-pt shot from 4 ft,,86-107,,
7:12.0,,,86-107,,Defensive rebound by S. Rodriguez
