time,Brooklyn,pts.away,score,pts.home,Atlanta
7:31.0,,,86-116,,Defensive rebound by E. Brand
7:25.0,,,86-119,3,K. Bazemore makes 3-pt shot from 26 ft (assist by S. Mack)
7:09.0,J. Jordan misses 2-pt shot from 1 ft,,86-119,,
7:07.0,,,86-119,,Defensive rebound by M. Scott
7:03.0,,,86-122,3,K. Bazemore makes 3-pt shot from 23 ft (assist by T. Sefolosha)
6:55.0,Brooklyn full timeout,,86-122,,
6:55.0,,,86-122,,J. Jenkins enters the game for S. Mack
6:42.0,E. Clark makes 3-pt shot from 24 ft (assist by D. Morris),3,89-122,,
6:25.0,,,89-122,,T. Sefolosha misses 2-pt shot from 20 ft
6:23.0,Defensive rebound by E. Clark,,89-122,,
6:08.0,M. Brown makes 3-pt shot from 24 ft (assist by E. Clark),3,92-122,,
5:48.0,,,92-124,2,J. Jenkins makes 2-pt shot from 18 ft (assist by E. Brand)
5:35.0,Shooting foul by E. Brand (drawn by J. Jordan),,92-124,,
5:35.0,J. Jordan makes free throw 1 of 2,1,93-124,,
5:35.0,,,93-124,,S. Mack enters the game for K. Bazemore
5:35.0,J. Jordan makes free throw 2 of 2,1,94-124,,
5:23.0,,,94-124,,Turnover by M. Scott (lost ball; steal by C. Jefferson)
5:18.0,Turnover by C. Jefferson (bad pass; steal by J. Jenkins),,94-124,,
5:03.0,,,94-124,,E. Brand misses 2-pt shot from 17 ft
5:02.0,Defensive rebound by J. Jordan,,94-124,,
4:54.0,D. Morris makes 2-pt shot from 18 ft,2,96-124,,
4:32.0,,,96-124,,J. Jenkins misses 3-pt shot from 23 ft
4:30.0,Defensive rebound by D. Morris,,96-124,,
4:22.0,Turnover by D. Morris (bad pass; steal by E. Brand),,96-124,,
4:15.0,,,96-124,,T. Sefolosha misses 3-pt shot from 25 ft
4:14.0,Defensive rebound by E. Clark,,96-124,,
3:57.0,E. Clark misses 3-pt shot from 24 ft,,96-124,,
3:56.0,,,96-124,,Defensive rebound by S. Mack
3:50.0,,,96-124,,Atlanta full timeout
3:50.0,,,96-124,,K. Bazemore enters the game for M. Scott
3:36.0,,,96-124,,Shooting foul by C. Jefferson (drawn by S. Mack)
3:36.0,,,96-125,1,S. Mack makes free throw 1 of 2
3:36.0,,,96-126,1,S. Mack makes free throw 2 of 2
3:22.0,C. Jefferson misses 3-pt shot from 24 ft,,96-126,,
3:21.0,,,96-126,,Defensive rebound by J. Jenkins
3:08.0,,,96-126,,Turnover by E. Brand (traveling)
2:50.0,E. Clark misses 2-pt shot from 21 ft,,96-126,,
2:48.0,Offensive rebound by C. Jefferson,,96-126,,
2:45.0,C. Jefferson makes 2-pt shot from 15 ft,2,98-126,,
2:31.0,,,98-126,,T. Sefolosha misses 3-pt shot from 22 ft
2:30.0,Defensive rebound by J. Jordan,,98-126,,
2:16.0,M. Brown misses 2-pt shot from 6 ft (block by E. Brand),,98-126,,
2:15.0,Offensive rebound by M. Brown,,98-126,,
2:12.0,M. Brown misses 2-pt shot at rim,,98-126,,
2:11.0,,,98-126,,Defensive rebound by S. Mack
1:55.0,,,98-128,2,S. Mack makes 2-pt shot from 18 ft
1:46.0,D. Morris misses 2-pt shot from 18 ft,,98-128,,
1:45.0,,,98-128,,Defensive rebound by J. Jenkins
1:35.0,,,98-128,,J. Jenkins misses 3-pt shot from 24 ft (block by M. Brown)
1:33.0,Defensive rebound by C. Jefferson,,98-128,,
1:23.0,Turnover by D. Morris (bad pass; steal by J. Jenkins),,98-128,,
1:18.0,,,98-128,,J. Jenkins misses 3-pt shot from 24 ft
1:16.0,,,98-128,,Offensive rebound by S. Mack
