time,Utah,pts.away,score,pts.home,San Antonio
5:47.0,,,56-82,,San Antonio full timeout
5:47.0,E. Kanter enters the game for R. Gobert,,56-82,,
5:47.0,D. Exum enters the game for J. Ingles,,56-82,,
5:47.0,,,56-82,,M. Bonner enters the game for B. Diaw
5:47.0,,,56-82,,J. Ayres enters the game for T. Splitter
5:47.0,,,56-82,,J. Green enters the game for K. Leonard
5:42.0,,,56-82,,Turnover by D. Green (lost ball)
5:27.0,T. Burke misses 2-pt shot from 19 ft,,56-82,,
5:26.0,,,56-82,,Defensive rebound by J. Green
5:01.0,,,56-84,2,D. Green makes 2-pt shot from 9 ft (assist by C. Joseph)
4:48.0,D. Favors makes 2-pt shot from 15 ft (assist by T. Burke),2,58-84,,
4:37.0,,,58-84,,Shooting foul by E. Kanter (drawn by C. Joseph)
4:37.0,,,58-85,1,C. Joseph makes free throw 1 of 2
4:37.0,J. Evans enters the game for D. Favors,,58-85,,
4:37.0,,,58-85,,A. Baynes enters the game for D. Green
4:37.0,,,58-86,1,C. Joseph makes free throw 2 of 2
4:19.0,J. Evans makes 2-pt shot at rim (assist by T. Burke),2,60-86,,
4:09.0,,,60-86,,Turnover by J. Green (bad pass)
3:51.0,T. Burke misses 2-pt shot from 15 ft,,60-86,,
3:50.0,,,60-86,,Defensive rebound by M. Bonner
3:38.0,,,60-86,,A. Baynes misses 2-pt shot from 7 ft (block by E. Kanter)
3:37.0,Defensive rebound by J. Evans,,60-86,,
3:34.0,E. Millsap makes 2-pt shot from 1 ft (assist by T. Burke),2,62-86,,
3:34.0,Shooting foul by C. Joseph (drawn by E. Millsap),,62-86,,
3:34.0,S. Novak enters the game for T. Burke,,62-86,,
