time,Brooklyn,pts.away,score,pts.home,Denver
0:59.0,D. Williams makes free throw 1 of 2,1,51-45,,
0:59.0,,,51-45,,R. Foye enters the game for G. Harris
0:59.0,D. Williams makes free throw 2 of 2,1,52-45,,
0:43.0,,,52-45,,D. Arthur misses 2-pt shot from 19 ft
0:41.0,Defensive rebound by J. Johnson,,52-45,,
0:31.0,D. Williams misses 3-pt shot from 26 ft,,52-45,,
0:30.0,,,52-45,,Defensive rebound by R. Foye
0:13.0,,,52-45,,Shooting foul by B. Lopez (drawn by R. Foye)
0:13.0,,,52-45,,R. Foye misses free throw 1 of 2
0:13.0,,,52-45,,Offensive rebound by Team
0:13.0,,,52-45,,R. Foye misses free throw 2 of 2
0:11.0,Defensive rebound by J. Johnson,,52-45,,
0:01.0,J. Johnson makes 2-pt shot from 6 ft,2,54-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:53.0,Violation by M. Brown (kicked ball),,54-45,,
11:41.0,,,54-47,2,D. Gallinari makes 2-pt shot from 19 ft
11:23.0,A. Anderson makes 3-pt shot from 24 ft,3,57-47,,
11:01.0,,,57-47,,G. Harris misses 3-pt shot from 23 ft
10:59.0,Defensive rebound by M. Plumlee,,57-47,,
10:49.0,M. Plumlee makes 2-pt shot at rim (assist by D. Williams),2,59-47,,
10:44.0,,,59-47,,Turnover by T. Lawson (bad pass; steal by M. Brown)
10:39.0,Shooting foul by J. Nurkic (drawn by M. Brown),,59-47,,
10:39.0,M. Brown makes free throw 1 of 2,1,60-47,,
10:39.0,M. Brown makes free throw 2 of 2,1,61-47,,
10:33.0,,,61-47,,Shooting foul by D. Williams (drawn by T. Lawson)
10:33.0,,,61-47,,T. Lawson misses free throw 1 of 2
10:33.0,,,61-47,,Offensive rebound by Team
10:33.0,,,61-47,,T. Lawson misses free throw 2 of 2
10:32.0,Defensive rebound by J. Johnson,,61-47,,
10:20.0,D. Williams makes 2-pt shot from 7 ft,2,63-47,,
10:05.0,,,63-50,3,D. Gallinari makes 3-pt shot from 24 ft (assist by T. Lawson)
9:52.0,Shooting foul by D. Arthur (drawn by M. Plumlee),,63-50,,
9:52.0,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Williams),2,65-50,,
9:52.0,M. Plumlee makes free throw 1 of 1,1,66-50,,
9:30.0,,,66-50,,D. Gallinari misses 2-pt shot from 11 ft (block by J. Johnson)
9:28.0,Defensive rebound by M. Plumlee,,66-50,,
9:24.0,M. Brown misses 2-pt shot from 3 ft (block by G. Harris),,66-50,,
9:22.0,,,66-50,,Defensive rebound by T. Lawson
9:10.0,,,66-52,2,D. Gallinari makes 2-pt shot from 19 ft (assist by T. Lawson)
8:51.0,Shooting foul by D. Arthur (drawn by M. Plumlee),,66-52,,
8:51.0,M. Plumlee makes free throw 1 of 2,1,67-52,,
8:51.0,,,67-52,,W. Barton enters the game for D. Arthur
8:51.0,M. Plumlee makes free throw 2 of 2,1,68-52,,
8:43.0,,,68-52,,Turnover by G. Harris (lost ball; steal by M. Brown)
8:36.0,D. Williams misses 2-pt shot from 17 ft,,68-52,,
8:34.0,,,68-52,,Defensive rebound by J. Nurkic
8:12.0,,,68-52,,G. Harris misses 3-pt shot from 23 ft
8:11.0,Defensive rebound by D. Williams,,68-52,,
7:48.0,D. Williams misses 2-pt shot from 11 ft,,68-52,,
7:47.0,,,68-52,,Defensive rebound by W. Barton
7:39.0,,,68-52,,D. Gallinari misses 2-pt shot from 11 ft
7:38.0,,,68-52,,Offensive rebound by Team
7:38.0,,,68-52,,J. Lauvergne enters the game for J. Nurkic
7:23.0,,,68-52,,D. Gallinari misses 3-pt shot from 25 ft
7:22.0,,,68-52,,Offensive rebound by J. Lauvergne
7:18.0,,,68-55,3,D. Gallinari makes 3-pt shot from 26 ft (assist by J. Lauvergne)
6:59.0,A. Anderson misses 3-pt shot from 24 ft,,68-55,,
6:58.0,,,68-55,,Defensive rebound by J. Lauvergne
6:52.0,,,68-55,,W. Barton misses 3-pt shot from 24 ft
6:49.0,Defensive rebound by D. Williams,,68-55,,
6:43.0,J. Johnson makes 2-pt shot from 2 ft (assist by A. Anderson),2,70-55,,
6:24.0,,,70-55,,D. Gallinari misses 2-pt shot from 3 ft
6:23.0,Defensive rebound by J. Johnson,,70-55,,
6:22.0,,,70-55,,Personal foul by T. Lawson (drawn by J. Johnson)
6:22.0,Brooklyn full timeout,,70-55,,
6:22.0,B. Lopez enters the game for M. Plumlee,,70-55,,
6:04.0,D. Williams misses 3-pt shot from 24 ft,,70-55,,
6:03.0,,,70-55,,Defensive rebound by J. Lauvergne
5:56.0,,,70-55,,Turnover by T. Lawson (lost ball; steal by A. Anderson)
5:52.0,D. Williams misses 2-pt shot from 1 ft,,70-55,,
5:49.0,,,70-55,,Defensive rebound by J. Lauvergne
5:44.0,,,70-57,2,W. Barton makes 2-pt shot at rim (assist by T. Lawson)
5:24.0,J. Johnson misses 2-pt shot from 16 ft,,70-57,,
5:22.0,,,70-57,,Defensive rebound by D. Gallinari
5:16.0,,,70-59,2,G. Harris makes 2-pt shot from 1 ft (assist by T. Lawson)
5:16.0,,,70-59,,Shooting foul by M. Brown (drawn by G. Harris)
5:16.0,,,70-59,,G. Harris misses free throw 1 of 1
5:15.0,Defensive rebound by J. Johnson,,70-59,,
5:04.0,D. Williams makes 2-pt shot from 9 ft,2,72-59,,
4:37.0,,,72-59,,W. Barton misses 2-pt shot from 21 ft (block by M. Brown)
4:36.0,,,72-59,,Offensive rebound by Team
4:36.0,,,72-59,,Turnover by Team (shot clock)
4:36.0,,,72-59,,J. Nelson enters the game for G. Harris
4:36.0,T. Young enters the game for J. Johnson,,72-59,,
4:16.0,T. Young makes 2-pt shot from 12 ft,2,74-59,,
4:04.0,,,74-59,,Turnover by J. Lauvergne (lost ball; steal by D. Williams)
3:59.0,M. Brown makes 2-pt shot at rim (assist by D. Williams),2,76-59,,
3:43.0,,,76-61,2,D. Gallinari makes 2-pt shot from 2 ft (assist by J. Nelson)
3:43.0,,,76-61,,Shooting foul by D. Williams (drawn by D. Gallinari)
3:43.0,,,76-62,1,D. Gallinari makes free throw 1 of 1
3:31.0,B. Lopez misses 2-pt shot from 7 ft,,76-62,,
3:29.0,,,76-62,,Defensive rebound by D. Gallinari
3:18.0,,,76-62,,W. Barton misses 3-pt shot from 22 ft
3:16.0,,,76-62,,Offensive rebound by J. Lauvergne
3:06.0,,,76-62,,J. Lauvergne misses 3-pt shot from 22 ft
3:05.0,Defensive rebound by T. Young,,76-62,,
2:55.0,A. Anderson misses 2-pt shot from 4 ft (block by J. Nelson),,76-62,,
2:55.0,Offensive rebound by Team,,76-62,,
2:55.0,,,76-62,,Denver full timeout
2:55.0,D. Morris enters the game for D. Williams,,76-62,,
2:55.0,,,76-62,,E. Green enters the game for T. Lawson
