time,New Orleans,pts.away,score,pts.home,Boston
0:25.0,,,75-70,,Loose ball foul by M. Thornton (drawn by J. Fredette)
0:25.0,J. Fredette misses free throw 1 of 2,,75-70,,
0:25.0,Offensive rebound by Team,,75-70,,
0:25.0,D. Cunningham enters the game for A. Davis,,75-70,,
0:25.0,J. Fredette makes free throw 2 of 2,1,76-70,,
0:07.0,,,76-70,,Shooting foul by E. Gordon (drawn by M. Thornton)
0:07.0,,,76-71,1,M. Thornton makes free throw 1 of 3
0:07.0,,,76-72,1,M. Thornton makes free throw 2 of 3
0:07.0,,,76-72,,G. Wallace enters the game for J. Young
0:07.0,,,76-72,,M. Thornton misses free throw 3 of 3
0:07.0,Defensive rebound by L. Babbitt,,76-72,,
0:04.0,Turnover by J. Fredette (bad pass),,76-72,,
0:04.0,,,76-72,,J. Sullinger enters the game for T. Zeller
0:01.0,,,76-72,,J. Sullinger misses 2-pt shot from 8 ft
0:00.0,,,76-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Turnover by T. Evans (kicked ball),,76-72,,
11:37.0,Personal foul by T. Evans (drawn by M. Thornton),,76-72,,
11:27.0,,,76-74,2,T. Zeller makes 2-pt shot from 3 ft (assist by M. Smart)
11:02.0,R. Anderson misses 2-pt shot from 1 ft,,76-74,,
11:01.0,,,76-74,,Defensive rebound by J. Young
10:55.0,,,76-77,3,M. Thornton makes 3-pt shot from 25 ft
10:55.0,Technical foul by R. Anderson,,76-77,,
10:55.0,,,76-78,1,M. Thornton makes technical free throw
10:42.0,Shooting foul by M. Thornton (drawn by J. Fredette),,76-78,,
10:42.0,J. Fredette makes free throw 1 of 2,1,77-78,,
10:42.0,D. Cunningham enters the game for L. Babbitt,,77-78,,
10:42.0,J. Fredette makes free throw 2 of 2,1,78-78,,
10:30.0,,,78-78,,M. Thornton misses 2-pt shot from 5 ft (block by J. Withey)
10:29.0,Defensive rebound by R. Anderson,,78-78,,
10:25.0,J. Withey misses 2-pt shot from 2 ft (block by T. Zeller),,78-78,,
10:24.0,Offensive rebound by D. Cunningham,,78-78,,
10:23.0,D. Cunningham makes 2-pt shot at rim,2,80-78,,
10:10.0,,,80-78,,Turnover by B. Bass (lost ball; steal by J. Fredette)
10:05.0,J. Fredette misses 2-pt shot from 1 ft,,80-78,,
10:04.0,Offensive rebound by T. Evans,,80-78,,
9:57.0,Shooting foul by B. Bass (drawn by T. Evans),,80-78,,
9:57.0,T. Evans makes free throw 1 of 2,1,81-78,,
9:57.0,T. Evans misses free throw 2 of 2,,81-78,,
9:56.0,,,81-78,,Defensive rebound by T. Zeller
9:43.0,,,81-78,,M. Thornton misses 3-pt shot from 24 ft
9:42.0,Defensive rebound by Team,,81-78,,
9:42.0,A. Davis enters the game for J. Withey,,81-78,,
9:27.0,T. Evans misses 2-pt shot from 2 ft,,81-78,,
9:26.0,Offensive rebound by A. Davis,,81-78,,
9:25.0,Shooting foul by M. Smart (drawn by A. Davis),,81-78,,
9:25.0,A. Davis misses free throw 1 of 2,,81-78,,
9:25.0,Offensive rebound by Team,,81-78,,
9:25.0,,,81-78,,J. Sullinger enters the game for T. Zeller
9:25.0,A. Davis makes free throw 2 of 2,1,82-78,,
9:03.0,,,82-78,,Shooting foul by A. Davis (drawn by B. Bass)
9:03.0,,,82-79,1,B. Bass makes free throw 1 of 2
9:03.0,,,82-79,,A. Bradley enters the game for J. Young
9:03.0,,,82-80,1,B. Bass makes free throw 2 of 2
8:52.0,A. Davis makes 2-pt shot at rim (assist by J. Fredette),2,84-80,,
8:37.0,,,84-80,,M. Smart misses 3-pt shot from 25 ft
8:36.0,,,84-80,,Offensive rebound by J. Sullinger
8:29.0,,,84-82,2,B. Bass makes 2-pt shot from 17 ft (assist by M. Smart)
8:01.0,T. Evans misses 3-pt shot from 24 ft,,84-82,,
8:00.0,Offensive rebound by A. Davis,,84-82,,
7:57.0,A. Davis makes 2-pt shot from 4 ft,2,86-82,,
7:39.0,,,86-82,,B. Bass misses 2-pt shot from 17 ft
7:38.0,,,86-82,,Offensive rebound by J. Sullinger
7:38.0,,,86-82,,J. Sullinger misses 2-pt shot at rim
7:36.0,Defensive rebound by D. Cunningham,,86-82,,
7:32.0,A. Davis makes 2-pt shot at rim (assist by J. Fredette),2,88-82,,
7:32.0,,,88-82,,Boston full timeout
7:32.0,,,88-82,,J. Crowder enters the game for M. Thornton
7:32.0,E. Gordon enters the game for J. Fredette,,88-82,,
7:19.0,,,88-84,2,J. Sullinger makes 2-pt shot from 2 ft
7:19.0,,,88-84,,Shooting foul by R. Anderson (drawn by J. Sullinger)
7:19.0,,,88-85,1,J. Sullinger makes free throw 1 of 1
6:54.0,T. Evans misses 2-pt shot from 2 ft,,88-85,,
6:53.0,,,88-85,,Defensive rebound by M. Smart
6:48.0,,,88-85,,M. Smart misses 2-pt shot from 2 ft
6:47.0,,,88-85,,Offensive rebound by J. Sullinger
6:47.0,,,88-87,2,J. Sullinger makes 2-pt shot at rim
6:27.0,New Orleans full timeout,,88-87,,
6:27.0,O. Asik enters the game for R. Anderson,,88-87,,
6:21.0,Shooting foul by J. Sullinger (drawn by A. Davis),,88-87,,
6:21.0,A. Davis makes free throw 1 of 2,1,89-87,,
6:21.0,,,89-87,,K. Olynyk enters the game for B. Bass
6:21.0,A. Davis makes free throw 2 of 2,1,90-87,,
6:11.0,,,90-90,3,J. Sullinger makes 3-pt shot from 24 ft (assist by M. Smart)
5:52.0,E. Gordon misses 2-pt shot from 14 ft,,90-90,,
5:51.0,,,90-90,,Defensive rebound by K. Olynyk
5:41.0,,,90-90,,Shooting foul by E. Gordon (drawn by A. Bradley)
5:41.0,,,90-90,,A. Bradley misses free throw 1 of 2
5:41.0,,,90-90,,Offensive rebound by Team
5:41.0,,,90-91,1,A. Bradley makes free throw 2 of 2
5:24.0,D. Cunningham misses 2-pt shot from 20 ft,,90-91,,
