time,Toronto,pts.away,score,pts.home,Philadelphia
8:17.0,,,94-84,,Shooting foul by T. Hansbrough (drawn by N. Noel)
8:17.0,,,94-84,,N. Noel misses free throw 1 of 2
8:17.0,,,94-84,,Offensive rebound by Team
8:17.0,,,94-85,1,N. Noel makes free throw 2 of 2
8:00.0,G. Vasquez misses 2-pt shot from 4 ft,,94-85,,
7:58.0,,,94-85,,Defensive rebound by L. Mbah a Moute
7:53.0,,,94-85,,I. Canaan misses 3-pt shot from 25 ft
7:51.0,,,94-85,,Offensive rebound by J. Grant
7:49.0,,,94-87,2,J. Grant makes 2-pt shot at rim
7:37.0,L. Williams makes 2-pt shot from 13 ft,2,96-87,,
7:19.0,,,96-87,,L. Mbah a Moute misses 2-pt shot from 4 ft
7:17.0,Defensive rebound by L. Williams,,96-87,,
7:09.0,D. DeRozan enters the game for G. Vasquez,,96-87,,
7:09.0,,,96-87,,J. Sampson enters the game for I. Canaan
7:03.0,T. Ross misses 2-pt shot at rim (block by J. Grant),,96-87,,
7:01.0,,,96-87,,Defensive rebound by I. Smith
6:58.0,,,96-87,,Turnover by L. Mbah a Moute (step out of bounds)
6:46.0,Turnover by T. Ross (lost ball; steal by L. Mbah a Moute),,96-87,,
6:41.0,,,96-87,,J. Sampson misses 2-pt shot from 2 ft (block by T. Hansbrough)
6:39.0,Defensive rebound by L. Williams,,96-87,,
6:27.0,L. Williams misses 2-pt shot from 22 ft,,96-87,,
6:25.0,,,96-87,,Defensive rebound by I. Smith
6:18.0,,,96-87,,I. Smith misses 2-pt shot from 1 ft
6:16.0,Defensive rebound by L. Williams,,96-87,,
6:06.0,T. Ross misses 3-pt shot from 25 ft,,96-87,,
6:05.0,,,96-87,,Defensive rebound by N. Noel
5:57.0,,,96-87,,Philadelphia full timeout
5:57.0,A. Johnson enters the game for T. Hansbrough,,96-87,,
5:49.0,,,96-89,2,N. Noel makes 2-pt shot at rim (assist by J. Grant)
5:23.0,Shooting foul by J. Sampson (drawn by D. DeRozan),,96-89,,
5:23.0,D. DeRozan makes free throw 1 of 2,1,97-89,,
5:23.0,D. DeRozan makes free throw 2 of 2,1,98-89,,
5:06.0,,,98-89,,I. Smith misses 2-pt shot from 1 ft
5:05.0,Defensive rebound by P. Patterson,,98-89,,
4:48.0,T. Ross misses 2-pt shot from 12 ft,,98-89,,
4:47.0,,,98-89,,Defensive rebound by I. Smith
4:33.0,,,98-89,,J. Grant misses 3-pt shot from 23 ft
4:31.0,Defensive rebound by D. DeRozan,,98-89,,
4:16.0,T. Ross misses 3-pt shot from 22 ft,,98-89,,
4:13.0,Offensive rebound by P. Patterson,,98-89,,
4:12.0,P. Patterson misses 2-pt shot from 2 ft (block by J. Sampson),,98-89,,
4:12.0,Offensive rebound by Team,,98-89,,
4:12.0,,,98-89,,H. Thompson enters the game for J. Sampson
4:02.0,L. Williams makes 3-pt shot from 24 ft,3,101-89,,
3:49.0,,,101-89,,Turnover by I. Smith (bad pass)
3:38.0,D. DeRozan makes 2-pt shot from 3 ft (assist by A. Johnson),2,103-89,,
3:21.0,,,103-91,2,I. Smith makes 2-pt shot from 2 ft
3:05.0,D. DeRozan makes 2-pt shot at rim (assist by A. Johnson),2,105-91,,
3:04.0,,,105-91,,Philadelphia full timeout
3:04.0,,,105-91,,I. Canaan enters the game for L. Mbah a Moute
3:01.0,,,105-94,3,I. Canaan makes 3-pt shot from 23 ft (assist by I. Smith)
2:39.0,D. DeRozan makes 2-pt shot from 16 ft,2,107-94,,
2:30.0,,,107-94,,J. Grant misses 3-pt shot from 27 ft
2:28.0,Defensive rebound by D. DeRozan,,107-94,,
2:08.0,T. Ross makes 3-pt shot from 23 ft (assist by P. Patterson),3,110-94,,
1:52.0,,,110-96,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
1:38.0,D. DeRozan makes 2-pt shot from 16 ft,2,112-96,,
1:34.0,,,112-98,2,I. Smith makes 2-pt shot from 13 ft
1:34.0,,,112-98,,Shooting foul by L. Williams (drawn by I. Smith)
1:34.0,,,112-99,1,I. Smith makes free throw 1 of 1
1:19.0,D. DeRozan misses 2-pt shot from 14 ft,,112-99,,
1:17.0,Offensive rebound by A. Johnson,,112-99,,
1:07.0,L. Williams misses 3-pt shot from 26 ft,,112-99,,
