time,Charlotte,pts.away,score,pts.home,Indiana
10:15.0,K. Walker misses 2-pt shot from 12 ft,,67-70,,
10:12.0,,,67-70,,Defensive rebound by L. Allen
10:03.0,,,67-70,,L. Allen misses 2-pt shot from 19 ft
10:02.0,Defensive rebound by B. Biyombo,,67-70,,
9:53.0,B. Roberts makes 2-pt shot from 19 ft,2,69-70,,
9:30.0,,,69-70,,A. Price misses 3-pt shot from 26 ft
9:29.0,Defensive rebound by B. Biyombo,,69-70,,
9:25.0,C. Zeller makes 2-pt shot from 1 ft (assist by B. Roberts),2,71-70,,
9:25.0,Shooting foul by I. Mahinmi (drawn by C. Zeller),,71-70,,
9:25.0,L. Stephenson enters the game for M. Williams,,71-70,,
9:25.0,A. Jefferson enters the game for B. Biyombo,,71-70,,
9:25.0,C. Zeller misses free throw 1 of 1,,71-70,,
9:25.0,,,71-70,,Defensive rebound by I. Mahinmi
9:03.0,,,71-72,2,I. Mahinmi makes 2-pt shot at rim
9:03.0,,,71-72,,Shooting foul by A. Jefferson (drawn by I. Mahinmi)
9:03.0,,,71-73,1,I. Mahinmi makes free throw 1 of 1
8:39.0,A. Jefferson misses 2-pt shot from 17 ft,,71-73,,
8:37.0,,,71-73,,Defensive rebound by S. Hill
8:37.0,Personal foul by C. Zeller (drawn by S. Hill),,71-73,,
8:37.0,Official timeout,,71-73,,
8:20.0,,,71-75,2,A. Price makes 2-pt shot from 17 ft
8:00.0,J. Maxiell enters the game for C. Zeller,,71-75,,
8:00.0,Charlotte full timeout,,71-75,,
7:55.0,K. Walker misses 3-pt shot from 26 ft,,71-75,,
7:53.0,Offensive rebound by J. Maxiell,,71-75,,
7:48.0,L. Stephenson misses 2-pt shot from 18 ft,,71-75,,
7:47.0,,,71-75,,Defensive rebound by L. Allen
7:31.0,,,71-75,,A. Price misses 3-pt shot from 23 ft
7:30.0,,,71-75,,Offensive rebound by I. Mahinmi
7:27.0,,,71-75,,A. Price misses 2-pt shot from 15 ft
7:25.0,,,71-75,,Offensive rebound by I. Mahinmi
7:10.0,,,71-77,2,R. Stuckey makes 2-pt shot from 11 ft
6:51.0,A. Jefferson makes 2-pt shot from 9 ft,2,73-77,,
6:32.0,,,73-77,,R. Stuckey misses 2-pt shot from 19 ft
6:31.0,,,73-77,,Offensive rebound by I. Mahinmi
6:31.0,,,73-77,,I. Mahinmi misses 2-pt shot from 3 ft
6:29.0,,,73-77,,Offensive rebound by R. Stuckey
6:29.0,,,73-77,,R. Stuckey misses 2-pt shot from 1 ft
6:28.0,,,73-77,,Offensive rebound by L. Allen
6:28.0,,,73-77,,L. Allen misses 2-pt shot from 1 ft
6:26.0,,,73-77,,Offensive rebound by L. Allen
